"Position (bp)"	"seq | C1_1"	"seq | C1_2"	"seq | C2_1"	"seq | C2_2"	"seq | C3_1"	"seq | C3_2"	"seq | C4_1"	"seq | C4_2"	"seq | C5_1"	"seq | C5_2"	"seq | C6_1"	"seq | C6_2"	"seq | N1_1"	"seq | N1_2"	"seq | N2_1"	"seq | N2_2"	"seq | N3_1"	"seq | N3_2"	"seq | N4_1"	"seq | N4_2"	"seq | N5_1"	"seq | N5_2"	"seq | N6_1"	"seq | N6_2"
1	32.103026666666665	30.930253333333333	25.77296	31.25652	31.28902666666667	26.058893333333334	31.91544	29.770333333333333	29.784386666666666	32.105266666666665	32.12486666666667	31.048426666666668	31.906826666666667	29.440973333333332	31.19712	25.367906666666666	32.02228	30.237053333333332	32.59784	31.661053333333335	32.03732	30.75224	32.523066666666665	31.641
2	32.24802666666667	31.074893333333332	25.8886	31.382093333333334	31.41528	26.212933333333332	32.06748	29.91461333333333	29.926413333333333	32.25389333333333	32.26262666666667	31.211266666666667	32.056693333333335	29.609893333333332	31.317426666666666	25.474746666666668	32.14772	30.390426666666666	32.73526666666667	31.818733333333334	32.20173333333334	30.9144	32.660266666666665	31.765733333333333
3	32.32128	31.110866666666666	25.937373333333333	31.48806666666667	31.536733333333334	26.232586666666666	32.172133333333335	29.946173333333334	29.955573333333334	32.356093333333334	32.37810666666667	31.264986666666665	32.15830666666667	29.65008	31.401426666666666	25.495706666666667	32.23884	30.41952	32.81456	31.85518666666667	32.31314666666667	30.957786666666667	32.75297333333334	31.807733333333335
4	35.87456	34.60762666666667	28.762786666666667	35.07198666666667	35.10466666666667	29.100253333333335	35.68452	33.27016	33.28273333333333	35.88597333333333	35.93672	34.727653333333336	35.71241333333333	32.91716	34.963026666666664	28.337306666666667	35.798746666666666	33.837453333333336	36.25144	35.256746666666665	35.83088	34.41416	36.223866666666666	35.25441333333333
5	35.68326666666667	34.55681333333333	28.7048	34.80585333333333	34.83942666666667	29.017133333333334	35.52881333333333	33.222546666666666	33.204773333333335	35.72996	35.80110666666667	34.68756	35.52248	32.875053333333334	34.65533333333333	28.210213333333332	35.61412	33.7762	36.14205333333334	35.22174666666667	35.692386666666664	34.33928	36.093693333333334	35.208346666666664
6	35.666	34.61484	28.672706666666667	34.76376	34.814773333333335	29.05824	35.529226666666666	33.22098666666667	33.241413333333334	35.732533333333336	35.771586666666664	34.721666666666664	35.50381333333333	32.89048	34.61965333333333	28.215386666666667	35.574306666666665	33.80562666666667	36.121293333333334	35.243426666666664	35.674213333333334	34.334293333333335	36.06116	35.24644
7	35.65398666666667	34.588053333333335	28.632106666666665	34.70848	34.723546666666664	29.0034	35.48582666666667	33.21494666666667	33.19468	35.69038666666667	35.74601333333333	34.72101333333333	35.45532	32.869946666666664	34.558933333333336	28.170706666666668	35.543173333333336	33.766533333333335	36.102306666666664	35.23332	35.65262666666667	34.30605333333333	36.04398666666667	35.23392
8	35.61982666666667	34.57892	28.607613333333333	34.67858666666667	34.732773333333334	28.969386666666665	35.461693333333336	33.214306666666666	33.190106666666665	35.677973333333334	35.691	34.699306666666665	35.44672	32.878346666666665	34.52192	28.147906666666668	35.5442	33.74129333333333	36.07537333333333	35.21330666666667	35.616973333333334	34.29702666666667	36.021773333333336	35.213213333333336
9	37.23572	36.12173333333333	29.779893333333334	36.1524	36.175066666666666	30.1638	37.04256	34.65249333333333	34.681853333333336	37.312293333333336	37.32988	36.29252	37.012906666666666	34.29932	35.96936	29.266106666666666	37.13168	35.23545333333333	37.80968	36.91892	37.24113333333333	35.83472	37.73342666666667	36.88522666666667
10	37.218500000000006	36.15304666666667	29.749593333333333	36.12808	36.14199333333333	30.163653333333333	37.05030666666667	34.69357333333333	34.721806666666666	37.26913333333333	37.32351333333333	36.31333333333333	37.00986	34.31152	35.92438666666666	29.271033333333335	37.090133333333334	35.30703333333334	37.78688666666667	36.95424666666666	37.220213333333334	35.85444	37.73818	36.90062
