variable	value
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
raw.pair1	75000
trimmed.pair1	65243
trimmed.pair1	48082
trimmed.pair1	50387
trimmed.pair1	60959
trimmed.pair1	62540
trimmed.pair1	65866
trimmed.pair1	60548
trimmed.pair1	47003
trimmed.pair1	62217
trimmed.pair1	67958
trimmed.pair1	63336
trimmed.pair1	67204
final.pair1	65206
final.pair1	45798
final.pair1	48266
final.pair1	60394
final.pair1	62504
final.pair1	65857
final.pair1	60052
final.pair1	45024
final.pair1	62077
final.pair1	67861
final.pair1	63292
final.pair1	67173
final.pair2	65206
final.pair2	45798
final.pair2	48266
final.pair2	60394
final.pair2	62504
final.pair2	65857
final.pair2	60052
final.pair2	45024
final.pair2	62077
final.pair2	67861
final.pair2	63292
final.pair2	67173
