Family	C2	C3	Y1	Y2	Y3
Geoalkalibacteraceae	13	2	0	1	3
Peptoclostridiaceae	1	17	0	1	0
Saccharomycetaceae	4	1	3	5	6
Acidocellaceae	2	16	0	0	0
Breznakiellaceae	14	2	0	2	0
Candidatus_Brocadiaceae	0	0	6	0	12
Clostridiales_Family_XVI._Incertae_Sedis	6	0	12	0	0
Cytophagaceae	9	2	0	5	2
Legionellaceae	5	1	3	2	7
Parvularculaceae	8	9	1	0	0
Pseudoalteromonadaceae	0	0	5	6	7
Tsukamurellaceae	9	7	1	1	0
Borreliaceae	16	0	0	1	0
Dehalococcoidaceae	14	3	0	0	0
Haliovirgaceae	12	0	3	2	0
Persicobacteraceae	1	14	0	2	0
Pleomorphomonadaceae	11	6	0	0	0
Rhodothermaceae	7	7	2	1	0
Thalassospiraceae	2	7	5	1	2
Algiphilaceae	0	16	0	0	0
Conexibacteraceae	0	15	0	1	0
Desulfocapsaceae	1	9	1	2	3
Filifactoraceae	2	3	2	8	1
Jatrophihabitantaceae	13	1	0	0	2
Jiangellaceae	9	1	3	2	1
Methanocaldococcaceae	5	0	5	1	5
Natronincolaceae	9	0	1	2	4
Novispirillaceae	5	10	0	0	1
Acidithiobacillaceae	11	3	0	1	0
Alcanivoracaceae	9	1	1	3	1
Bacillales_Family_X._Incertae_Sedis	6	0	0	9	0
Beijerinckiaceae	7	7	0	0	1
Budviciaceae	2	11	0	2	0
Candidatus_Izemoplasmataceae	12	3	0	0	0
Candidatus_Rariloculaceae	15	0	0	0	0
Coxiellaceae	7	0	2	3	3
Desulfitibacteraceae	5	7	0	3	0
Leptolyngbyaceae	5	1	0	0	9
Methylocystaceae	3	8	2	0	2
Orbaceae	2	2	7	0	4
Reichenbachiellaceae	3	1	4	2	5
Thermodesulfobacteriaceae	5	0	0	4	6
Trichosporonaceae	7	6	0	0	2
Chthonomonadaceae	14	0	0	0	0
Fibrobacteraceae	0	12	1	1	0
Fictibacillaceae	2	1	4	5	2
Methylophilaceae	2	4	1	2	5
Anaerotignaceae	6	6	0	1	0
Aquaspirillaceae	1	4	1	3	4
Gallionellaceae	5	6	1	0	1
Geodermatophilaceae	6	4	0	1	2
Hydrogenimonadaceae	4	0	7	0	2
Lacipirellulaceae	10	1	1	1	0
Nautiliaceae	0	4	9	0	0
Sulfurospirillaceae	4	0	5	3	1
Brachyspiraceae	0	0	5	6	1
Bruguierivoracaceae	6	0	0	1	5
Candidatus_Chloroheliaceae	0	12	0	0	0
Desulfobacteraceae	9	3	0	0	0
Haladaptataceae	3	4	0	4	1
Halieaceae	3	2	0	6	1
Ilumatobacteraceae	1	10	0	1	0
Leptospiraceae	1	0	3	4	4
Mariprofundaceae	6	0	0	6	0
Thermotaleaceae	1	2	0	5	4
Anaeromyxobacteraceae	5	4	0	0	2
Azonexaceae	2	5	3	1	0
Chrysiogenaceae	9	0	0	2	0
Euzebyaceae	8	3	0	0	0
Glomerellaceae	0	2	4	3	2
Halanaerobiaceae	5	0	1	0	5
Halobacteriaceae	8	0	2	0	1
Nevskiaceae	4	5	0	0	2
Phycisphaeraceae	8	2	0	0	1
Piscirickettsiaceae	1	1	5	4	0
Sphaerochaetaceae	5	2	4	0	0
Sulfurimonadaceae	0	4	1	3	3
Thiohalomonadaceae	8	0	3	0	0
Trichomonadidae	1	0	3	6	1
Usitatibacteraceae	2	8	0	0	1
Alsobacteraceae	6	4	0	0	0
Aphanizomenonaceae	1	0	0	8	1
Brucellaceae	4	1	2	3	0
Bryobacteraceae	2	2	3	0	3
Colwelliaceae	2	2	2	4	0
Dermacoccaceae	4	1	3	2	0
Desulfomicrobiaceae	5	5	0	0	0
Egibacteraceae	0	5	0	0	5
Endozoicomonadaceae	1	0	3	6	0
Fervidobacteriaceae	9	0	0	0	1
Gallaecimonadaceae	8	0	0	2	0
Holosporaceae	10	0	0	0	0
Koleobacteraceae	0	0	0	0	10
Marinifilaceae	2	1	3	4	0
Methanocellaceae	5	3	0	2	0
Ophiocordycipitaceae	4	3	0	0	3
Oscillatoriaceae	0	1	2	4	3
