Order	C2	C3	Y1	Y2	Y3
Lachnospirales	6884	9206	537287	390186	289646
Bacteroidales	71134	254846	738	16210	21660
Bifidobacteriales	111	544	20089	328	145543
Eubacteriales	37828	43234	8547	27567	21066
Coriobacteriales	272	4906	3444	51761	34008
Enterobacterales	52612	35037	59	184	1835
Verrucomicrobiales	12890	49957	85	20	17
Erysipelotrichales	275	433	33019	9437	17139
Lactobacillales	426	119	17418	18795	7685
Synergistales	27418	869	4	19	8
Eggerthellales	203	2046	6199	2186	16665
Burkholderiales	402	23009	106	255	124
Desulfovibrionales	4618	6114	29	667	519
Peptostreptococcales	2010	251	2958	1124	3660
Actinomycetales	244	340	3006	2049	916
Crassvirales	665	0	30	346	4242
Primates	110	35	984	1247	1601
Bacillales	501	380	498	630	562
Veillonellales	32	1112	115	37	363
Propionibacteriales	108	213	617	454	141
Micrococcales	464	387	342	163	154
Mycobacteriales	302	296	162	224	187
Acidaminococcales	59	413	79	523	48
Hyphomicrobiales	386	443	68	107	93
Kitasatosporales	332	441	100	77	112
unclassified	212	70	253	230	170
Campylobacterales	131	17	395	139	137
Christensenellales	224	269	122	70	61
Tissierellales	136	29	69	66	350
Methanobacteriales	619	15	1	13	1
Candidatus_Nanosynbacterales	3	30	291	171	139
Selenomonadales	101	135	28	30	291
Flavobacteriales	160	33	64	100	73
Sphingomonadales	185	143	19	33	39
Rhodobacterales	164	184	5	35	24
Pseudomonadales	167	139	27	30	27
Acetobacterales	60	95	96	58	48
Micromonosporales	111	123	27	27	23
Spirochaetales	106	54	23	57	67
Cytophagales	94	83	24	42	36
Fusobacteriales	61	1	93	46	66
Lysobacterales	79	96	9	39	18
Pseudonocardiales	68	85	11	16	20
Rhodospirillales	80	64	15	13	9
Candidatus_Saccharimonadales	0	28	8	92	52
Streptosporangiales	59	65	21	17	17
Halobacteriales	58	73	16	15	16
Oceanospirillales	61	52	11	31	17
Thermoanaerobacterales	90	41	6	12	12
Candidatus_Promineifilales	52	72	0	16	8
Neisseriales	58	56	5	16	12
Acidimicrobiales	44	59	7	22	12
Alteromonadales	38	24	29	20	22
Caulobacterales	57	57	4	7	8
Monoglobales	3	2	101	10	17
Sphingobacteriales	26	20	15	27	33
Vibrionales	21	25	10	35	26
Myxococcales	48	43	5	9	2
Synechococcales	31	29	8	25	7
Deinococcales	45	25	7	10	7
Moraxellales	34	8	4	32	15
Nitrosomonadales	21	50	5	5	12
Rhodocyclales	33	28	6	13	13
Aeromonadales	46	20	3	12	6
Chromatiales	29	35	1	10	7
Planctomycetales	32	24	7	9	3
Geobacterales	40	19	3	8	4
Opitutales	27	31	1	2	12
Polyangiales	49	17	3	1	3
Desulfobacterales	30	32	1	3	6
Hypocreales	14	29	3	16	9
Desulfuromonadales	33	19	3	7	7
Terriglobales	18	20	11	8	9
Candidatus_Nanopelagicales	12	0	8	12	32
Neomorellales	14	39	1	7	0
Cellvibrionales	13	14	4	19	5
Chlorobiales	26	12	1	7	9
Mycoplasmoidales	40	1	3	6	5
Marinilabiliales	17	9	13	12	3
Chitinophagales	15	10	8	11	8
Pirellulales	24	9	3	9	3
Desulfobulbales	17	16	1	7	6
Methylococcales	27	14	1	2	1
Solirubrobacterales	9	31	0	1	4
Candidatus_Pelagibacterales	24	0	4	12	3
Gemmatimonadales	22	14	4	1	1
Pasteurellales	8	2	9	14	8
Holophagales	20	16	1	0	0
Maricaulales	21	14	0	2	0
Candidatus_Cloacimonadales	32	4	0	0	0
Eurotiales	10	18	0	2	6
Gemmatales	15	15	4	2	0
Acholeplasmatales	26	0	0	3	6
Gloeobacterales	5	22	1	4	2
Isosphaerales	8	14	3	5	4
Rubrobacterales	8	26	0	0	0
Legionellales	12	1	5	5	10
