Family	C1	C2	C3	Y1	Y2	Y3
Lachnospiraceae	8136	6848	9192	537281	390164	289639
Rikenellaceae	21107	31780	181518	12	870	2818
Oscillospiraceae	54524	33807	39959	6050	19790	17458
Bifidobacteriaceae	133	111	544	20089	328	145543
Enterobacteriaceae	54040	52512	34935	27	135	1798
Bacteroidaceae	3653	29400	55046	571	8856	12380
Comamonadaceae	80362	117	22336	14	24	31
Coriobacteriaceae	1645	165	4569	2934	51222	33312
Akkermansiaceae	2582	12878	49951	81	19	14
Coprobacillaceae	18	74	65	32190	8811	16495
Streptococcaceae	68	69	43	15492	16625	5601
Eggerthellaceae	1623	203	2046	6199	2186	16665
Tannerellaceae	464	5610	13896	126	971	5570
Desulfovibrionaceae	9714	4613	6108	29	667	519
Dethiosulfovibrionaceae	47	19969	30	1	3	1
unclassified	4002	3001	1791	528	488	415
Peptostreptococcaceae	1110	1965	192	2678	737	3502
Synergistaceae	846	7440	836	1	8	1
Clostridiaceae	626	537	714	799	5157	979
Actinomycetaceae	556	244	340	3006	2049	916
Eubacteriaceae	247	212	217	1164	2200	2055
Prevotellaceae	79	826	136	13	4643	47
Lactobacillaceae	56	266	52	1282	1893	1782
Odoribacteraceae	104	3339	1053	1	143	268
Barnesiellaceae	126	76	3157	2	709	504
Intestiviridae	0	0	0	0	81	4242
Hominidae	150	110	35	984	1247	1601
Atopobiaceae	255	101	318	497	532	687
Erysipelotrichaceae	69	199	362	461	625	608
Veillonellaceae	151	32	1112	115	37	363
Streptomycetaceae	485	332	441	100	77	112
Propionibacteriaceae	75	57	116	599	443	119
Butyricicoccaceae	168	131	298	267	115	296
Acidaminococcaceae	77	59	413	79	523	48
Christensenellaceae	230	224	269	122	70	61
Paenibacillaceae	167	213	214	70	159	112
Suoliviridae	0	665	0	0	261	0
Anaerovoracaceae	42	32	37	277	369	149
Methanobacteriaceae	208	619	15	1	13	1
Microbacteriaceae	311	252	163	41	42	27
Pseudomonadaceae	417	156	134	25	26	26
Campylobacteraceae	56	94	13	375	121	121
Micrococcaceae	149	92	107	251	71	103
Corynebacteriaceae	86	104	79	128	179	127
Oxalobacteraceae	116	63	341	27	145	10
Bacillaceae	66	144	77	96	171	132
Gemellaceae	1	9	1	242	182	237
Enterococcaceae	29	75	17	249	159	122
Carnobacteriaceae	1	11	4	375	80	159
Acutalibacteraceae	200	130	154	39	45	58
Peptoniphilaceae	15	96	27	69	63	345
Selenomonadaceae	58	90	127	15	27	285
Burkholderiaceae	131	98	203	26	34	31
Micromonosporaceae	182	111	123	27	27	23
Candidatus_Nanosynbacteraceae	21	2	22	216	127	104
Turicibacteraceae	0	2	6	368	1	36
Paracoccaceae	154	103	116	1	20	15
Sphingomonadaceae	97	114	110	8	27	35
Alcaligenaceae	121	84	58	34	41	38
Mycobacteriaceae	112	75	89	22	21	26
Flavobacteriaceae	19	117	22	59	74	52
Rhizobiaceae	111	84	76	22	27	19
Acetobacteraceae	48	43	51	93	57	44
Pseudonocardiaceae	115	68	85	11	16	20
Aristaeellaceae	97	82	93	6	21	6
Lysobacteraceae	111	55	77	4	24	15
Nocardiaceae	85	73	83	4	13	25
Treponemataceae	39	63	45	18	41	60
Nitrobacteraceae	100	59	55	8	23	12
Clostridiales_Family_XVII._Incertae_Sedis	98	68	80	2	0	3
Nocardioidaceae	79	40	87	17	6	17
Caulobacteraceae	86	57	57	4	7	8
Roseobacteraceae	78	57	55	4	15	9
Phyllobacteriaceae	41	41	100	3	15	17
Fusobacteriaceae	2	33	1	87	37	36
Zoogloeaceae	146	21	8	3	11	2
Morganellaceae	116	23	28	4	11	2
Sphaerotilaceae	96	27	36	1	7	7
Hymenobacteraceae	52	40	56	10	8	6
Erythrobacteraceae	56	65	33	10	3	3
Deinococcaceae	64	45	25	7	10	7
Staphylococcaceae	15	38	8	30	37	25
Halomonadaceae	48	47	32	4	7	9
Monoglobaceae	8	3	2	101	10	17
Gordoniaceae	48	33	36	5	10	7
Streptosporangiaceae	61	28	33	3	7	6
Thermoanaerobacteraceae	19	63	29	6	9	12
Vibrionaceae	21	21	25	10	35	26
Sphingobacteriaceae	15	26	20	15	27	32
Candidatus_Saccharimonadaceae	0	0	21	6	69	38
Aeromonadaceae	50	45	20	3	10	4
Caryophanaceae	10	29	16	31	21	22
Muribaculaceae	20	50	33	2	15	7
Candidatus_Promineifilaceae	9	39	54	0	12	6
Cellulomonadaceae	40	19	35	13	6	7
Peptococcaceae	30	43	20	1	24	2
Methylobacteriaceae	48	19	34	7	3	3
Erwiniaceae	25	24	21	9	13	20
Porphyromonadaceae	13	27	4	8	1	59
Stappiaceae	32	29	23	3	11	12
Weeksellaceae	26	34	11	5	16	18
Moraxellaceae	15	34	8	4	32	15
Geobacteraceae	29	40	19	3	8	4
Yersiniaceae	18	28	29	10	10	6
Haloarculaceae	29	29	30	2	4	4
Opitutaceae	24	27	31	1	2	12
Planctomycetaceae	22	32	24	7	9	3
Synechococcaceae	21	16	28	5	19	7
Aerococcaceae	4	5	3	20	38	21
Rhodanobacteraceae	25	24	19	5	15	3
Alicyclobacillaceae	17	29	22	7	6	8
Xanthobacteraceae	33	23	29	1	2	1
Neisseriaceae	30	15	20	4	9	8
Thermomonosporaceae	21	26	21	4	10	4
Acidobacteriaceae	24	18	20	11	8	3
Devosiaceae	28	15	24	6	1	9
Azospirillaceae	23	28	17	4	5	5
Chlorobiaceae	27	26	12	1	7	9
Polyangiaceae	17	44	15	2	1	2
Roseomonadaceae	30	15	28	3	1	4
Symbiobacteriaceae	21	25	27	4	4	0
Candidatus_Poriferisodalaceae	33	9	3	3	18	12
Isosphaeraceae	41	8	14	3	5	4
Chitinophagaceae	21	15	10	8	11	8
Methylococcaceae	28	27	14	1	2	1
Pectobacteriaceae	37	9	10	9	5	3
Candidatus_Hopanoidivoransaceae	30	21	21	0	0	0
Desulfitobacteriaceae	24	7	10	4	18	9
Intrasporangiaceae	26	29	10	3	4	0
Candidatus_Desulforudaceae	33	24	9	0	3	0
Chromobacteriaceae	21	29	16	0	3	0
Sutterellaceae	19	9	32	0	4	5
Neomoorellaceae	21	8	32	1	4	0
Hyphomicrobiaceae	27	19	9	4	2	4
Myxococcaceae	16	26	16	5	1	0
Aurantimonadaceae	17	17	23	1	4	1
Shewanellaceae	4	20	14	14	7	4
Brevibacteriaceae	9	8	13	15	13	4
Holophagaceae	25	20	16	1	0	0
Promicromonosporaceae	16	21	15	6	3	1
