Taxonomy	C1	C2
Acinetobacter sp. 10FS3-1	0	0
Acinetobacter sp.	0	0
Acinetobacter sp. Ac-14	0	0
Acinetobacter sp. ACNIH1	0	0
Acinetobacter sp. ACNIH2	0	0
Acinetobacter sp. BEC1-S18-ESBL-01	0	0
Acinetobacter sp. C16S1	0	0
Acinetobacter sp. DUT-2	0	0
Acinetobacter sp. EB104	0	0
Acinetobacter sp. FDAARGOS_493	0	0
Acinetobacter sp. FDAARGOS_494	0	0
Acinetobacter sp. FDAARGOS_560	0	0
Acinetobacter sp. FDAARGOS_724	0	0
Acinetobacter sp. JN247	0	0
Acinetobacter sp. LoGeW2-3	0	0
Acinetobacter sp. LUH5605	0	0
Acinetobacter sp. M131	0	0
Acinetobacter sp. Marseille-Q1620	0	0
Acinetobacter sp. MYb10	0	0
Acinetobacter sp. NCu2D-2	0	0
Acinetobacter sp. NEB149	0	0
Acinetobacter sp. NEB 394	0	0
Acinetobacter sp. SUN	0	0
Acinetobacter sp. SWBY1	0	0
Acinetobacter sp. TGL-Y2	0	0
Acinetobacter sp. TTH0-4	0	0
Acinetobacter sp. WCHA45	0	1
Acinetobacter sp. WCHA55	0	1
Acinetobacter sp. WCHAc010034	0	0
Acinetobacter sp. WCHAc010052	0	0
Acinetobacter sp. YH12138	0	0
Acinetobacter tandoii	0	0
Acinetobacter towneri	0	0
Acinetobacter ursingii	0	0
Acinetobacter venetianus	0	0
Acinetobacter virus 133	0	0
Acinetobacter virus AB1	0	0
Acinetobacter virus AB2	0	0
Acinetobacter virus AB3	0	0
Acinetobacter virus AbC62	0	0
Acinetobacter virus AbKT21III	0	0
Acinetobacter virus Abp1	0	0
Acinetobacter virus AbP2	0	0
Acinetobacter virus Aci01-1	0	0
Acinetobacter virus Aci02-2	0	0
Acinetobacter virus Aci05	0	0
Acinetobacter virus Aci07	0	0
Acinetobacter virus Aci08	0	0
Acinetobacter virus Acibel007	0	0
Acinetobacter virus AP22	0	0
Acinetobacter virus AS11	0	0
Acinetobacter virus AS12	0	0
Acinetobacter virus B1251	0	0
Acinetobacter virus B1	0	0
Acinetobacter virus B3	0	0
Acinetobacter virus D2	0	0
Acinetobacter virus Fri1	0	0
Acinetobacter virus IME200	0	0
Acinetobacter virus IMEAB3	0	0
Acinetobacter virus Loki	0	0
Acinetobacter virus LZ35	0	0
Acinetobacter virus ME3	0	0
Acinetobacter virus P1	0	0
Acinetobacter virus P2	0	0
Acinetobacter virus PD6A3	0	0
Acinetobacter virus PDAB9	0	0
Acinetobacter virus Petty	0	0
Acinetobacter virus phiAB1	0	0
Acinetobacter virus phiAB6	0	0
Acinetobacter virus R3177	0	0
Acinetobacter virus SH-Ab 15519	0	0
Acinetobacter virus SWHAb1	0	0
Acinetobacter virus SWHAb3	0	0
Acinetobacter virus WCHABP12	0	0
Acinetobacter virus WCHABP1	0	0
Acinetobacter virus WCHABP5	0	0
Acinetobacter wanghuae	0	0
Acinetobacter wuhouensis	0	1
Acintetobacter virus B5	0	0
Acipenserid herpesvirus 2	0	0
Aconitum latent virus	0	0
Actinidia chlorotic ringspot-associated emaravirus	0	0
Actinidia seed borne latent virus	0	0
Actinidia virus 1	0	0
Actinidia virus A	0	0
Actinidia virus B	0	0
Actinidia virus X	0	0
Actinoalloteichus fjordicus	0	0
Actinoalloteichus hoggarensis	0	0
Actinoalloteichus hymeniacidonis	0	0
Actinoalloteichus sp. GBA129-24	0	0
Actinobacillus delphinicola	0	2
Actinobacillus equuli	0	2
Actinobacillus indolicus	0	1
Actinobacillus lignieresii	0	0
Actinobacillus pleuropneumoniae	0	11
Actinobacillus porcitonsillarum	0	6
Actinobacillus succinogenes	0	0
Actinobacillus suis	0	1
Actinobaculum sp. 313	0	0
Actinomadura amylolytica	0	0
Actinomadura sp. NAK00032	0	0
Actinomadura sp. WMMA1423	0	0
Actinomadura sp. WMMB 499	0	0
Actinomadura verrucosospora	0	0
Actinomarinicola tropica	0	0
Actinomyces gaoshouyii	0	0
Actinomyces howellii	0	1
Actinomyces israelii	0	0
Actinomyces naeslundii	0	36
Actinomyces oris	0	85
Actinomyces pacaensis	4	0
Actinomyces qiguomingii	0	0
Actinomyces radicidentis	0	0
Actinomyces slackii	0	1
Actinomyces sp. 2129	0	0
Actinomyces sp. 299	0	1
Actinomyces sp. 432	0	0
Actinomyces sp. Chiba101	0	0
Actinomyces sp. dk561	0	1
Actinomyces sp. oral taxon 169	0	88
Actinomyces sp. oral taxon 171	3	12
Actinomyces sp. oral taxon 414	0	0
Actinomyces sp. oral taxon 897	0	1
Actinomyces sp. Z16	0	0
Actinomyces sp. zg-325	0	1
Actinomyces sp. ZJ34	0	0
Actinomyces sp. ZJ750	0	0
Actinomyces tangfeifanii	0	0
Actinomyces virus Av1	0	0
Actinomyces viscosus	0	3
Actinoplanes derwentensis	0	0
Actinoplanes friuliensis	0	0
Actinoplanes missouriensis	0	0
Actinoplanes phage phiAsp2	0	0
Actinoplanes sp. N902-109	0	0
Actinoplanes sp. OR16	0	0
Actinoplanes sp. SE50/110	0	0
Actinoplanes sp. SE50	0	0
Actinoplanes teichomyceticus	0	0
Actinopolymorpha singaporensis	0	0
Actinopolyspora erythraea	0	0
Actinosynnema mirum	0	0
Actinosynnema pretiosum	0	0
Actinotalea sp. JY-7876	0	0
Actinotignum schaalii	0	0
Acutalibacter muris	0	0
Acute bee paralysis virus	0	0
Acyrthosiphon pisum virus	0	0
Adana phlebovirus	0	0
Adelaide River ephemerovirus	0	0
Adelphocoris suturalis virus	0	0
Adeno-associated dependoparvovirus A	0	0
Adeno-associated dependoparvovirus B	0	0
Adeno-associated virus	0	0
Adhaeribacter sp. KUDC8001	0	0
Adhaeribacter swui	0	0
Adlercreutzia equolifaciens	0	0
Adlercreutzia sp. 8CFCBH1	0	0
Adoxophyes honmai entomopoxvirus	0	0
Adoxophyes honmai nucleopolyhedrovirus	0	0
Adoxophyes orana granulovirus	0	0
Adoxophyes orana nucleopolyhedrovirus	0	0
Advenella kashmirensis	0	0
Advenella mimigardefordensis	0	0
Aedes alboannulatus toti-like virus 1	0	0
Aedes camptorhynchus negev-like virus	0	0
Aedes camptorhynchus reo-like virus	0	0
Aedes camptorhynchus toti-like virus 1	0	0
Aedes flavivirus	0	0
Aedes pseudoscutellaris reovirus	0	0
Aeonium ringspot virus	0	0
Aequorivita sp. H23M31	0	0
Aequorivita sublithincola	0	0
Aeribacillus pallidus	0	0
Aeribacillus phage AP45	0	0
Aerococcus christensenii	0	0
Aerococcus sanguinicola	0	0
Aerococcus urinae	0	0
Aerococcus urinaeequi	0	0
Aerococcus urinaehominis	0	0
Aerococcus viridans	0	0
Aeromicrobium choanae	0	0
Aeromicrobium erythreum	0	0
Aeromicrobium marinum	0	0
Aeromicrobium sp. 592	0	0
Aeromicrobium sp. A1-2	0	0
Aeromicrobium sp. MF47	0	0
Aeromicrobium sp. zg-629	0	0
Aeromonas allosaccharophila	0	0
Aeromonas bestiarum	0	0
Aeromonas caviae	0	0
Aeromonas dhakensis	0	0
Aeromonas encheleia	0	0
Aeromonas enteropelogenes	0	0
Aeromonas hydrophila	0	0
Aeromonas jandaei	0	0
Aeromonas media	0	0
Aeromonas phage 2-L372D	0	0
Aeromonas phage 2_L372X	0	0
Aeromonas phage 4_4572	0	0
Aeromonas phage 4_L372D	0	0
Aeromonas phage 4_L372XY	0	0
Aeromonas phage AS-sw	0	0
Aeromonas phage AS-zj	0	0
Aeromonas phage CC2	0	0
Aeromonas phage LAh_6	0	0
Aeromonas phage LAh_8	0	0
Aeromonas phage LAh9	0	0
Aeromonas phage phiA8-29	0	0
Aeromonas phage phiAS5	0	0
Aeromonas phage PX29	0	0
Aeromonas rivipollensis	0	0
Aeromonas salmonicida	0	0
Aeromonas schubertii	0	0
Aeromonas simiae	0	0
Aeromonas sobria	0	4
Aeromonas sp. 1805	0	0
Aeromonas sp. 2692-1	0	0
Aeromonas sp. ASNIH1	0	0
Aeromonas sp. ASNIH2	0	0
Aeromonas sp. ASNIH3	0	0
Aeromonas sp. ASNIH4	0	2
Aeromonas sp. ASNIH5	0	0
Aeromonas sp. ASNIH7	0	0
Aeromonas sp. C3	0	0
Aeromonas sp. CA23	0	0
Aeromonas sp. CU5	0	0
Aeromonas sp. Ne-1	0	0
Aeromonas sp. pRIVM0001_VIM-1	0	0
Aeromonas sp. WP2-W18-CRE-05	0	0
Aeromonas taiwanensis	0	0
Aeromonas veronii	0	0
Aeromonas virus 25	0	0
Aeromonas virus 25AhydR2PP	0	0
Aeromonas virus 31	0	0
Aeromonas virus 44RR2	0	0
Aeromonas virus 56	0	0
Aeromonas virus 65	0	0
Aeromonas virus Aeh1	0	0
Aeromonas virus Aes12	0	0
Aeromonas virus Aes508	0	0
Aeromonas virus Ahp1	0	0
Aeromonas virus AhSzq1	0	0
Aeromonas virus AhSzw1	0	0
Aeromonas virus AS4	0	0
Aeromonas virus AS7	0	0
Aeromonas virus Asgz	0	0
Aeromonas virus CF7	0	0
Aeromonas virus pAh6C	0	0
Aeromonas virus phiO18P	0	0
Aeromonas virus pIS4A	0	0
Aeromonas virus ZPAH7	0	0
Aeropyrum camini	0	0
Aeropyrum coil-shaped virus	0	0
Aeropyrum globular virus 1	0	0
Aeropyrum pernix	0	0
Aeropyrum pernix bacilliform virus 1	0	0
Aeropyrum pernix ovoid virus 1	0	0
Aeropyrum pernix spindle-shaped virus 1	0	0
Aerosticca soli	0	0
Afipia sp. GAS231	0	0
African cassava mosaic virus	0	0
African eggplant mosaic virus	0	0
African eggplant yellowing virus	0	0
African green monkey polyomavirus	0	0
African green monkey simian foamy virus	0	0
African horse sickness virus	0	0
African oil palm ringspot virus	0	0
African swine fever virus	0	0
Agarilytica rhodophyticola	0	0
Agarivorans gilvus	0	0
Agave tequilana leaf virus	0	0
Ageratum conyzoides associated symptomless alphasatellite	0	0
Ageratum conyzoides symptomless alphasatellite	0	0
Ageratum enation alphasatellite	0	0
Ageratum enation virus	0	0
Ageratum latent virus	0	0
Ageratum leaf curl betasatellite	0	0
Ageratum leaf curl Buea betasatellite	0	0
Ageratum leaf curl Cameroon alphasatellite	0	0
Ageratum leaf curl Cameroon betasatellite	0	0
Ageratum leaf curl Cameroon virus	0	0
Ageratum leaf curl virus	0	0
Ageratum yellow leaf curl betasatellite	0	0
Ageratum yellow vein alphasatellite	0	0
Ageratum yellow vein betasatellite	0	0
Ageratum yellow vein China alphasatellite	0	0
Ageratum yellow vein China betasatellite	0	0
Ageratum Yellow vein China virus - OX1	0	0
Ageratum yellow vein Hualian virus	0	0
Ageratum yellow vein India alphasatellite	0	0
Ageratum yellow vein India betasatellite	0	0
Ageratum yellow vein Pakistan alphasatellite	0	0
Ageratum yellow vein Singapore alphasatellite	0	0
Ageratum yellow vein Sri Lanka betasatellite	0	0
Ageratum yellow vein Sri Lanka virus	0	0
Ageratum yellow vein Taiwan virus	0	0
Ageratum yellow vein virus	0	0
Aggregatibacter actinomycetemcomitans	2	0
Aggregatibacter aphrophilus	52	11
Aggregatibacter phage S1249	0	0
Aggregatibacter segnis	200	9
Agrobacterium deltaense	0	0
Agrobacterium fabrum	0	0
Agrobacterium genomosp. 1	0	0
Agrobacterium genomosp. 3	0	0
Agrobacterium genomosp. 6	0	0
Agrobacterium larrymoorei	0	0
Agrobacterium rhizogenes	0	0
Agrobacterium rubi	0	0
Agrobacterium sp. 33MFTa1.1	0	0
Agrobacterium sp.	0	0
Agrobacterium sp. CGMCC 11546	0	0
Agrobacterium sp. H13-3	0	0
Agrobacterium sp. MA01	0	0
Agrobacterium sp. RAC06	0	0
Agrobacterium sp. T29	0	0
