CAZy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
AA1	96.6486	0.0	63.01232	264.9468	199.7632	132.97083999999998	99.8115	0.0	142.1904	205.0224	105.07809999999999	69.1098
AA3	192.294	0.0	47.5363	248.7092	49.9324	29.8657	0.0	21.98	87.8881	47.498999999999995	168.3426	83.3569
CBM13	376.29745	88.8824	43.29815	1197.3433	1557.299	359.29791800000004	197.89181000000005	219.504	763.6981000000001	1391.0548	739.50711	854.2138
CBM14	91.49799999999999	83.6052	86.56081	75.786	153.15200000000002	0.0	61.1569	51.5028	0.0	0.0	10.8227	0.0
CBM20	423.512	0.0	11.9841	283.8024	51.9686	394.108	193.8782	0.0	116.79509999999999	308.2728	179.7841	62.4637
CBM22	0.0	26.807	0.0	0.0	0.0	230.18110000000001	27.433000000000003	32.9261	26.218000000000004	0.0	70.9554	69.91
CBM3	217.82299999999998	0.0	0.0	0.0	0.0	7.7803	74.0327	0.0	0.0	0.0	0.0	0.0
CBM32	484.56	27.017180000000003	61.497840000000004	241.38200000000003	243.433	892.6935	283.71766	30.5724	432.3071	389.3047	298.61850000000004	103.7237
CBM35	0.0	0.0	0.0	68.2452	0.0	0.0	0.0	0.0	18.5984	42.1568	83.8184	0.0
CBM37	0.0	0.0	0.0	0.0	0.0	185.168	53.6456	0.0	0.0	0.0	0.0	0.0
CBM38	0.0	0.0	0.0	0.0	0.0	233.24099999999999	0.0	33.967	0.0	0.0	0.0	0.0
CBM40	0.0	0.0	0.0	0.0	266.715	0.0	22.1047	18.840999999999998	0.0	0.0	0.0	0.0
CBM41	0.0	0.0	15.9362	42.966499999999996	0.0	0.0	215.9762	0.0	24.4513	125.31909999999999	121.82889999999999	196.013
CBM47	0.0	0.0	0.0	110.15799999999999	0.0	0.0	0.0	0.0	119.995	34.0299	0.0	0.0
CBM48	585.7096999999999	373.67348000000004	118.95974	1701.8768	589.903	419.72749999999996	549.7097000000001	91.0598	2238.3642999999997	1360.3519400000002	1563.6636999999998	614.229
CBM5	217.82299999999998	0.0	0.0	0.0	0.0	177.3103	74.0327	0.0	49.2055	0.0	0.0	0.0
CBM50	2192.3021	1074.76851	1045.0867700000001	3759.6570099999985	3438.8495000000003	3009.9127700000004	1260.99167	652.78164	3860.1929999999998	5590.162579999999	4526.37074	2546.1027000000004
CBM51	0.0	16.1053	0.0	0.0	0.0	215.718	23.3943	0.0	85.3258	0.0	116.2123	0.0
CBM54	0.0	0.0	0.0	0.0	0.0	245.217	0.0	0.0	0.0	0.0	0.0	0.0
