bray_curtis_binary	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
A17	0	0.269	0.287	0.298	0.315	0.301	0.298	0.299	0.289	0.289	0.275	0.408	0.327	0.308	0.494	0.314	0.338	0.301
B22	0.269	0	0.141	0.182	0.194	0.183	0.170	0.229	0.197	0.192	0.179	0.361	0.234	0.184	0.487	0.223	0.267	0.188
EA48	0.287	0.141	0	0.140	0.153	0.143	0.126	0.242	0.201	0.192	0.181	0.355	0.214	0.143	0.484	0.187	0.242	0.168
EB01	0.298	0.182	0.140	0	0.182	0.167	0.161	0.269	0.230	0.231	0.216	0.344	0.230	0.179	0.472	0.202	0.253	0.196
EB02	0.315	0.194	0.153	0.182	0	0.170	0.156	0.282	0.244	0.233	0.231	0.344	0.225	0.176	0.455	0.212	0.257	0.198
EB13	0.301	0.183	0.143	0.167	0.170	0	0.157	0.272	0.239	0.231	0.221	0.350	0.219	0.171	0.457	0.201	0.248	0.201
EB17	0.298	0.170	0.126	0.161	0.156	0.157	0	0.264	0.230	0.214	0.208	0.348	0.216	0.159	0.468	0.204	0.246	0.187
G01	0.299	0.229	0.242	0.269	0.282	0.272	0.264	0	0.227	0.228	0.208	0.412	0.299	0.273	0.526	0.306	0.319	0.264
M01	0.289	0.197	0.201	0.230	0.244	0.239	0.230	0.227	0	0.207	0.198	0.391	0.275	0.240	0.509	0.261	0.298	0.231
P01	0.289	0.192	0.192	0.231	0.233	0.231	0.214	0.228	0.207	0	0.188	0.404	0.280	0.235	0.523	0.269	0.300	0.221
P22	0.275	0.179	0.181	0.216	0.231	0.221	0.208	0.208	0.198	0.188	0	0.389	0.269	0.222	0.517	0.256	0.293	0.216
YA04	0.408	0.361	0.355	0.344	0.344	0.350	0.348	0.412	0.391	0.404	0.389	0	0.328	0.330	0.426	0.322	0.322	0.356
YA23	0.327	0.234	0.214	0.230	0.225	0.219	0.216	0.299	0.275	0.280	0.269	0.328	0	0.212	0.431	0.240	0.258	0.246
YB31	0.308	0.184	0.143	0.179	0.176	0.171	0.159	0.273	0.240	0.235	0.222	0.330	0.212	0	0.452	0.200	0.232	0.195
YB43	0.494	0.487	0.484	0.472	0.455	0.457	0.468	0.526	0.509	0.523	0.517	0.426	0.431	0.452	0	0.445	0.428	0.477
YB54	0.314	0.223	0.187	0.202	0.212	0.201	0.204	0.306	0.261	0.269	0.256	0.322	0.240	0.200	0.445	0	0.246	0.231
YB56	0.338	0.267	0.242	0.253	0.257	0.248	0.246	0.319	0.298	0.300	0.293	0.322	0.258	0.232	0.428	0.246	0	0.267
Z16	0.301	0.188	0.168	0.196	0.198	0.201	0.187	0.264	0.231	0.221	0.216	0.356	0.246	0.195	0.477	0.231	0.267	0
