Family	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
f__Pasteurellaceae	0	49.01907	11.22223	23.01755	29.37239	8.60605	1.32388	8.59656	10.10225	37.52091	35.56198	22.11367
f__Fusobacteriaceae	34.44321	0	43.68889	10.12294	30.7742	2.42216	6.47104	0	3.29618	4.82161	1.45914	11.51017
f__Flavobacteriaceae	41.79757	0	0	0	13.69889	0	59.21851	0	0	0	1.45235	5.3501
f__Veillonellaceae	0	1.07232	3.885	6.1308	0	31.94992	2.5239	25.89607	8.28124	2.87306	19.81391	18.16495
f__Neisseriaceae	0	11.14408	16.67326	30.66689	0	0	6.03833	0	22.92717	21.16777	6.92567	3.52826
f__Prevotellaceae	11.65473	1.62683	5.93921	0	5.04503	54.32263	7.10762	4.78538	0	0	0	4.8954
f__Streptococcaceae	0	0	0	8.07217	0	1.21409	15.76156	7.35783	20.20501	10.19995	3.26243	7.43842
f__Micrococcaceae	0	0	0	7.12324	0	0	0	5.20333	14.37206	6.74279	30.84774	0
f__Bacillales_noname	5.66836	0	9.28457	8.7403	0	0	1.55517	0	18.49003	16.6739	0.67677	1.1452
f__Leptotrichiaceae	0	0	9.30683	5.58308	13.5581	0.59901	0	7.38617	1.27566	0	0	8.09323
f__Sphingomonadaceae	0	37.13768	0	0	0	0	0	0	0	0	0	0
f__Corynebacteriaceae	0	0	0	0	0	0	0	23.27956	0	0	0	7.24596
f__Propionibacteriaceae	0	0	0	0	0	0	0	9.34824	0	0	0	0
f__Carnobacteriaceae	0	0	0	0	5.16404	0	0	0	1.0504	0	0	0
f__Cardiobacteriaceae	0	0	0	0	0	0	0	5.15233	0	0	0	0
f__Campylobacteraceae	0.17326	0	0	0	2.38735	0	0	0	0	0	0	2.32243
f__Peptostreptococcaceae	4.76921	0	0	0	0	0	0	0	0	0	0	0
f__Porphyromonadaceae	0	0	0	0	0	0	0	0	0	0	0	4.02554
f__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	3.05618
f__Burkholderiaceae	0	0	0	0	0	0	0	2.29469	0	0	0	0
f__Lachnospiraceae	0.64929	0	0	0.54303	0	0	0	0	0	0	0	0
f__Spirochaetaceae	0	0	0	0	0	0	0	0	0	0	0	1.1105
f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0.88613	0	0	0	0	0	0
f__Erysipelotrichaceae	0.84437	0	0	0	0	0	0	0	0	0	0	0
f__Actinomycetaceae	0	0	0	0	0	0	0	0.69984	0	0	0	0
