# Gene Family	C1	C2
K01923	5.8630568253	9.5588235294
K01924	8.1673679125	4.5489006823
K01928	5.6219255095	0
K01929	0	4.3636363636
K01933	8.6956521739	5.905511811
K01935	19.6428571429	7.722007722
K01937	3.2894736842	0
K01938	21.3756191351	0
K01939	11.8845500849	0
K01951	11.1188325226	6.1141304348
K01952	3.6845720166	24.720412935200002
K01955	9.5838397304	0
K01956	6.160164271	0
K01961	7.9808459697	0
K01962	10.6888361045	3.5377358491
K01963	11.0429447853	0
K01966	0	5.9292763076
K01975	0	5.1546391753
K01990	6.5789473684	8.4337349398
K01992	0	7.5528700906
K01997	8.883248731	0
K02003	5.1635111876	0
K02004	14.002377332200002	0
K02005	0	7.7041602465
K02012	10.4986247205	0
K02013	12.7517681937	2.0463847203
K02014	14.182043929699999	58.173060905899995
K02015	12.2542816428	4.6674445741
K02036	0	6.0698027314
K02041	6.2111801242	0
K02044	3.1457354941	0
K02067	0	3.4762456547
K02071	9.9118942731	0
K02072	9.9667774086	0
K02078	52.634580291999995	0
K02110	11.7647058824	0
K02111	10.7875583063	6.6433566434
K02112	7.7579519007	0
K02113	0	5.3191489362
K02115	7.3361342342	0
K02118	10.1801096319	0
K02119	8.2902314261	0
K02194	0	7.3800738007
K02200	0	6.4308681672
K02204	0	4.3525571273
K02226	10.5042016807	0
K02237	16.2412993039	0
K02257	0	3.640776699
K02275	0	3.2217656249
K02276	0	3.6014405762
K02279	0	5.2798310454
K02291	0	3.4195933457
K02299	0	13.2397694318
K02303	3.0627871363	0
K02335	5.7647600489	0
K02337	0	4.9897270326
K02341	10.3896103896	0
K02342	7.3855243722	0
K02346	5.7602044601	0
K02355	7.7971880622	10.999317938699999
K02356	4.2826552463	4.2826552463
K02357	9.4851631136	0
K02358	9.1911764706	7.6239955823
K02372	9.2024539877	0
K02379	0	7.0873692579
K02386	0	7.1599045346
K02394	0	4.995004995
K02395	9.2165898618	0
K02411	0	3.7831021438
K02416	0	8.9392133492
K02419	0	3.75
K02420	0	17.6470588235
K02427	0	3.7950664137
K02429	0	8.845504549000001
K02433	8.1001472754	0
K02434	0	4.3891733723
K02435	5.2356020942	9.8522167488
K02446	7.9702444208	0
K02452	0	5.3835800808
K02454	7.4190083331	6.6711140761
K02469	7.0422535211	0
K02470	13.3227758447	5.4257095159
K02483	0	23.3614172639
K02502	0	2.8138759268
K02517	5.2151238592	0
K02518	0	6.8493150685
K02519	9.7947761194	0
K02520	0	6.9124423963
K02527	10.9709270433	0
K02528	0	4.8780487805
K02529	0	9.8167211244
K02535	0	3.385367884
K02536	9.0702947846	0
K02557	5.1746442432	0
K02563	7.7940590345	0
K02601	7.3126142596	0
K02647	5.0403225806	0
K02687	7.2028811525	0
K02824	10.6761565836	0
K02835	6.1622768102	8.1883316274
K02838	5.274570676	0
K02860	11.8483412322	0
K02863	13.358608385299998	0
K02864	7.2639225182	0
K02867	9.2024539877	9.1185410334
K02871	0	6.7156379749
K02874	18.6668103887	16.8658964598
K02876	17.715098979300002	11.9402985074
K02878	9.2024539877	0
K02879	7.96812749	0
K02881	0	3.1347962382
K02886	5.4719562244	0
K02887	19.7680438475	0
K02888	0	5.076142132
K02890	14.6542607878	11.4860900979
K02892	5.3191489362	0
K02895	26.5991690943	0
K02897	0	5.3191489362
K02899	0	6.3291139241
K02902	12.6582278481	0
K02904	40.9900471451	6.3694267516
K02906	13.18936207	0
K02907	23.2558139535	25.974025974
K02909	13.698630137	8.8495575221
K02911	25.0	14.0845070423
K02913	7.5187969925	54.4048343432
K02914	50.8474576271	28.5714285714
K02916	6.25	24.184854766
K02926	7.2697912321	0
K02931	16.5482438525	17.5492033739
K02933	13.8248847926	5.7133648227
K02935	0	7.3529411765
K02945	9.2281879195	0
K02946	14.286359122499999	4.7169811321
K02948	24.1379310344	10.3448275862
K02950	24.2014982129	5.4581581805
K02952	27.5012822473	7.7821011673
K02954	41.994240031	0
K02956	30.7520476546	11.7647058824
K02961	26.3822367079	0
K02963	25.2100840336	0
K02965	8.7590593981	0
K02967	7.7639751553	4.8154093098
K02968	17.3410404624	0
K02970	13.5135135135	0
K02982	5.3571428571	4.9342105263
K02986	14.2688138408	0
K02988	17.8571428571	0
K02992	16.2689224837	6.7800026278
K02996	8.6030066542	5.3103201074
K03040	5.7171610053	0
K03043	15.481293956599998	0
K03046	12.1762000915	0
K03060	0	8.1632653061
K03070	11.587691794400001	0
K03073	2.8653295129	10.2040816327
K03076	9.759583661	0
K03078	0	5.1635111876
K03088	0	13.671875
K03100	4.4247787611	0
K03101	9.6074234274	0
K03106	6.4777327935	0
K03110	0	3.5756853397
K03113	13.3928571429	0
K03116	18.691588785	0
K03118	0	3.6840900118
K03147	9.5854649431	0
K03168	0	7.5105922843999995
K03177	10.4712041885	0
K03215	5.957321978	0
K03217	13.5135135135	0
K03218	9.9173553719	0
K03270	9.828009828	0
K03271	10.3092783505	0
K03274	8.8987764182	0
K03282	3.5587188612	6.8259385666
K03286	13.6948062492	0
K03305	5.0994390617	4.6647230321
K03308	6.1890903878	0
K03312	4.3668122271	0
K03321	0	5.8394160584
K03322	0	7.4503311258
K03386	0	8.6206896552
K03387	0	4.0349697377
K03406	0	14.412555444
K03408	0	21.8160963067
K03409	0	13.4009497567
K03412	0	6.5005417118
K03413	3.0487804878	6.0241510393
K03431	9.0634441088	0
K03438	21.9025922356	0
K03439	21.2979494185	6.8846815835
K03453	5.2151238592	0
K03466	7.3170731707	0
K03469	0	8.4269662921
K03495	4.750521924	0
K03496	4.8154093098	7.3206442167
K03497	0	3.4443168772
K03499	6.7975830816	0
K03501	6.6777963272	0
K03517	6.5566431493	5.4704595186
K03525	3.6649682759	0
K03526	0	8.7548638132
K03527	9.2281879195	4.7337278107
K03536	8.4745762712	0
K03544	8.5509873368	5.9726962457
K03545	11.5867057491	8.794364658
K03551	10.9051254089	4.3336944745
K03553	8.7040618956	0
K03555	5.2710843373	0
K03559	15.644051520599998	12.1580547112
K03561	16.338721932	0
K03566	0	5.076142132
K03568	0	5.2710843373
K03569	12.9171151776	0
K03588	4.1841004184	0
K03590	4.5078888054	0
K03592	0	3.2061467204
K03595	7.6726342711	0
K03596	7.0713022982	0
K03612	10.0200400802	0
K03621	7.6347783021	0
K03625	0	8.4985835694
K03628	6.1295971979	0
K03629	8.870495709	0
K03630	15.854528890200001	0
K03631	7.0422535211	0
K03642	0	3.984063745
K03643	0	4.8076923077
K03644	7.585335019	0
K03650	7.0977917981	5.6451612903
K03652	0	11.0619469027
K03653	7.2202166065	0
K03657	4.5686198682	5.4894784995
K03665	0	4.6059714909
K03666	0	6.4898342263
K03684	0	5.7581573896
K03685	6.0698027314	5.2724077329
K03686	5.244360882	3.9138943249
K03695	8.0680515733	4.435483871
K03699	0	4.9916805324
K03702	9.1968117719	14.3607632774
K03703	15.224604299100001	0
K03704	0	6.9252077562
K03705	7.5839653304	0
K03710	0	9.5389507154
K03718	10.4438642298	0
K03723	0	5.0430139425
K03734	7.4626865672	0
K03735	5.5205047319	0
K03736	13.9601886695	0
K03737	8.0761465244	0
K03742	12.7620783956	0
K03763	2.9978641634	0
K03770	6.9095477387	0
K03771	0	3.9432176656
K03777	3.7688442211	0
K03778	7.6838638858	0
K03782	0	4.6970408643
K03786	5.8139534884	0
K03796	6.5789473684	0
K03809	0	5.9642147117
K03821	0	4.1841004184
K03823	7.204610951	5.3662471079
K03832	14.2635106693	4.5317220544
K03841	8.6398864801	0
K03923	0	5.6179775281
K03924	5.5432372506	0
K03977	8.1766148814	0
K03978	8.3303995698	0
K03979	10.1098822887	0
K04019	9.0157776108	0
K04023	11.6740057458	0
K04042	8.038585209	0
K04043	10.9826589595	0
K04047	0	6.364371651
K04066	0	5.3088803089
K04077	0	6.4741915335
K04078	0	16.5206508135
K04079	5.2089323226	0
K04083	0	6.157635468
K04094	8.2987551867	7.0977917981
K04488	5.9701492537	0
K04565	0	5.7603686636
K04744	0	3.6067514624
K04749	7.2202166065	0
K04755	0	11.1869270702
K04762	0	15.4639175258
K04773	0	5.0279329609
K05349	0	4.3841399482
K05350	0	3.7230081906
K05366	0	4.7641734159
K05515	0	5.9820538385
K05524	0	8.2644628099
K05525	0	5.3097345133
K05540	0	7.6335877863
K05595	0	9.5969289827
K05601	7.3304825901	0
K05770	0	6.1898445737
K05807	0	5.753739931
K05837	7.5042505626	7.9207920792
K05896	0	7.9872204473
K05966	9.461288081	0
K05970	0	5.2795729184
K05985	15.5462518354	0
K06013	7.8534031414	0
K06041	7.4364897077	0
K06147	24.8849283243	4.7477744807
K06148	6.9488313329	0
K06153	11.1805738229	0
K06158	0	4.004576659
K06168	6.6225165563	4.2553191489
K06173	6.2695924765	0
K06177	0	10.7719928187
K06180	16.2258060073	0
K06181	0	15.6844724159
K06209	4.6838407494	0
K06215	12.1130551817	0
K06217	0	5.4373415522
K06412	25.8642369071	0
K06442	0	5.6640052473
K06518	6.4516129032	0
K06878	0	6.2861149647
K06894	0	3.6932232537
K06895	8.487479271	0
K06901	15.2506511496	0
K06911	0	8.347245409
K06923	0	5.5632823366
K06929	0	6.0240963855
K06941	5.1177072671	0
K06942	6.0301507538	0
K06958	7.8226857888	8.652657602
K06978	0	4.8966267682
K06985	0	7.722007722
K06996	0	8.5836909871
K06997	12.2393568647	10.1180438449
K07002	3.8005331166	0
K07005	2.722971974	0
K07010	2.7861428374	4.7021943574
K07035	4.898529195	0
K07042	7.7120822622	12.1065375303
K07056	6.5789473684	3.6319612591
K07082	0	5.753739931
K07084	6.6555740433	0
K07085	3.7496491024	0
K07093	0	6.3157894737
K07101	0	7.1599045346
K07106	0	5.0377833753
K07107	0	5.8651026393
K07112	0	6.4935064935
K07115	0	6.8399452804
K07131	3.0487804878	0
K07152	0	6.0728744939
K07160	16.3204747774	0
K07165	0	6.4864864865
K07166	0	2.7729749454
K07173	10.5263157895	0
K07192	6.4148253742	0
K07223	0	8.78293601
K07238	0	8.5178875639
K07304	0	19.983642987499998
K07315	6.0443250504	0
K07336	0	4.6213512673
K07386	0	10.8037282956
K07400	0	6.1855670103
K07448	9.9255583127	0
K07456	8.0464908359	0
K07460	18.3889562282	18.691588785
K07461	0	16.7364016736
K07478	5.3380782918	0
K07491	5.3908355795	0
K07507	0	6.4829821718
K07516	0	5.1867219917
K07552	0	4.0518638574
K07559	6.8181818182	0
K07568	6.1976509884	0
K07636	5.547850208	0
K07667	0	6.3079860767
K07708	0	3.96432111
K07727	0	22.9007633588
K07738	8.5714285714	0
K08218	5.9880239521	0
K08296	0	1.9801980198
K08316	0	4.5766590389
K08591	5.4512435066	3.90625
K08679	0	5.1695625048
K08968	0	7.8328981723
K08972	9.5958127363	0
K08994	0	8.78293601
K09005	9.6852300242	0
K09022	14.3884892086	0
K09125	13.1578947368	0
K09131	0	12.4690616364
K09457	0	16.992120909
K09474	0	6.6445182724
K09710	14.7058823529	12.3839009288
K09747	0	17.8571428571
K09748	14.837324041	0
K09765	8.166969147	0
K09772	9.367110388	0
K09787	18.8679245283	0
K09810	24.3666368234	6.1000848862
K09811	7.2028811525	0
K09861	10.8191653787	0
K09903	11.9795981311	0
K09949	6.3252613245	0
K09951	11.9753806198	5.1546391753
K09985	0	10.3626943005
K10009	0	3.2414910859
K10026	0	5.016722408
K10126	0	3.9001560062
K10536	0	5.7339449541
K10540	8.6393088553	0
K10541	5.4347826087	0
K10542	6.4148253742	4.9350604138
K10563	0	3.8412291933
K10680	0	5.9405940594
K10764	0	6.3291139241
K10773	0	5.3859964093
K10979	0	5.9424821888
K11072	7.2744907856	0
K11145	9.8104985562	0
K11175	4.2927376548	0
K11177	0	6.0889929742
K11178	0	4.3103448276
K11206	0	7.7922077922
K11645	0	8.4887983238
K11741	0	4.5248868778
K11749	6.9524913094	0
K11753	0	5.9594755662
K11754	8.5300800617	3.1274433151
K11927	0	6.3694267516
K12373	0	5.7268722467
K12524	6.2811277729	0
K13292	6.518904824	6.1124694377
K13583	0	6.2327449398
K13588	0	4.9180327869
K13590	0	6.0240963855
K13810	0	4.8780487805
K13877	0	3.5572640821
K14160	0	4.0760869565
K14189	0	4.4117647059
K14392	6.3375638552	0
K14652	0	5.7701571069
K14761	25.8620689655	0
K15011	0	5.9271803556
K15342	4.7920068809	0
K15532	0	7.8973346496
K15581	0	6.0901339829
K15724	0	8.1644894695
K15727	0	4.2992261393
K15746	0	9.6153846154
K15977	6.5573770492	0
K15987	8.8449531738	6.7665538908
K16074	0	10.5386416862
K16079	0	5.9288537549
K16080	0	6.25
K16091	5.0444033341	0
K16092	0	4.9288061336
K16210	0	7.1275837491
K16211	0	6.5252854812
K16264	4.6511627907	5.9594755662
K16363	6.2063615206	0
K16786	10.1336138507	0
K17103	3.305785124	4.9321824908
K17217	6.75024108	0
K17228	0	5.3134962806
K17828	11.6437936408	0
K17836	7.8930078152	5.1652892562
K18009	0	8.9820359281
K18011	8.6705202312	0
K18012	11.7270788913	0
K18013	7.6530612245	0
K18014	16.393442623	0
K18586	0	7.3206442167
K18682	11.5964153026	0
K18707	6.6225165563	0
K18829	0	7.4626865672
K18889	7.2937289092	0
K18918	0	8.6206896552
K19091	5.7472254654	0
K19157	4.7169811321	0
K19158	15.2284263959	0
K19159	13.2256656482	6.8493150685
K19267	0	3.6635917771
K19268	9.1354055204	0
K19504	10.8877782173	0
K19802	7.0564516129	0
K20967	5.5991041433	0
K21053	0	5.5066079295
K21470	0	3.765060241
K21472	0	5.3097345133
K21495	0	9.4624575754
K21571	5.9701492537	0
K21572	27.465110670199998	0
K21574	5.223667739	0
K21832	0	3.8149763722
K21883	0	6.1538461538
K21990	0	4.1899441341
K22024	4.1493775934	0
K22110	7.4701946142	0
K22617	0	6.4829821718
