PathwayL1	KO	C1	C2
Brite Hierarchies	K01810K00850K00850K03841K01623K01623K01623K01803K00134K00134K00927K01834K01834K01689K01689K00382K00016K00849K00703K00700K00697K12373K00790K00820K02257K02257K02111K02112K02115K02113K02110K00937K00831K00648K02372K16363K16363K01897K01897K00864K03621K08591K00602K00940K01951K00525K00939K01520K00812K01755K00643K00558K00558K00558K00558K01928K00681K01874K01874K01776K01924K01775K01921K01255K01256K01270K00799K00677K02535K02536K06041K01627K03270K00979K02527K02527K02517K03271K03274K00806K06153K01000K02563K05366K05366K05515K10026K09457K01885K01885K01885K01845K01698K00795K06013K06013K05525K02291K01434K17836K03040K03040K03043K03043K03046K03046K03060K03060K02945K02967K02982K02986K02988K02992K02996K02946K02948K02950K02952K02954K02956K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02864K02867K02871K02874K02876K02878K02879K02881K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02911K02913K02914K02916K02433K02434K02435K01872K01872K01876K01876K01876K01893K01893K01878K01878K01879K01879K01868K01868K01875K01875K01869K01869K01869K01870K01870K01887K01887K01887K01881K01881K01889K01889K01890K01890K01866K01866K01866K03113K03685K03685K03685K03076K03073K03217K03217K03070K03106K03110K03116K03118K03100K03101K04079K04079K04079K04079K04079K04079K00566K00962K00962K11927K03628K03628K18682K04043K04043K04043K04043K04077K04077K04077K04077K03666K03666K02342K02342K02337K02337K03763K03763K02341K02341K03469K02335K02335K10563K10773K03652K01142K03723K03702K03703K03657K03555K07456K03629K03553K03551K01159K04066K10979K02012K11072K02067K10540K10541K10542K02036K02044K02041K10009K01997K02072K02071K15581K16786K09810K02194K09811K09811K18889K02452K02454K07636K07636K07667K07708K07708K10126K00575K03406K03408K03413K03413K03412K03412K15011K15011K05770K01338K03590K03590K03588K03588K11749K03544K01358K03386K03566K03409K02416K02557K02557K02411K02411K02419K02419K02420K02420K02386K02394K02395K07192K07192K07192K01322K03695K02358K02358K02358K08218K00936K00936K01304K07010K21470K21470K07386K01267K01267K01436K21472K21472K01265K01299K01356K01356K04773K01297K01297K03592K03568K06894K02529K03710K03718K01420K02647K07727K18918K18918K03497K03497K03497K03705K07738K03088K03625K03625K02601K02601K07315K04749K06958K03595K03595K03979K02528K08316K03501K03501K03438K07056K06442K03218K02427K00783K07115K06941K03215K06177K06177K06180K06181K02860K02687K11145K03977K03665K09748K14761K09710K07042K06942K03439K06173K03177K01409K03650K03495K03495K00773K03536K03684K01975K07559K05540K06168K18707K04094K04094K00554K07568K09765K02519K02519K02520K02520K06158K02357K02357K02355K02355K02835K02838K02518K02356K03686K03686K04083K04762K04078K04078K03770K03771K02469K02469K02470K02470K03168K03168K04047K05896K03466K09772K03569K03569K03569K05837K03496K03496K03978K03631K15342K15342K02346K14160K07152K06147K06148K02015K02013K02004K02003K01992K01990K02429K07552K03282K03561K03559K16074K08994K16079K16080K03286K16091K16092K02014K05807K22110K04744K03643K06518K16210K16211K16264K07238K11741K07084K00427K14392K03312K03499K02824K06901K03321K03322K06895K09125K05595K03832K15987K15727K21572K07507K02279K02279K02237K03699K02483K09951K19091K07448K19157K19158K19159K18829K21495	3479.472784354	2065.4612872223
Cellular Processes	K00975K00703K12373K01897K01897K01897K01201K07173K07173K07173K00657K01657K01657K02563K01444K00869K03076K03073K03217K03070K03106K03110K04079K03666K03666K10540K01997K15581K02452K02454K07667K00575K03406K03408K03413K03412K13588K05770K04565K13583K01338K03590K03588K06985K11749K03544K01358K13590K03386K03566K03409K02416K02416K02557K02557K02411K02419K02420K02386K02394K02395	229.5156717313	272.5589674309
Environmental Information Processing	K00850K00850K03841K01623K00134K00927K01689K00016K00882K01179K01092K00940K01425K09474K03076K03073K03217K03070K03106K03110K03116K03118K04079K02012K11072K02067K10540K10541K10542K02036K02044K02041K10009K01997K02072K02071K15581K16786K09810K02194K09811K18889K02452K02454K07636K07667K01644K05966K07708K10126K00575K03406K03408K03413K03412K13588K15011K07165K05770	330.345539093	183.7321200273
Genetic Information Processing	K00850K01689K00937K01874K00604K01885K03040K03043K03046K03060K02945K02967K02982K02986K02988K02992K02996K02946K02948K02950K02952K02954K02956K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02864K02867K02871K02874K02876K02878K02879K02881K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02913K02914K02916K02433K02434K02435K01872K01876K01893K01878K01879K01868K01875K01869K01870K01887K01881K01889K01890K01866K03113K03685K03076K03073K03217K03070K03106K03110K03116K03118K03100K03101K04079K00566K00962K11927K03628K18682K04043K04077K03666K02342K02342K02342K02337K02337K02337K03763K03763K03763K02341K02341K02341K03469K02335K02335K02335K02335K10563K10773K03652K01142K03723K03702K03703K03657K03657K03555K07456K03629K03553K03551K01159K04066K10979	1262.3985992176	549.1583506461
Human Diseases	K00850K00134K00134K00134K01834K00016K00121K00239K01207K00820K00600K00432K00432K00432K00602K01425K01425K00558K01929K01775K01921K00799K00799K00799K00799K00799K00677K01000K02563K05366K05515K17836K03685K04079K04079K04079K04079K04043K04077K04077K04077K15581K05770K04565K04565K04565K04565K03596K08218	229.9470854169	207.2767298174
Metabolism	K00845K00845K00845K00845K00845K00845K01810K01810K01810K01810K13810K13810K13810K13810K00850K00850K00850K00850K00850K03841K03841K03841K03841K03841K02446K02446K02446K02446K02446K01623K01623K01623K01623K01623K11645K11645K11645K11645K11645K01624K01624K01624K01624K01624K01803K01803K01803K01803K00134K00134K00927K00927K01834K01834K01834K01689K01689K00382K00382K00382K00382K00382K00382K00382K00382K00382K03737K03737K03737K03737K03737K00016K00016K00016K00016K00121K00121K00121K00121K00121K00121K00121K00121K00121K00128K00128K00128K00128K00128K00128K00128K00128K00128K00128K00128K00128K00128K00128K00128K01610K01610K01610K01610K01647K01647K01681K01681K01681K01903K01903K01903K01903K00239K00239K00239K00239K00240K00240K00240K00240K01057K01807K01807K01619K00948K00948K01184K03078K03078K00854K13877K13877K01809K01809K01809K01840K01840K01840K00971K00971K00971K01711K01711K01711K21883K00882K00849K00849K01190K01190K01190K00035K01187K01187K08679K08679K08679K01706K01708K05349K05349K05349K05350K05350K05350K01179K00975K00975K00703K00700K21574K00697K01207K01207K12373K12373K12373K12373K12373K12373K07106K04042K04042K00790K00790K03431K00820K00820K00925K00925K00925K00925K00925K01962K01962K01962K01962K01961K01961K01961K01961K01963K01963K01963K01963K00101K00467K03778K03777K01759K01069K00029K00029K01595K01595K01595K01595K01638K01638K01637K01966K01966K01966K19268K19268K00600K00600K00600K00600K00600K00283K00283K01433K01433K01692K01692K01692K01692K01692K01692K01692K01692K01692K01692K01692K01692K01692K00074K00074K00074K07516K07516K07516K03821K00135K00135K00135K00135K00135K00019K00019K18009K01703K01703K01703K01704K01704K01092K01092K00337K00339K00340K00341K00343K02257K02257K02276K02275K02299K02111K02111K02112K02112K02115K02115K02113K02113K02110K02110K02118K02119K00937K01938K01938K01491K01491K01070K00831K00831K00831K00831K05601K00459K00260K00260K00260K00260K01673K00955K00955K00955K00955K00381K01738K01738K10764K10764K17217K17217K17217K17228K02078K02078K00648K02372K02372K16363K16363K01897K01897K00632K00632K00632K00632K00632K00632K00864K03621K08591K08591K00057K01048K01126K04019K03735K03736K17103K17103K01613K01201K01201K00432K00432K11175K11175K01952K01933K01588K01923K01756K01756K00602K00602K00760K00760K00940K00940K00940K11177K11178K01951K01951K00942K00525K00525K01129K01524K00951K01939K01939K01241K21053K00939K00939K01955K01955K01956K01956K00609K00609K01465K17828K00762K01591K09903K01937K01520K01520K00857K00857K00943K00812K00812K00812K00812K00812K00812K00812K00812K00812K00812K01424K01424K01755K01755K01425K01425K01425K12524K12524K12524K12524K00133K00133K00133K00133K02204K00643K00643K01752K01752K01754K01754K01696K01696K00549K00549K00789K00558K07173K08968K01761K01761K00674K01586K01928K01928K01929K01929K01843K01844K18011K18012K18013K18014K00930K01585K10536K00657K00472K02502K01468K01479K01668K00055K00055K00055K00055K03782K03782K03782K03782K03786K00014K00891K00800K01657K01657K01817K06209K00220K00220K00681K00681K00681K03823K00384K01874K01776K01924K01924K01775K01921K01921K07160K01255K01256K01270K00799K00799K00799K00799K00677K02535K02536K09949K06041K01627K03270K00979K02527K02517K03271K03274K00973K00973K00973K00973K01710K01710K01710K01710K01710K00806K00806K06153K01000K02563K05366K05515K01444K03147K14652K14652K00794K00793K11753K09474K06215K03517K00767K00763K00969K01916K03742K00325K03525K00859K00997K01935K01012K03644K01495K11754K01664K10026K09457K20967K00604K01885K01845K01698K01749K01772K02303K02226K03809K19267K00099K00991K00919K01770K03526K03527K00869K01597K00795K06013K05525K02291K15746K01434K17836K01061K01061K01061K10680	2697.1725885746	2250.4039137392
Not Included in Pathway or Brite	K22024K00154K00311K00344K03923K03387K07304K07223K06911K07336K14189K22617K00684K00809K13292K03734K05970K07107K08296K05985K15532K03653K01462K11206K09022K03924K19802K00346K00347K00348K00350K00351K19504K02379K04755K05524K03612K04488K04023K06997K18586K15977K03704K03545K07400K03630K07460K07461K07478K07491K09747K21990K03305K03308K03453K07085K06412K07166K06217K03642K02005K02200K21571K03796K06878K15724K07082K21832K08972K06923K06929K06978K06996K07002K07005K07035K07093K07101K07112K07131K09005K09131K09787K09861K09985	355.5719201328	387.3982857771
Organismal Systems	K00850K00850K03841K03841K01834K00016K00029K02257K01897K01897K01897K00864K00864K00432K01425K01425K01425K00799K04079K04079K04079K04079K04079K04079K04079K04043K04077K05770K04565K01358K07192K01322K03695K02358	225.2560266705	79.735088564
