# Gene Family	C1	C2
UNGROUPED|g__Aggregatibacter.s__Aggregatibacter_segnis	193.9708645123	0
UNGROUPED|g__Alloprevotella.s__Prevotella_sp_oral_taxon_473	1694.3852067186006	0
UNGROUPED|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	1374.966741602501	0
UNGROUPED|g__Capnocytophaga.s__Capnocytophaga_sputigena	7079.320326347512	0
UNGROUPED|g__Filifactor.s__Filifactor_alocis	184.44591212489996	0
UNGROUPED|g__Fusobacterium.s__Fusobacterium_nucleatum	13233.164053447392	0
UNGROUPED|g__Gemella.s__Gemella_morbillorum	438.97667737230006	0
UNGROUPED|g__Haemophilus.s__Haemophilus_influenzae	0	926.0428455971002
UNGROUPED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	183.98809852299996
UNGROUPED|g__Haemophilus.s__Haemophilus_sputorum	0	1035.2876031782
UNGROUPED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_oral_taxon_500	236.58059717720005	0
UNGROUPED|g__Prevotella.s__Prevotella_melaninogenica	0	121.4780562344
UNGROUPED|g__Prevotella.s__Prevotella_nigrescens	4660.961676282901	0
UNGROUPED|g__Solobacterium.s__Solobacterium_moorei	139.14987990440002	0
UNGROUPED|g__Sphingomonas.s__Sphingomonas_melonis	0	6460.605895926709
UNGROUPED|unclassified	9758.372639203819	5709.296516365398
K00014|unclassified	9.1027308192	0
K00016|g__Fusobacterium.s__Fusobacterium_nucleatum	10.5017502917	0
K00019|g__Sphingomonas.s__Sphingomonas_melonis	0	8.7463556851
K00029|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	1.8475750577	0
K00029|g__Capnocytophaga.s__Capnocytophaga_sputigena	5.5427251732	0
K00035|g__Sphingomonas.s__Sphingomonas_melonis	0	3.5629453682
K00055|g__Sphingomonas.s__Sphingomonas_melonis	0	9.9304865938
K00057|unclassified	4.1109969168	0
K00074|g__Sphingomonas.s__Sphingomonas_melonis	0	7.7930885033
K00099|unclassified	7.0854995224	0
K00101|g__Sphingomonas.s__Sphingomonas_melonis	0	4.835589942
K00121|g__Sphingomonas.s__Sphingomonas_melonis	0	22.9354471561
K00128|g__Sphingomonas.s__Sphingomonas_melonis	0	6.0377358491
K00133|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	3.3707865169	0
K00133|g__Capnocytophaga.s__Capnocytophaga_sputigena	5.6179775281	0
K00134|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	3.3370411568	0
K00134|g__Capnocytophaga.s__Capnocytophaga_sputigena	6.6740823137	0
K00135|g__Sphingomonas.s__Sphingomonas_melonis	0	4.7656870532
K00154|g__Sphingomonas.s__Sphingomonas_melonis	0	6.0790273556
K00220|g__Sphingomonas.s__Sphingomonas_melonis	0	8.6848635236
K00239|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	1.8125323666	0
K00239|g__Capnocytophaga.s__Capnocytophaga_sputigena	7.520746888	0
K00240|g__Sphingomonas.s__Sphingomonas_melonis	0	5.1246942954
K00260|g__Fusobacterium.s__Fusobacterium_nucleatum	4.2444821732	0
K00283|g__Sphingomonas.s__Sphingomonas_melonis	0	6.1141304348
K00311|g__Sphingomonas.s__Sphingomonas_melonis	0	4.5074050225
K00325|g__Sphingomonas.s__Sphingomonas_melonis	0	4.2583392477
K00337|g__Sphingomonas.s__Sphingomonas_melonis	0	6.3157894737
K00339|g__Sphingomonas.s__Sphingomonas_melonis	0	5.859375
K00340|unclassified	0	3.6900369004
K00341|g__Sphingomonas.s__Sphingomonas_melonis	0	4.8971596474
K00343|g__Sphingomonas.s__Sphingomonas_melonis	0	7.3800738007
K00344|unclassified	0	3.1413612565
K00346|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	2.311248074	0
K00346|g__Capnocytophaga.s__Capnocytophaga_sputigena	5.5732484076	0
K00347|g__Capnocytophaga.s__Capnocytophaga_sputigena	4.4247787611	0
K00348|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	4.7021943574	0
K00348|g__Capnocytophaga.s__Capnocytophaga_sputigena	3.1347962382	0
K00350|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	1.5748031496	0
K00350|g__Capnocytophaga.s__Capnocytophaga_sputigena	6.1900695537	0
K00351|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0.823723229	0
K00351|g__Capnocytophaga.s__Capnocytophaga_sputigena	4.1145181209	0
K00381|g__Sphingomonas.s__Sphingomonas_melonis	0	4.5691906005
K00382|g__Capnocytophaga.s__Capnocytophaga_sputigena	3.0604437643	0
K00384|g__Fusobacterium.s__Fusobacterium_nucleatum	14.5631067961	0
K00427|unclassified	0	4.7337278107
K00432|g__Fusobacterium.s__Fusobacterium_nucleatum	9.9701634843	0
K00432|unclassified	0	4.4918610433
K00459|g__Sphingomonas.s__Sphingomonas_melonis	0	6.976744186
K00467|g__Sphingomonas.s__Sphingomonas_melonis	0	6.5789473684
K00472|g__Sphingomonas.s__Sphingomonas_melonis	0	7.1813285458
K00525|g__Fusobacterium.s__Fusobacterium_nucleatum	8.7638376384	0
K00525|g__Sphingomonas.s__Sphingomonas_melonis	0	4.9696300387
K00549|g__Sphingomonas.s__Sphingomonas_melonis	0	9.99000999
K00554|g__Haemophilus.s__Haemophilus_sputorum	0	6.0975609756
K00554|g__Sphingomonas.s__Sphingomonas_melonis	0	6.3897763578
K00558|unclassified	0	5.9347181009
K00566|g__Fusobacterium.s__Fusobacterium_nucleatum	20.8863245644	0
K00566|unclassified	0	4.6382189239
K00575|unclassified	0	3.6585365854
K00600|unclassified	0	4.6795886793
K00602|g__Fusobacterium.s__Fusobacterium_nucleatum	7.0671378092	0
K00604|g__Sphingomonas.s__Sphingomonas_melonis	0	8.5889570552
K00609|g__Fusobacterium.s__Fusobacterium_nucleatum	15.1706700379	0
K00609|unclassified	0	4.2149631191
K00632|g__Sphingomonas.s__Sphingomonas_melonis	0	4.8216007715
K00643|g__Sphingomonas.s__Sphingomonas_melonis	0	4.3782837128
K00648|g__Sphingomonas.s__Sphingomonas_melonis	0	8.0552359033
K00657|unclassified	4.2918454936	0
K00674|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	5.4897096965	0
K00674|g__Capnocytophaga.s__Capnocytophaga_sputigena	5.6834746611	0
K00677|g__Fusobacterium.s__Fusobacterium_nucleatum	9.7136736314	0
K00681|g__Sphingomonas.s__Sphingomonas_melonis	0	10.620779392
K00684|g__Sphingomonas.s__Sphingomonas_melonis	0	6.2111801242
K00697|g__Sphingomonas.s__Sphingomonas_melonis	0	7.6511094109
K00700|unclassified	5.5523118312	3.1282016065
K00703|g__Fusobacterium.s__Fusobacterium_nucleatum	7.7760497667	0
K00760|g__Fusobacterium.s__Fusobacterium_nucleatum	11.6822429907	0
K00762|g__Fusobacterium.s__Fusobacterium_nucleatum	17.3745173745	0
K00763|g__Fusobacterium.s__Fusobacterium_nucleatum	7.8238661962	0
K00767|g__Fusobacterium.s__Fusobacterium_nucleatum	8.9634072256	0
K00773|g__Capnocytophaga.s__Capnocytophaga_sputigena	4.8496605238	0
K00783|g__Capnocytophaga.s__Capnocytophaga_sputigena	5.3475935829	0
K00789|g__Fusobacterium.s__Fusobacterium_nucleatum	8.9912860183	0
K00789|g__Sphingomonas.s__Sphingomonas_melonis	0	5.366726297
K00790|g__Fusobacterium.s__Fusobacterium_nucleatum	5.9726962457	0
K00793|g__Fusobacterium.s__Fusobacterium_nucleatum	8.0884934599	0
K00794|g__Fusobacterium.s__Fusobacterium_nucleatum	11.0497237569	0
K00795|unclassified	0	5.7603686636
K00799|g__Sphingomonas.s__Sphingomonas_melonis	0	12.0853535596
K00800|g__Sphingomonas.s__Sphingomonas_melonis	0	3.9808917197
K00806|g__Fusobacterium.s__Fusobacterium_nucleatum	6.7453625632	0
K00809|g__Sphingomonas.s__Sphingomonas_melonis	0	6.1037639878
K00812|g__Sphingomonas.s__Sphingomonas_melonis	0	5.4545454545
K00820|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0.5740528129	0
K00820|g__Capnocytophaga.s__Capnocytophaga_sputigena	5.7405281286	0
K00831|g__Capnocytophaga.s__Capnocytophaga_sputigena	6.237006237	0
K00831|g__Prevotella.s__Prevotella_nigrescens	6.6992533483	0
K00845|g__Sphingomonas.s__Sphingomonas_melonis	0	5.7736720554
K00849|g__Fusobacterium.s__Fusobacterium_nucleatum	12.9749768304	0
K00850|g__Fusobacterium.s__Fusobacterium_nucleatum	9.2059838895	0
K00854|g__Sphingomonas.s__Sphingomonas_melonis	0	5.2122114669
K00857|g__Filifactor.s__Filifactor_alocis	4.0733197556	0
K00859|g__Fusobacterium.s__Fusobacterium_nucleatum	10.5708245243	0
K00859|g__Sphingomonas.s__Sphingomonas_melonis	0	7.9522862823
K00864|g__Fusobacterium.s__Fusobacterium_nucleatum	7.8909612626	0
K00869|g__Capnocytophaga.s__Capnocytophaga_sputigena	4.105065666	0
