jaccard_binary	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
C1	0	0.159	0.145	0.150	0.137	0.254	0.343	0.415	0.265	0.205	0.398	0.359	0.134	0.134	0.129	0.133	0.135	0.130
C2	0.159	0	0.161	0.163	0.151	0.248	0.343	0.405	0.270	0.207	0.390	0.360	0.152	0.160	0.153	0.147	0.155	0.156
C3	0.145	0.161	0	0.149	0.133	0.251	0.337	0.418	0.271	0.210	0.405	0.354	0.126	0.127	0.125	0.134	0.132	0.132
C4	0.150	0.163	0.149	0	0.142	0.248	0.330	0.407	0.258	0.199	0.392	0.352	0.141	0.145	0.140	0.144	0.147	0.142
C5	0.137	0.151	0.133	0.142	0	0.251	0.342	0.407	0.266	0.185	0.393	0.360	0.0967	0.0977	0.0934	0.115	0.110	0.101
C6	0.254	0.248	0.251	0.248	0.251	0	0.377	0.409	0.300	0.271	0.403	0.372	0.264	0.270	0.263	0.251	0.261	0.269
E1	0.343	0.343	0.337	0.330	0.342	0.377	0	0.487	0.354	0.349	0.468	0.402	0.343	0.352	0.352	0.335	0.342	0.344
E2	0.415	0.405	0.418	0.407	0.407	0.409	0.487	0	0.405	0.382	0.398	0.473	0.419	0.423	0.423	0.418	0.419	0.417
E3	0.265	0.270	0.271	0.258	0.266	0.300	0.354	0.405	0	0.286	0.403	0.369	0.276	0.280	0.280	0.264	0.270	0.273
E4	0.205	0.207	0.210	0.199	0.185	0.271	0.349	0.382	0.286	0	0.363	0.367	0.189	0.192	0.188	0.194	0.194	0.191
E5	0.398	0.390	0.405	0.392	0.393	0.403	0.468	0.398	0.403	0.363	0	0.469	0.403	0.411	0.409	0.402	0.404	0.404
E6	0.359	0.360	0.354	0.352	0.360	0.372	0.402	0.473	0.369	0.367	0.469	0	0.361	0.369	0.368	0.361	0.360	0.363
H1	0.134	0.152	0.126	0.141	0.0967	0.264	0.343	0.419	0.276	0.189	0.403	0.361	0	0.0761	0.0791	0.102	0.0955	0.0811
H2	0.134	0.160	0.127	0.145	0.0977	0.270	0.352	0.423	0.280	0.192	0.411	0.369	0.0761	0	0.0656	0.105	0.0866	0.0716
H3	0.129	0.153	0.125	0.140	0.0934	0.263	0.352	0.423	0.280	0.188	0.409	0.368	0.0791	0.0656	0	0.103	0.0907	0.0806
H4	0.133	0.147	0.134	0.144	0.115	0.251	0.335	0.418	0.264	0.194	0.402	0.361	0.102	0.105	0.103	0	0.107	0.105
H5	0.135	0.155	0.132	0.147	0.110	0.261	0.342	0.419	0.270	0.194	0.404	0.360	0.0955	0.0866	0.0907	0.107	0	0.0907
H6	0.130	0.156	0.132	0.142	0.101	0.269	0.344	0.417	0.273	0.191	0.404	0.363	0.0811	0.0716	0.0806	0.105	0.0907	0
