bray_curtis	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
C1	0	0.522	0.538	0.497	0.542	0.655	0.879	0.896	0.698	0.832	0.928	0.625	0.708	0.755	0.724	0.732	0.792	0.766
C2	0.522	0	0.414	0.486	0.491	0.592	0.868	0.899	0.682	0.861	0.929	0.749	0.752	0.779	0.725	0.750	0.813	0.802
C3	0.538	0.414	0	0.409	0.482	0.547	0.884	0.891	0.699	0.851	0.931	0.754	0.719	0.726	0.677	0.743	0.805	0.779
C4	0.497	0.486	0.409	0	0.353	0.599	0.841	0.899	0.675	0.823	0.893	0.699	0.694	0.732	0.676	0.723	0.801	0.769
C5	0.542	0.491	0.482	0.353	0	0.597	0.851	0.881	0.731	0.819	0.912	0.672	0.684	0.719	0.686	0.700	0.800	0.762
C6	0.655	0.592	0.547	0.599	0.597	0	0.821	0.893	0.823	0.850	0.953	0.565	0.729	0.818	0.786	0.792	0.838	0.847
E1	0.879	0.868	0.884	0.841	0.851	0.821	0	0.842	0.701	0.568	0.899	0.845	0.840	0.880	0.865	0.882	0.891	0.862
E2	0.896	0.899	0.891	0.899	0.881	0.893	0.842	0	0.809	0.848	0.912	0.812	0.897	0.940	0.933	0.956	0.923	0.945
E3	0.698	0.682	0.699	0.675	0.731	0.823	0.701	0.809	0	0.740	0.892	0.771	0.828	0.850	0.808	0.841	0.879	0.860
E4	0.832	0.861	0.851	0.823	0.819	0.850	0.568	0.848	0.740	0	0.872	0.877	0.820	0.816	0.828	0.805	0.823	0.817
E5	0.928	0.929	0.931	0.893	0.912	0.953	0.899	0.912	0.892	0.872	0	0.930	0.919	0.924	0.929	0.912	0.892	0.916
E6	0.625	0.749	0.754	0.699	0.672	0.565	0.845	0.812	0.771	0.877	0.930	0	0.805	0.885	0.839	0.854	0.907	0.891
H1	0.708	0.752	0.719	0.694	0.684	0.729	0.840	0.897	0.828	0.820	0.919	0.805	0	0.372	0.453	0.506	0.459	0.421
H2	0.755	0.779	0.726	0.732	0.719	0.818	0.880	0.940	0.850	0.816	0.924	0.885	0.372	0	0.365	0.518	0.458	0.372
H3	0.724	0.725	0.677	0.676	0.686	0.786	0.865	0.933	0.808	0.828	0.929	0.839	0.453	0.365	0	0.533	0.420	0.376
H4	0.732	0.750	0.743	0.723	0.700	0.792	0.882	0.956	0.841	0.805	0.912	0.854	0.506	0.518	0.533	0	0.583	0.620
H5	0.792	0.813	0.805	0.801	0.800	0.838	0.891	0.923	0.879	0.823	0.892	0.907	0.459	0.458	0.420	0.583	0	0.383
H6	0.766	0.802	0.779	0.769	0.762	0.847	0.862	0.945	0.860	0.817	0.916	0.891	0.421	0.372	0.376	0.620	0.383	0
