euclidean	C1	C3	C5	H1	H2	H3	H6	H5	H4	C4	C2	E4	C6	E3	E1	E6	E2	E5
C1	0	35.6	34.9	34.9	35.1	34.2	34.4	34.9	34.3	36.2	37.1	42.3	46.4	47.6	54.0	55.3	59.4	58.1
C3	35.6	0	34.5	33.8	34.0	33.6	34.7	34.4	34.5	36.0	37.3	42.9	46.1	48.2	53.5	54.8	59.8	58.8
C5	34.9	34.5	0	29.7	30.0	29.2	30.5	31.7	32.2	35.6	36.5	40.6	46.8	48.4	54.8	56.2	59.6	58.6
H1	34.9	33.8	29.7	0	26.5	27.0	27.3	29.5	30.3	35.7	36.9	41.3	48.5	49.8	55.4	56.8	61.3	60.0
H2	35.1	34.0	30.0	26.5	0	24.6	25.7	28.3	31.0	36.4	38.2	42.0	49.5	50.6	56.7	57.9	62.2	61.3
H3	34.2	33.6	29.2	27.0	24.6	0	27.3	28.8	30.6	35.6	37.2	41.3	48.5	50.4	56.3	57.6	61.8	60.7
H6	34.4	34.7	30.5	27.3	25.7	27.3	0	28.8	31.0	35.8	37.6	41.6	49.1	49.5	55.5	57.0	61.2	60.2
H5	34.9	34.4	31.7	29.5	28.3	28.8	28.8	0	31.1	36.3	37.1	41.7	48.0	48.9	55.0	56.3	61.0	59.8
H4	34.3	34.5	32.2	30.3	31.0	30.6	31.0	31.1	0	35.7	35.9	41.4	46.5	47.9	53.9	56.0	60.3	59.1
C4	36.2	36.0	35.6	35.7	36.4	35.6	35.8	36.3	35.7	0	37.4	41.5	45.6	46.6	52.6	54.4	58.5	57.3
C2	37.1	37.3	36.5	36.9	38.2	37.2	37.6	37.1	35.9	37.4	0	42.2	45.3	47.5	53.4	54.7	57.8	56.7
E4	42.3	42.9	40.6	41.3	42.0	41.3	41.6	41.7	41.4	41.5	42.2	0	47.3	48.8	53.7	55.0	55.4	53.8
C6	46.4	46.1	46.8	48.5	49.5	48.5	49.1	48.0	46.5	45.6	45.3	47.3	0	48.6	54.3	53.5	55.7	55.4
E3	47.6	48.2	48.4	49.8	50.6	50.4	49.5	48.9	47.9	46.6	47.5	48.8	48.6	0	52.3	53.2	55.4	55.5
E1	54.0	53.5	54.8	55.4	56.7	56.3	55.5	55.0	53.9	52.6	53.4	53.7	54.3	52.3	0	54.6	60.6	59.3
E6	55.3	54.8	56.2	56.8	57.9	57.6	57.0	56.3	56.0	54.4	54.7	55.0	53.5	53.2	54.6	0	59.0	58.9
E2	59.4	59.8	59.6	61.3	62.2	61.8	61.2	61.0	60.3	58.5	57.8	55.4	55.7	55.4	60.6	59.0	0	52.0
E5	58.1	58.8	58.6	60.0	61.3	60.7	60.2	59.8	59.1	57.3	56.7	53.8	55.4	55.5	59.3	58.9	52.0	0
