jaccard_binary	C1	C3	C5	H1	H2	H3	H6	H5	H4	C4	C2	E4	C6	E3	E1	E6	E5	E2
C1	0	0.145	0.137	0.134	0.134	0.129	0.130	0.135	0.133	0.150	0.159	0.205	0.254	0.265	0.343	0.359	0.398	0.415
C3	0.145	0	0.133	0.126	0.127	0.125	0.132	0.132	0.134	0.149	0.161	0.210	0.251	0.271	0.337	0.354	0.405	0.418
C5	0.137	0.133	0	0.0967	0.0977	0.0934	0.101	0.110	0.115	0.142	0.151	0.185	0.251	0.266	0.342	0.360	0.393	0.407
H1	0.134	0.126	0.0967	0	0.0761	0.0791	0.0811	0.0955	0.102	0.141	0.152	0.189	0.264	0.276	0.343	0.361	0.403	0.419
H2	0.134	0.127	0.0977	0.0761	0	0.0656	0.0716	0.0866	0.105	0.145	0.160	0.192	0.270	0.280	0.352	0.369	0.411	0.423
H3	0.129	0.125	0.0934	0.0791	0.0656	0	0.0806	0.0907	0.103	0.140	0.153	0.188	0.263	0.280	0.352	0.368	0.409	0.423
H6	0.130	0.132	0.101	0.0811	0.0716	0.0806	0	0.0907	0.105	0.142	0.156	0.191	0.269	0.273	0.344	0.363	0.404	0.417
H5	0.135	0.132	0.110	0.0955	0.0866	0.0907	0.0907	0	0.107	0.147	0.155	0.194	0.261	0.270	0.342	0.360	0.404	0.419
H4	0.133	0.134	0.115	0.102	0.105	0.103	0.105	0.107	0	0.144	0.147	0.194	0.251	0.264	0.335	0.361	0.402	0.418
C4	0.150	0.149	0.142	0.141	0.145	0.140	0.142	0.147	0.144	0	0.163	0.199	0.248	0.258	0.330	0.352	0.392	0.407
C2	0.159	0.161	0.151	0.152	0.160	0.153	0.156	0.155	0.147	0.163	0	0.207	0.248	0.270	0.343	0.360	0.390	0.405
E4	0.205	0.210	0.185	0.189	0.192	0.188	0.191	0.194	0.194	0.199	0.207	0	0.271	0.286	0.349	0.367	0.363	0.382
C6	0.254	0.251	0.251	0.264	0.270	0.263	0.269	0.261	0.251	0.248	0.248	0.271	0	0.300	0.377	0.372	0.403	0.409
E3	0.265	0.271	0.266	0.276	0.280	0.280	0.273	0.270	0.264	0.258	0.270	0.286	0.300	0	0.354	0.369	0.403	0.405
E1	0.343	0.337	0.342	0.343	0.352	0.352	0.344	0.342	0.335	0.330	0.343	0.349	0.377	0.354	0	0.402	0.468	0.487
E6	0.359	0.354	0.360	0.361	0.369	0.368	0.363	0.360	0.361	0.352	0.360	0.367	0.372	0.369	0.402	0	0.469	0.473
E5	0.398	0.405	0.393	0.403	0.411	0.409	0.404	0.404	0.402	0.392	0.390	0.363	0.403	0.403	0.468	0.469	0	0.398
E2	0.415	0.418	0.407	0.419	0.423	0.423	0.417	0.419	0.418	0.407	0.405	0.382	0.409	0.405	0.487	0.473	0.398	0
