SampleID	Group
Mx_All_256	Pseudomonadota
Mx_All_257	Pseudomonadota
Mx_All_258	Patescibacteria
Mx_All_259	Pseudomonadota
Mx_All_26	Bacteroidota
Mx_All_260	Bacillota_A
Mx_All_261	Bacteroidota
Mx_All_262	Bacillota
Mx_All_263	Bacillota_A
Mx_All_264	Chloroflexota
Mx_All_265	Bacillota_A
Mx_All_266	Bacillota
Mx_All_267	Pseudomonadota
Mx_All_268	Acidobacteriota
Mx_All_269	Pseudomonadota
Mx_All_27	Planctomycetota
Mx_All_270	Bacillota_A
Mx_All_271	Pseudomonadota
Mx_All_272	Bacillota_A
Mx_All_273	Verrucomicrobiota
Mx_All_274	Bacillota_G
Mx_All_275	Pseudomonadota
Mx_All_276	Pseudomonadota
Mx_All_277	Chloroflexota
Mx_All_278	Bacteroidota
Mx_All_279	Bacillota_G
Mx_All_28	Pseudomonadota
Mx_All_280	Bacillota_G
Mx_All_281	Bacillota_G
Mx_All_282	Bacteroidota
Mx_All_283	Bacillota
Mx_All_284	Pseudomonadota
Mx_All_285	Bacillota
Mx_All_286	Bacillota_A
Mx_All_287	Hydrogenedentota
Mx_All_288	Pseudomonadota
Mx_All_289	Bdellovibrionota
Mx_All_29	Chloroflexota
Mx_All_290	Bacillota_D
Mx_All_291	Pseudomonadota
Mx_All_292	Bacteroidota
Mx_All_293	Actinomycetota
Mx_All_294	Actinomycetota
Mx_All_295	Bacillota
Mx_All_296	Pseudomonadota
Mx_All_297	Bacillota_B
Mx_All_298	Bacteroidota
Mx_All_299	Pseudomonadota
Mx_All_3	Bacillota_B
Mx_All_30	Bacteroidota
Mx_All_300	Pseudomonadota
Mx_All_301	Gemmatimonadota
Mx_All_302	Patescibacteria
Mx_All_303	Bacillota_G
Mx_All_304	Bacteroidota
Mx_All_305	Bacillota_G
Mx_All_306	Pseudomonadota
Mx_All_307	Bacillota_F
Mx_All_308	Pseudomonadota
Mx_All_309	Pseudomonadota
Mx_All_31	Pseudomonadota
Mx_All_310	Myxococcota
Mx_All_311	Gemmatimonadota
Mx_All_312	Bacteroidota
Mx_All_313	Verrucomicrobiota
Mx_All_314	Planctomycetota
Mx_All_315	Bacillota_G
Mx_All_316	Gemmatimonadota
Mx_All_317	Verrucomicrobiota
Mx_All_318	Bacteroidota
Mx_All_319	Planctomycetota
Mx_All_32	Bdellovibrionota
Mx_All_320	Bacillota_G
Mx_All_321	Bacillota_E
Mx_All_322	Bacillota
Mx_All_323	Bacillota
Mx_All_324	Myxococcota
Mx_All_325	Bacillota
Mx_All_326	Bacillota_G
Mx_All_327	Actinomycetota
Mx_All_328	Bacillota
Mx_All_329	Bacillota_A
Mx_All_33	Planctomycetota
Mx_All_330	Bacillota_E
Mx_All_331	Gemmatimonadota
Mx_All_332	Chloroflexota
Mx_All_333	Bacillota
Mx_All_334	Pseudomonadota
Mx_All_335	Actinomycetota
Mx_All_336	Deinococcota
Mx_All_337	Pseudomonadota
Mx_All_338	Planctomycetota
Mx_All_339	Pseudomonadota
Mx_All_34	Bacillota_E
Mx_All_340	Pseudomonadota
Mx_All_341	Chloroflexota
Mx_All_342	Actinomycetota
Mx_All_343	Pseudomonadota
Mx_All_344	Bacillota_G
Mx_All_345	Bacillota_I
Mx_All_346	Actinomycetota
Mx_All_347	Verrucomicrobiota
Mx_All_348	Bdellovibrionota
Mx_All_349	Bacillota_A
Mx_All_35	Bacillota_B
Mx_All_350	Pseudomonadota
Mx_All_351	Bacillota_A
Mx_All_352	Patescibacteria
Mx_All_353	Bacillota_G
Mx_All_354	Bacteroidota
Mx_All_355	Pseudomonadota
Mx_All_356	Bacillota_A
Mx_All_357	Bacillota_A
Mx_All_358	Bacillota
Mx_All_359	Acidobacteriota
Mx_All_36	Bacillota
Mx_All_360	Myxococcota
Mx_All_361	Actinomycetota
Mx_All_362	Pseudomonadota
Mx_All_363	Bacteroidota
Mx_All_364	Bacillota
Mx_All_365	Bacillota
Mx_All_366	Bacillota_G
Mx_All_367	Pseudomonadota
Mx_All_368	Bacteroidota
Mx_All_369	Pseudomonadota
Mx_All_37	Bacteroidota
Mx_All_370	Pseudomonadota
Mx_All_371	Bacillota_E
Mx_All_372	Patescibacteria
Mx_All_373	Bacillota
Mx_All_374	Bacillota_A
Mx_All_375	Pseudomonadota
Mx_All_376	Pseudomonadota
Mx_All_377	Pseudomonadota
Mx_All_378	Bacillota_E
Mx_All_379	Deinococcota
Mx_All_38	Pseudomonadota
Mx_All_380	Bacillota_B
Mx_All_381	Bacillota
Mx_All_382	Planctomycetota
Mx_All_383	Deinococcota
Mx_All_384	Myxococcota
Mx_All_385	Bacillota_A
Mx_All_386	Pseudomonadota
Mx_All_387	Pseudomonadota
Mx_All_388	Pseudomonadota
Mx_All_389	Chloroflexota
Mx_All_39	Pseudomonadota
Mx_All_390	Pseudomonadota
Mx_All_391	Deinococcota
Mx_All_392	Bacillota_G
Mx_All_393	Bacteroidota
Mx_All_394	Bacillota
Mx_All_395	Pseudomonadota
Mx_All_396	Bacillota_A
Mx_All_397	Bacillota
Mx_All_398	Pseudomonadota
Mx_All_399	Patescibacteria
Mx_All_4	Gemmatimonadota
Mx_All_40	Hydrogenedentota
Mx_All_400	Pseudomonadota
Mx_All_401	Bacillota_G
Mx_All_402	Bacillota_B
Mx_All_403	Bacillota_A
Mx_All_404	Pseudomonadota
Mx_All_405	Pseudomonadota
Mx_All_406	Patescibacteria
Mx_All_407	Myxococcota
Mx_All_408	Actinomycetota
Mx_All_409	Pseudomonadota
Mx_All_41	Bacillota
Mx_All_410	Actinomycetota
Mx_All_411	Bacillota
Mx_All_412	Bacillota_G
Mx_All_413	Pseudomonadota
Mx_All_414	Verrucomicrobiota
Mx_All_415	Bacillota
Mx_All_416	Bacillota_I
Mx_All_417	Bacteroidota
Mx_All_418	Pseudomonadota
Mx_All_419	Verrucomicrobiota
Mx_All_42	Actinomycetota
Mx_All_420	Pseudomonadota
Mx_All_421	Pseudomonadota
Mx_All_422	Bacillota_I
Mx_All_423	Pseudomonadota
Mx_All_424	Bacillota
Mx_All_425	Myxococcota
Mx_All_426	Verrucomicrobiota
Mx_All_427	Pseudomonadota
Mx_All_428	Bacillota_G
Mx_All_429	Bacillota
Mx_All_43	Pseudomonadota
Mx_All_430	Patescibacteria
Mx_All_431	Planctomycetota
Mx_All_432	Bacteroidota
Mx_All_433	Bacillota
Mx_All_434	Pseudomonadota
Mx_All_435	Bacillota
Mx_All_436	Bacillota_A
Mx_All_437	Verrucomicrobiota
Mx_All_438	Pseudomonadota
Mx_All_439	Bacillota
Mx_All_44	Bacillota_A
Mx_All_440	Bacillota_G
Mx_All_441	Pseudomonadota
Mx_All_442	Pseudomonadota
Mx_All_443	Patescibacteria
Mx_All_444	Pseudomonadota
Mx_All_445	Bdellovibrionota
Mx_All_446	Bacillota_A
Mx_All_447	Planctomycetota
Mx_All_448	Bacillota_A
Mx_All_449	Pseudomonadota
Mx_All_45	Actinomycetota
Mx_All_450	Bacteroidota
Mx_All_451	Bacillota
Mx_All_452	Gemmatimonadota
Mx_All_453	Pseudomonadota
Mx_All_454	Bacillota
Mx_All_455	Deferribacterota
Mx_All_456	Bacillota
Mx_All_457	Bacillota_A
Mx_All_458	Patescibacteria
Mx_All_459	Patescibacteria
Mx_All_46	Bacillota_E
Mx_All_460	Bacteroidota
Mx_All_461	Gemmatimonadota
Mx_All_462	Pseudomonadota
Mx_All_463	Gemmatimonadota
Mx_All_464	Bacillota_E
Mx_All_465	Bacteroidota
Mx_All_466	Patescibacteria
Mx_All_467	Pseudomonadota
Mx_All_468	Bacteroidota
Mx_All_469	Planctomycetota
Mx_All_47	Patescibacteria
Mx_All_470	Bacillota_C
Mx_All_471	Bacillota_G
Mx_All_472	Bacillota
Mx_All_473	Bacteroidota
Mx_All_474	Bacillota_B
Mx_All_475	Pseudomonadota
Mx_All_476	Pseudomonadota
Mx_All_477	Chloroflexota
Mx_All_478	Patescibacteria
Mx_All_479	Pseudomonadota
Mx_All_48	Pseudomonadota
Mx_All_480	Bacillota_G
Mx_All_481	Bacillota
Mx_All_482	Bacillota_I
Mx_All_483	Myxococcota
Mx_All_484	Bacillota
Mx_All_485	Actinomycetota
Mx_All_486	Patescibacteria
Mx_All_487	Bacillota_E
Mx_All_488	Bacillota
Mx_All_489	Bacillota_E
Mx_All_49	Chloroflexota
Mx_All_490	Bacillota_G
Mx_All_491	Bacillota
Mx_All_492	Pseudomonadota
Mx_All_493	Bacteroidota
Mx_All_494	Chloroflexota
Mx_All_495	Bacillota
Mx_All_496	Actinomycetota
Mx_All_497	Bacillota_I
Mx_All_498	Chloroflexota
Mx_All_499	Pseudomonadota
Mx_All_5	Pseudomonadota
Mx_All_50	Chloroflexota
Mx_All_500	Patescibacteria
Mx_All_501	Verrucomicrobiota
Mx_All_502	Bacillota_I
Mx_All_503	Bacillota
Mx_All_504	Bacillota_I
Mx_All_505	Chloroflexota
Mx_All_506	Pseudomonadota
Mx_All_507	Bacteroidota
Mx_All_508	Cyanobacteriota
Mx_All_509	Patescibacteria
Mx_All_51	Pseudomonadota
Mx_All_510	Bacillota_A
Mx_All_511	Chloroflexota
Mx_All_512	Patescibacteria
Mx_All_513	Bacteroidota
Mx_All_514	Patescibacteria
Mx_All_515	Bacteroidota
Mx_All_516	Deinococcota
Mx_All_517	Bacillota_G
Mx_All_518	Bacteroidota
Mx_All_519	Bacillota_I
Mx_All_52	Pseudomonadota
Mx_All_520	Pseudomonadota
Mx_All_521	Bacillota_G
Mx_All_522	Bacillota_A
Mx_All_523	Pseudomonadota
Mx_All_524	Bacteroidota
Mx_All_525	Pseudomonadota
Mx_All_526	Pseudomonadota
Mx_All_527	Bacillota_A
Mx_All_528	Verrucomicrobiota
Mx_All_529	Gemmatimonadota
Mx_All_53	Bacillota
Mx_All_530	Bacillota_G
Mx_All_531	Pseudomonadota
Mx_All_532	Actinomycetota
Mx_All_533	Actinomycetota
Mx_All_534	Sumerlaeota
Mx_All_535	Pseudomonadota
Mx_All_536	Bacillota_E
Mx_All_537	Bacillota_G
Mx_All_538	Pseudomonadota
Mx_All_539	Chloroflexota
Mx_All_54	Bacteroidota
Mx_All_540	Actinomycetota
