Phylum	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
Bacteroidota	10320579	14793270	12165838	11832382	13671702	2273601	2325742	4850929	2299802	2558424	14009384	6222779	4511145	4376295	2281115	3173065	3690739
Bacillota	2984985	1795083	2640561	2411495	1787230	8024350	625806	1033958	6028660	611049	673714	5837652	6171076	4488417	10447393	5061675	4609369
Pseudomonadota	141083	465527	715722	436114	200032	3150849	6184027	8365660	2327010	1094278	484374	319928	370334	256294	122434	715280	986106
Actinomycetota	240674	49346	69894	140876	74623	60495	21251	49745	474656	12899735	10537	635942	230500	161832	565197	2220616	233842
Streptophyta	44169	79883	54626	76427	29463	39857	2024	13468	84415	5384	52224	185690	242932	891082	224416	316423	340656
Fusobacteriota	1074	36479	25996	23350	2473	1488590	414	29860	1466	129	851901	6076	3087	5763	3654	4891	32342
Chordata	7962	37489	16200	15596	8160	28301	745	10872	23201	47809	9723	64443	131328	522474	126762	217180	271982
Uroviricota	383561	100015	5789	3254	4584	1562	845	10398	901	389	2061	4062	16375	6291	4126	23370	2471
Thermodesulfobacteriota	8473	48953	10955	33882	6563	2030	4698	3964	14715	3428	2445	66849	55366	30851	12660	8718	20676
Candidatus_Saccharibacteria	6456	645	4986	6377	869	33564	24	1068	8391	65114	3121	34215	3646	534	7951	11923	2386
Euryarchaeota	2326	2582	2113	4926	1029	1105	197	539	4220	278	1018	6529	6930	7294	3852	76743	10525
Campylobacterota	2643	3798	38659	4188	2551	3550	161	911	6337	290	3386	8532	6917	8453	9707	8194	9214
Spirochaetota	2331	3111	2496	4037	868	1528	175	824	5312	288	802	6226	6832	12158	6137	8591	5952
Ascomycota	1596	2443	2012	2978	690	897	75	348	2398	641	1179	6971	6863	17867	4869	8133	7174
Cyanobacteriota	2050	3942	2900	4196	1018	1378	150	692	9096	328	943	7905	6514	6598	5763	5886	5569
Verrucomicrobiota	2225	3982	2458	3639	1066	553	119	1846	2294	223	688	4621	5411	3984	2466	15481	5911
Synergistota	955	1326	1598	3624	586	413	123	319	5990	194	410	19294	5754	4858	1307	1650	2053
Planctomycetota	2076	3414	2424	4617	1206	909	229	535	3867	221	237	4333	7296	6842	3567	3143	4836
Mycoplasmatota	981	3056	921	1930	372	780	28	253	1102	52	1740	3135	5822	3603	2730	4015	3034
Myxococcota	1580	1640	1193	3232	755	168	194	368	3240	166	195	3317	6104	4363	2243	1756	3019
Deinococcota	1044	901	720	2087	505	144	105	240	2043	107	171	2323	3947	3365	1567	1146	2048
Acidobacteriota	746	939	699	1738	403	246	110	206	2770	133	88	1904	3296	2309	1336	906	1651
Chloroflexota	625	705	599	1354	386	144	115	133	1997	91	131	1591	2859	4076	1327	1240	1897
Apicomplexa	616	1087	814	1069	330	388	42	131	668	55	517	2053	1614	1936	1646	2128	1785
Thermotogota	150	888	416	482	231	356	9	62	138	28	651	876	912	1476	875	3338	857
Chlorobiota	590	926	687	965	371	129	31	133	1562	32	52	1197	1169	981	703	651	1059
Candidatus_Thermoplasmatota	423	315	327	845	152	327	6	120	1087	12	206	1484	709	1365	927	1047	1508
unclassified	145	532	391	381	57	415	21	70	76	14	5362	304	706	824	547	366	410
Basidiomycota	342	363	338	395	89	169	19	53	169	38	144	1113	1238	1127	530	765	687
Deferribacterota	104	218	117	461	48	104	1	30	913	3	47	2143	286	571	444	589	395
Candidatus_Cloacimonadota	12	54	126	294	12	60	0	18	6	12	24	138	1458	720	180	1824	1362
Bdellovibrionota	218	368	356	580	135	245	14	100	621	21	156	733	648	759	561	295	406
Rhodothermota	508	477	474	563	232	16	9	63	251	17	9	585	700	618	181	155	441
Chlorophyta	123	191	151	310	41	80	15	54	184	23	41	513	1020	1100	287	425	464
Parabasalia	162	227	106	158	43	66	2	30	275	17	92	513	725	498	481	853	521
Nitrospirota	158	189	144	273	79	47	22	45	79	35	31	355	690	704	277	257	291
Euglenozoa	33	252	44	126	29	39	5	7	107	8	3	280	481	790	243	381	834
Thermoproteota	65	228	110	276	116	105	4	23	259	4	119	485	499	376	447	196	270
Chlamydiota	108	124	117	117	56	206	8	55	221	9	60	533	305	435	404	368	384
Aquificota	82	129	95	282	62	55	13	43	156	5	82	466	359	563	233	324	283
Nitrososphaerota	151	154	89	139	44	272	21	30	135	4	103	413	270	278	539	357	199
Candidatus_Omnitrophota	261	96	15	141	15	3	6	18	246	18	9	285	957	309	225	60	198
Gemmatimonadota	154	144	120	260	59	11	14	33	39	15	16	320	656	357	192	111	175
Ignavibacteriota	118	91	161	283	15	17	2	19	27	1	28	234	305	517	90	272	250
Nucleocytoviricota	93	130	33	128	63	65	5	38	149	1	78	338	229	292	192	381	137
Candidatus_Absconditabacteria	5	10	5	10	15	30	0	5	215	10	20	100	145	520	625	230	80
Kiritimatiellota	50	45	70	236	13	3	11	6	42	6	13	185	413	487	109	71	162
Fibrobacterota	40	135	27	108	6	4	0	19	192	2	17	185	281	167	232	137	176
Evosea	47	87	19	77	3	12	3	18	45	3	52	106	174	154	236	374	224
Candidatus_Lokiarchaeota	18	546	228	30	0	24	6	0	18	0	36	108	108	48	114	108	102
Elusimicrobiota	38	22	34	129	9	19	4	8	146	0	14	225	76	212	116	308	103
Bacillariophyta	20	143	25	40	13	12	5	9	52	1	7	155	177	192	108	153	219
Thermomicrobiota	21	41	43	69	9	5	6	8	171	6	10	141	302	134	107	55	123
Balneolota	175	207	89	137	113	8	0	12	32	7	10	65	76	58	45	43	29
Armatimonadota	33	108	50	104	15	9	3	16	12	4	13	129	202	85	91	61	77
Nitrospinota	34	14	40	103	4	10	5	15	230	1	2	108	220	68	54	55	47
Chrysiogenota	16	19	76	87	11	10	1	19	36	4	17	79	75	187	50	162	135
Calditrichota	9	11	19	53	4	20	5	5	164	3	28	101	127	123	72	82	55
Peploviricota	2	10	15	40	3	14	0	2	157	10	4	292	30	74	8	101	65
Dictyoglomota	20	82	59	45	4	20	0	11	2	2	0	54	52	152	75	99	100
Atribacterota	0	24	23	25	25	1	0	12	29	0	21	15	55	67	23	56	206
Fornicata	1	7	5	18	0	0	0	0	0	0	2	8	12	304	21	0	38
Negarnaviricota	10	34	21	5	7	0	0	10	0	4	7	14	11	34	46	34	155
Candidatus_Bipolaricaulota	39	18	33	60	9	9	0	9	0	6	0	6	69	45	12	12	39
Candidatus_Micrarchaeota	12	21	0	102	36	0	0	3	0	0	0	36	30	18	30	18	0
Microsporidia	5	3	0	4	0	1	0	1	2	0	1	20	14	4	35	58	90
Lentisphaerota	5	8	6	9	12	1	1	1	0	1	2	18	23	34	16	35	17
Pisuviricota	1	36	36	9	29	2	0	0	2	0	4	30	21	6	4	3	6
Rhodophyta	27	13	6	42	1	5	0	4	1	1	0	14	26	18	4	4	10
Coprothermobacterota	3	4	6	8	5	5	0	4	6	4	5	7	9	61	1	16	29
Caldisericota	9	24	1	1	3	0	0	0	2	1	11	5	46	11	2	26	27
Cressdnaviricota	7	11	1	10	3	0	0	0	75	0	2	7	3	6	24	6	3
Kitrinoviricota	3	6	17	7	2	0	5	0	10	0	2	71	12	3	1	6	5
Artverviricota	0	0	1	41	0	1	0	0	86	0	0	0	0	5	0	3	1
Preplasmiviricota	17	4	3	22	0	0	0	0	0	0	0	16	4	11	29	3	9
Candidatus_Nanohaloarchaeota	54	0	0	36	0	0	0	0	0	0	6	0	0	0	0	12	0
Candidatus_Korarchaeota	54	0	0	6	0	0	6	0	0	0	0	15	0	0	0	0	0
Cercozoa	0	0	12	0	0	0	0	0	0	0	0	3	1	18	0	11	30
Nanoarchaeota	3	15	2	0	0	6	0	0	1	0	0	12	2	0	33	0	1
Lenarviricota	0	0	1	8	1	0	0	4	0	0	0	0	5	36	5	1	3
Ciliophora	0	0	5	1	0	2	0	0	1	0	7	0	8	1	7	21	8
Hofneiviricota	0	3	0	3	0	0	1	0	6	1	0	21	1	15	2	4	2
Cossaviricota	1	0	0	2	2	0	0	1	0	0	0	2	2	2	0	5	1
Duplornaviricota	0	1	2	1	0	0	0	0	0	0	1	0	5	1	1	4	2
Taleaviricota	1	0	2	3	0	0	0	0	0	0	0	3	0	5	0	0	0
Phixviricota	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0
Saleviricota	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
