# Gene Family	C1_Abundance-RPKs
K00133	11.505
K00133|unclassified	11.505
K00134	14.72
K00134|g__Campylobacter.s__Campylobacter_showae	2.187
K00134|g__Prevotella.s__Prevotella_nigrescens	2.174
K00134|unclassified	10.36
K00156	9.344
K00156|unclassified	9.344
K00162	9.743
K00162|unclassified	9.743
K00175	10.987
K00175|g__Prevotella.s__Prevotella_nigrescens	10.987
K00208	10.477
K00208|g__Prevotella.s__Prevotella_nigrescens	10.477
K00215	4.224
K00215|g__Filifactor.s__Filifactor_alocis	4.224
K00239	15.459
K00239|unclassified	15.459
K00240	10.671
K00240|g__Prevotella.s__Prevotella_nigrescens	10.671
K00243	18.724
K00243|g__Fusobacterium.s__Fusobacterium_nucleatum	16.086
K00243|g__Prevotella.s__Prevotella_nigrescens	2.639
K00245	1.613
K00245|g__Campylobacter.s__Campylobacter_showae	1.613
K00248	16.251
K00248|g__Fusobacterium.s__Fusobacterium_nucleatum	16.251
K00260	9.25
K00260|g__Fusobacterium.s__Fusobacterium_nucleatum	9.25
K00262	4.785
K00262|g__Campylobacter.s__Campylobacter_showae	3.177
K00262|g__Prevotella.s__Prevotella_nigrescens	1.608
K00278	15.203
K00278|g__Fusobacterium.s__Fusobacterium_nucleatum	12.534
K00278|g__Prevotella.s__Prevotella_nigrescens	2.668
K00282	3.223
K00282|g__Prevotella.s__Prevotella_nigrescens	3.223
K00283	4.351
K00283|g__Prevotella.s__Prevotella_nigrescens	4.351
K00287	7.582
K00287|g__Fusobacterium.s__Fusobacterium_nucleatum	7.582
K00290	0.897
K00290|g__Campylobacter.s__Campylobacter_showae	0.897
K00297	10.43
K00297|g__Fusobacterium.s__Fusobacterium_nucleatum	10.43
K00318	7.847
K00318|unclassified	7.847
K00331	2.692
K00331|g__Prevotella.s__Prevotella_nigrescens	2.692
K00338	4.608
K00338|g__Prevotella.s__Prevotella_nigrescens	4.608
K00342	4.38
K00342|g__Prevotella.s__Prevotella_nigrescens	4.38
K00347	6.813
K00347|unclassified	6.813
K00349	31.472
K00349|g__Prevotella.s__Prevotella_nigrescens	3.774
K00349|unclassified	27.698
K00351	6.25
K00351|unclassified	6.25
K00382	10.948
K00382|g__Filifactor.s__Filifactor_alocis	1.413
K00382|unclassified	9.535
K00384	53.635
K00384|g__Filifactor.s__Filifactor_alocis	2.367
K00384|g__Fusobacterium.s__Fusobacterium_nucleatum	51.268
K00385	20.508
K00385|g__Fusobacterium.s__Fusobacterium_nucleatum	20.508
K00425	2.786
K00425|g__Prevotella.s__Prevotella_nigrescens	2.786
K00426	10.0
K00426|unclassified	10.0
K00432	27.041
K00432|g__Filifactor.s__Filifactor_alocis	4.95
K00432|g__Fusobacterium.s__Fusobacterium_nucleatum	22.09
K00459	4.766
K00459|g__Fusobacterium.s__Fusobacterium_nucleatum	4.766
K00525	13.572
K00525|unclassified	13.572
K00526	27.51
K00526|g__Filifactor.s__Filifactor_alocis	3.168
K00526|g__Fusobacterium.s__Fusobacterium_nucleatum	19.184
K00526|unclassified	5.159
K00527	10.24
K00527|unclassified	10.24
K00528	2.954
K00528|g__Eikenella.s__Eikenella_corrodens	2.954
K00537	11.407
K00537|g__Fusobacterium.s__Fusobacterium_nucleatum	11.407
K00548	1.159
K00548|g__Fusobacterium.s__Fusobacterium_nucleatum	1.159
K00554	13.308
K00554|g__Fusobacterium.s__Fusobacterium_nucleatum	8.091
K00554|g__Prevotella.s__Prevotella_nigrescens	5.217
K00558	1.946
K00558|g__Filifactor.s__Filifactor_alocis	1.946
K00560	25.222
K00560|g__Fusobacterium.s__Fusobacterium_nucleatum	15.11
K00560|unclassified	10.112
K00566	39.717
K00566|g__Fusobacterium.s__Fusobacterium_nucleatum	39.717
K00571	17.036
K00571|unclassified	17.036
K00600	2.567
K00600|g__Campylobacter.s__Campylobacter_showae	0.873
K00600|g__Prevotella.s__Prevotella_nigrescens	1.693
K00602	22.471
K00602|g__Eikenella.s__Eikenella_corrodens	1.348
K00602|g__Fusobacterium.s__Fusobacterium_nucleatum	15.547
K00602|g__Prevotella.s__Prevotella_nigrescens	5.576
K00603	6.391
K00603|g__Fusobacterium.s__Fusobacterium_nucleatum	6.391
K00604	6.705
K00604|g__Fusobacterium.s__Fusobacterium_nucleatum	2.371
K00604|g__Prevotella.s__Prevotella_nigrescens	4.334
K00605	6.035
K00605|g__Prevotella.s__Prevotella_nigrescens	6.035
K00609	33.119
K00609|g__Filifactor.s__Filifactor_alocis	4.094
K00609|g__Fusobacterium.s__Fusobacterium_nucleatum	29.025
K00615	39.272
K00615|g__Filifactor.s__Filifactor_alocis	11.803
K00615|g__Fusobacterium.s__Fusobacterium_nucleatum	19.668
K00615|unclassified	7.802
K00620	3.549
K00620|g__Filifactor.s__Filifactor_alocis	3.549
K00625	6.63
K00625|g__Fusobacterium.s__Fusobacterium_nucleatum	6.63
K00627	6.952
K00627|unclassified	6.952
K00639	10.586
K00639|unclassified	10.586
K00645	34.651
K00645|g__Fusobacterium.s__Fusobacterium_nucleatum	27.574
K00645|unclassified	7.077
K00647	12.67
K00647|unclassified	12.67
K00648	22.624
K00648|g__Fusobacterium.s__Fusobacterium_nucleatum	12.401
K00648|g__Prevotella.s__Prevotella_nigrescens	1.087
K00648|unclassified	9.136
K00652	13.489
K00652|g__Fusobacterium.s__Fusobacterium_nucleatum	13.489
K00674	5.72
K00674|unclassified	5.72
K00677	9.207
K00677|unclassified	9.207
K00680	3.247
K00680|g__Fusobacterium.s__Fusobacterium_nucleatum	3.247
K00681	1.256
K00681|g__Fusobacterium.s__Fusobacterium_nucleatum	1.256
K00700	10.389
K00700|g__Fusobacterium.s__Fusobacterium_nucleatum	10.389
K00703	22.025
K00703|g__Fusobacterium.s__Fusobacterium_nucleatum	15.552
K00703|unclassified	6.472
K00705	3.519
K00705|g__Fusobacterium.s__Fusobacterium_nucleatum	3.519
K00720	16.979
K00720|g__Fusobacterium.s__Fusobacterium_nucleatum	16.979
K00721	1.546
K00721|g__Prevotella.s__Prevotella_nigrescens	1.546
K00748	11.192
K00748|g__Fusobacterium.s__Fusobacterium_nucleatum	9.269
K00748|g__Prevotella.s__Prevotella_nigrescens	1.923
K00759	7.264
K00759|g__Fusobacterium.s__Fusobacterium_nucleatum	7.264
K00761	5.652
K00761|g__Fusobacterium.s__Fusobacterium_nucleatum	5.652
K00762	34.447
K00762|g__Fusobacterium.s__Fusobacterium_nucleatum	32.646
K00762|g__Prevotella.s__Prevotella_nigrescens	1.802
K00763	7.136
K00763|g__Prevotella.s__Prevotella_nigrescens	7.136
K00764	26.043
K00764|g__Fusobacterium.s__Fusobacterium_nucleatum	13.633
K00764|unclassified	12.411
K00767	3.902
K00767|g__Filifactor.s__Filifactor_alocis	1.325
K00767|g__Prevotella.s__Prevotella_nigrescens	2.577
K00768	12.435
K00768|g__Fusobacterium.s__Fusobacterium_nucleatum	12.435
K00773	21.812
K00773|g__Filifactor.s__Filifactor_alocis	1.957
K00773|g__Fusobacterium.s__Fusobacterium_nucleatum	6.814
K00773|g__Prevotella.s__Prevotella_nigrescens	4.83
K00773|unclassified	8.211
K00783	17.821
K00783|g__Filifactor.s__Filifactor_alocis	12.386
K00783|g__Fusobacterium.s__Fusobacterium_nucleatum	5.435
K00784	2.454
K00784|g__Prevotella.s__Prevotella_nigrescens	2.454
K00788	7.667
K00788|g__Fusobacterium.s__Fusobacterium_nucleatum	5.726
K00788|g__Prevotella.s__Prevotella_nigrescens	1.942
K00789	21.744
K00789|g__Filifactor.s__Filifactor_alocis	5.561
K00789|g__Fusobacterium.s__Fusobacterium_nucleatum	16.183
K00790	11.092
