# Gene Family	C1_Abundance-RPKs
UNMAPPED	74518.0000000000
UniRef90_unknown	4645.9002014817
UniRef90_unknown|g__Fusobacterium.s__Fusobacterium_nucleatum	2715.6319862512
UniRef90_unknown|g__Prevotella.s__Prevotella_nigrescens	1179.8587816893
UniRef90_unknown|g__Alloprevotella.s__Alloprevotella_tannerae	210.5636280801
UniRef90_unknown|g__Campylobacter.s__Campylobacter_showae	163.1086511531
UniRef90_unknown|g__Gemella.s__Gemella_morbillorum	159.9413265817
UniRef90_unknown|g__Parvimonas.s__Parvimonas_micra	72.0682424408
UniRef90_unknown|g__Eikenella.s__Eikenella_corrodens	52.3644036489
UniRef90_unknown|g__Filifactor.s__Filifactor_alocis	35.2067782638
UniRef90_unknown|g__Catonella.s__Catonella_morbi	32.7277905382
UniRef90_unknown|g__Solobacterium.s__Solobacterium_moorei	24.4286128345
UniRef90_A5ZYU5	338.6466299443
UniRef90_A5ZYU5|g__Fusobacterium.s__Fusobacterium_nucleatum	333.3333333333
UniRef90_A5ZYU5|unclassified	5.3132966109
UniRef90_C3WU81	146.3414634146
UniRef90_C3WU81|g__Fusobacterium.s__Fusobacterium_nucleatum	146.3414634146
UniRef90_A5TX05	132.1398124467
UniRef90_A5TX05|g__Fusobacterium.s__Fusobacterium_nucleatum	132.1398124467
UniRef90_A5TSU1	107.8633863184
UniRef90_A5TSU1|g__Fusobacterium.s__Fusobacterium_nucleatum	107.8633863184
UniRef90_UPI0001A2A6BB	107.1344294931
UniRef90_UPI0001A2A6BB|g__Fusobacterium.s__Fusobacterium_nucleatum	107.1344294931
UniRef90_A5TSU5	106.8295739348
UniRef90_A5TSU5|g__Fusobacterium.s__Fusobacterium_nucleatum	106.8295739348
UniRef90_F9D7S6	100.0000000000
UniRef90_F9D7S6|g__Prevotella.s__Prevotella_nigrescens	100.0000000000
UniRef90_C9LDR4	86.9565217391
UniRef90_C9LDR4|g__Alloprevotella.s__Alloprevotella_tannerae	86.9565217391
UniRef90_A5TWX0	77.6914539401
UniRef90_A5TWX0|g__Fusobacterium.s__Fusobacterium_nucleatum	77.6914539401
UniRef90_C9LJS9	76.9230769231
