# Gene Family	C2_Abundance-RPKs
UNMAPPED	65065.0
UNGROUPED	28894.633
UNGROUPED|g__Haemophilus.s__Haemophilus_parainfluenzae	920.374
UNGROUPED|g__Haemophilus.s__Haemophilus_sputorum	4055.019
UNGROUPED|g__Prevotella.s__Prevotella_melaninogenica	841.861
UNGROUPED|g__Sphingomonas.s__Sphingomonas_melonis	18256.483
UNGROUPED|unclassified	4820.896
K00014	2.782
K00014|g__Haemophilus.s__Haemophilus_parainfluenzae	2.782
K00029	2.49
K00029|g__Haemophilus.s__Haemophilus_parainfluenzae	2.49
K00033	0.738
K00033|g__Haemophilus.s__Haemophilus_parainfluenzae	0.738
K00052	8.16
K00052|g__Haemophilus.s__Haemophilus_parainfluenzae	4.092
K00052|g__Haemophilus.s__Haemophilus_sputorum	4.068
K00053	2.89
K00053|g__Haemophilus.s__Haemophilus_parainfluenzae	0.724
K00053|g__Haemophilus.s__Haemophilus_sputorum	2.166
K00058	0.883
K00058|g__Haemophilus.s__Haemophilus_parainfluenzae	0.883
K00059	3.01
K00059|g__Prevotella.s__Prevotella_melaninogenica	3.01
K00075	2.16
K00075|g__Haemophilus.s__Haemophilus_parainfluenzae	2.16
K00088	5.058
K00088|g__Haemophilus.s__Haemophilus_parainfluenzae	2.199
K00088|g__Prevotella.s__Prevotella_melaninogenica	2.858
K00099	4.573
K00099|g__Haemophilus.s__Haemophilus_parainfluenzae	2.719
K00099|g__Prevotella.s__Prevotella_melaninogenica	1.854
K00100	0.956
K00100|g__Haemophilus.s__Haemophilus_parainfluenzae	0.956
K00101	1.907
K00101|g__Haemophilus.s__Haemophilus_sputorum	1.907
K00111	2.518
K00111|g__Haemophilus.s__Haemophilus_parainfluenzae	2.518
K00112	1.653
K00112|g__Haemophilus.s__Haemophilus_parainfluenzae	1.653
K00121	7.634
K00121|g__Haemophilus.s__Haemophilus_parainfluenzae	0.923
K00121|g__Haemophilus.s__Haemophilus_sputorum	6.711
K00124	2.392
K00124|g__Haemophilus.s__Haemophilus_parainfluenzae	2.392
K00127	4.301
K00127|g__Haemophilus.s__Haemophilus_parainfluenzae	4.301
K00133	3.937
K00133|g__Haemophilus.s__Haemophilus_sputorum	3.937
K00134	1.063
K00134|g__Haemophilus.s__Haemophilus_parainfluenzae	1.063
K00175	2.194
K00175|g__Prevotella.s__Prevotella_melaninogenica	2.194
K00208	5.806
K00208|g__Haemophilus.s__Haemophilus_sputorum	5.806
K00254	3.293
K00254|g__Haemophilus.s__Haemophilus_parainfluenzae	3.293
K00262	8.022
K00262|g__Haemophilus.s__Haemophilus_sputorum	4.0
K00262|g__Prevotella.s__Prevotella_melaninogenica	4.022
K00266	1.748
K00266|g__Prevotella.s__Prevotella_melaninogenica	1.748
K00283	1.438
K00283|g__Prevotella.s__Prevotella_melaninogenica	1.438
K00290	1.759
K00290|g__Prevotella.s__Prevotella_melaninogenica	1.759
K00297	2.528
K00297|g__Haemophilus.s__Haemophilus_parainfluenzae	2.528
K00339	6.758
K00339|g__Prevotella.s__Prevotella_melaninogenica	6.758
K00340	4.924
K00340|unclassified	4.924
K00343	1.496
K00343|g__Prevotella.s__Prevotella_melaninogenica	1.496
K00347	7.181
K00347|g__Haemophilus.s__Haemophilus_parainfluenzae	1.761
K00347|g__Haemophilus.s__Haemophilus_sputorum	3.52
K00347|g__Prevotella.s__Prevotella_melaninogenica	1.901
K00348	10.081
K00348|g__Haemophilus.s__Haemophilus_parainfluenzae	7.225
K00348|g__Haemophilus.s__Haemophilus_sputorum	2.856
K00349	7.54
K00349|g__Haemophilus.s__Haemophilus_parainfluenzae	3.774
K00349|g__Haemophilus.s__Haemophilus_sputorum	3.766
K00350	7.744
K00350|g__Haemophilus.s__Haemophilus_sputorum	7.744
K00368	1.828
K00368|g__Haemophilus.s__Haemophilus_parainfluenzae	1.828
K00382	3.917
K00382|g__Haemophilus.s__Haemophilus_sputorum	0.755
K00382|g__Prevotella.s__Prevotella_melaninogenica	3.162
K00383	1.574
K00383|g__Haemophilus.s__Haemophilus_parainfluenzae	0.787
K00383|g__Haemophilus.s__Haemophilus_sputorum	0.787
K00425	1.37
K00425|g__Prevotella.s__Prevotella_melaninogenica	1.37
K00428	1.62
K00428|g__Haemophilus.s__Haemophilus_parainfluenzae	1.62
K00520	2.596
K00520|g__Haemophilus.s__Haemophilus_sputorum	2.596
K00525	4.473
K00525|g__Haemophilus.s__Haemophilus_sputorum	4.473
K00526	5.51
K00526|g__Haemophilus.s__Haemophilus_parainfluenzae	0.97
K00526|g__Haemophilus.s__Haemophilus_sputorum	4.54
K00527	0.987
K00527|g__Haemophilus.s__Haemophilus_parainfluenzae	0.987
K00537	7.968
K00537|g__Haemophilus.s__Haemophilus_parainfluenzae	7.968
K00549	1.912
K00549|g__Haemophilus.s__Haemophilus_parainfluenzae	1.912
K00554	9.146
K00554|g__Haemophilus.s__Haemophilus_sputorum	9.146
K00558	11.869
K00558|unclassified	11.869
K00560	5.536
K00560|g__Haemophilus.s__Haemophilus_sputorum	2.658
K00560|g__Prevotella.s__Prevotella_melaninogenica	2.878
K00567	2.268
K00567|g__Haemophilus.s__Haemophilus_parainfluenzae	2.268
K00600	1.693
K00600|g__Prevotella.s__Prevotella_melaninogenica	1.693
K00602	6.71
K00602|g__Haemophilus.s__Haemophilus_sputorum	4.698
K00602|g__Prevotella.s__Prevotella_melaninogenica	2.012
K00604	6.834
K00604|g__Haemophilus.s__Haemophilus_parainfluenzae	4.667
K00604|g__Prevotella.s__Prevotella_melaninogenica	2.167
K00647	6.241
K00647|g__Haemophilus.s__Haemophilus_parainfluenzae	0.892
K00647|g__Haemophilus.s__Haemophilus_sputorum	5.349
K00648	6.694
K00648|g__Haemophilus.s__Haemophilus_parainfluenzae	2.346
K00648|g__Prevotella.s__Prevotella_melaninogenica	4.348
K00655	3.21
K00655|g__Haemophilus.s__Haemophilus_parainfluenzae	3.21
K00658	3.549
K00658|g__Haemophilus.s__Haemophilus_parainfluenzae	3.549
K00674	8.184
K00674|g__Haemophilus.s__Haemophilus_sputorum	8.184
K00677	2.903
K00677|g__Haemophilus.s__Haemophilus_parainfluenzae	2.903
K00705	0.704
K00705|g__Haemophilus.s__Haemophilus_sputorum	0.704
K00721	2.92
K00721|g__Prevotella.s__Prevotella_melaninogenica	2.92
K00748	1.869
K00748|g__Haemophilus.s__Haemophilus_parainfluenzae	1.869
K00757	1.209
K00757|g__Prevotella.s__Prevotella_melaninogenica	1.209
K00760	4.545
K00760|g__Haemophilus.s__Haemophilus_parainfluenzae	4.545
K00764	1.41
K00764|g__Haemophilus.s__Haemophilus_parainfluenzae	1.41
K00766	2.216
K00766|g__Haemophilus.s__Haemophilus_parainfluenzae	2.216
K00769	5.348
K00769|g__Haemophilus.s__Haemophilus_sputorum	5.348
K00783	5.413
K00783|g__Haemophilus.s__Haemophilus_parainfluenzae	2.717
K00783|g__Prevotella.s__Prevotella_melaninogenica	2.695
K00789	6.887
K00789|g__Haemophilus.s__Haemophilus_sputorum	1.9
K00789|g__Prevotella.s__Prevotella_melaninogenica	4.987
K00790	3.384
K00790|g__Haemophilus.s__Haemophilus_sputorum	3.384
K00793	3.906
K00793|g__Haemophilus.s__Haemophilus_parainfluenzae	3.906
K00796	2.725
K00796|g__Prevotella.s__Prevotella_melaninogenica	2.725
K00812	1.808
K00812|g__Prevotella.s__Prevotella_melaninogenica	1.808
K00826	2.132
K00826|g__Haemophilus.s__Haemophilus_sputorum	2.132
K00831	2.035
K00831|g__Haemophilus.s__Haemophilus_parainfluenzae	2.035
K00836	1.581
K00836|g__Haemophilus.s__Haemophilus_sputorum	1.581
K00847	1.209
K00847|g__Haemophilus.s__Haemophilus_parainfluenzae	1.209
K00850	1.155
K00850|g__Haemophilus.s__Haemophilus_parainfluenzae	1.155
K00857	4.0
K00857|g__Prevotella.s__Prevotella_melaninogenica	4.0
K00858	5.057
K00858|g__Haemophilus.s__Haemophilus_parainfluenzae	5.057
K00864	2.812
K00864|g__Haemophilus.s__Haemophilus_parainfluenzae	2.812
K00865	2.099
K00865|g__Prevotella.s__Prevotella_melaninogenica	2.099
K00867	1.181
K00867|g__Haemophilus.s__Haemophilus_parainfluenzae	1.181
K00868	5.389
K00868|g__Haemophilus.s__Haemophilus_parainfluenzae	2.608
K00868|g__Prevotella.s__Prevotella_melaninogenica	2.782
K00872	2.358
K00872|g__Haemophilus.s__Haemophilus_sputorum	2.358
K00873	5.183
K00873|g__Haemophilus.s__Haemophilus_sputorum	3.717
K00873|g__Prevotella.s__Prevotella_melaninogenica	1.466
K00876	2.548
K00876|g__Prevotella.s__Prevotella_melaninogenica	2.548
K00882	3.563
K00882|g__Haemophilus.s__Haemophilus_parainfluenzae	3.563
K00884	2.4
K00884|g__Haemophilus.s__Haemophilus_parainfluenzae	2.4
K00885	2.384
K00885|g__Haemophilus.s__Haemophilus_parainfluenzae	2.384
K00891	3.887
K00891|g__Prevotella.s__Prevotella_melaninogenica	3.887
K00895	2.585
K00895|g__Prevotella.s__Prevotella_melaninogenica	2.585
K00919	7.282
K00919|g__Haemophilus.s__Haemophilus_parainfluenzae	7.282
K00925	1.803
K00925|g__Haemophilus.s__Haemophilus_sputorum	1.803
K00927	3.701
K00927|g__Haemophilus.s__Haemophilus_parainfluenzae	1.843
K00927|g__Haemophilus.s__Haemophilus_sputorum	1.859
K00928	0.798
K00928|g__Haemophilus.s__Haemophilus_parainfluenzae	0.798
K00939	5.475
K00939|g__Haemophilus.s__Haemophilus_parainfluenzae	5.475
K00940	15.625
K00940|g__Haemophilus.s__Haemophilus_parainfluenzae	15.625
K00942	3.39
K00942|g__Haemophilus.s__Haemophilus_parainfluenzae	3.39
K00945	3.353
K00945|g__Haemophilus.s__Haemophilus_parainfluenzae	3.353
K00948	3.48
K00948|g__Haemophilus.s__Haemophilus_sputorum	3.48
K00954	5.305
K00954|g__Haemophilus.s__Haemophilus_parainfluenzae	5.305
K00962	0.981
K00962|g__Haemophilus.s__Haemophilus_sputorum	0.981
K00963	1.269
K00963|g__Haemophilus.s__Haemophilus_parainfluenzae	1.269
K00975	3.3
K00975|g__Haemophilus.s__Haemophilus_parainfluenzae	0.819
K00975|g__Haemophilus.s__Haemophilus_sputorum	2.481
K00981	2.521
K00981|g__Prevotella.s__Prevotella_melaninogenica	2.521
K00991	6.574
K00991|g__Haemophilus.s__Haemophilus_parainfluenzae	3.425
K00991|g__Prevotella.s__Prevotella_melaninogenica	3.15
K00995	4.367
K00995|g__Haemophilus.s__Haemophilus_parainfluenzae	4.367
K01000	10.828
K01000|g__Haemophilus.s__Haemophilus_parainfluenzae	6.104
K01000|g__Haemophilus.s__Haemophilus_sputorum	3.018
K01000|g__Prevotella.s__Prevotella_melaninogenica	1.706
K01012	1.091
K01012|g__Haemophilus.s__Haemophilus_parainfluenzae	1.091
K01042	3.079
K01042|g__Haemophilus.s__Haemophilus_parainfluenzae	3.079
K01048	2.392
K01048|g__Haemophilus.s__Haemophilus_parainfluenzae	2.392
K01070	6.868
K01070|g__Haemophilus.s__Haemophilus_sputorum	6.868
K01079	3.457
K01079|g__Prevotella.s__Prevotella_melaninogenica	3.457
K01082	1.35
K01082|g__Haemophilus.s__Haemophilus_parainfluenzae	1.35
K01085	0.858
K01085|g__Haemophilus.s__Haemophilus_parainfluenzae	0.858
K01091	3.478
K01091|g__Haemophilus.s__Haemophilus_parainfluenzae	3.478
K01119	2.556
K01119|g__Haemophilus.s__Haemophilus_parainfluenzae	2.556
K01130	2.768
K01130|g__Prevotella.s__Prevotella_melaninogenica	2.768
K01139	0.989
K01139|g__Haemophilus.s__Haemophilus_parainfluenzae	0.989
K01142	7.102
K01142|g__Haemophilus.s__Haemophilus_sputorum	7.102
K01153	0.651
K01153|g__Haemophilus.s__Haemophilus_parainfluenzae	0.651
K01154	1.907
K01154|g__Prevotella.s__Prevotella_melaninogenica	1.907
K01175	3.39
K01175|g__Haemophilus.s__Haemophilus_parainfluenzae	3.39
K01190	0.841
K01190|g__Prevotella.s__Prevotella_melaninogenica	0.841
K01193	1.476
K01193|g__Haemophilus.s__Haemophilus_parainfluenzae	1.476
K01206	1.384
K01206|g__Prevotella.s__Prevotella_melaninogenica	1.384
K01246	6.432
K01246|g__Haemophilus.s__Haemophilus_parainfluenzae	6.432
K01255	1.432
K01255|g__Haemophilus.s__Haemophilus_parainfluenzae	1.432
K01256	0.797
K01256|g__Haemophilus.s__Haemophilus_parainfluenzae	0.797
K01258	1.761
K01258|g__Haemophilus.s__Haemophilus_parainfluenzae	1.761
K01265	2.841
K01265|g__Haemophilus.s__Haemophilus_parainfluenzae	2.841
K01270	2.962
K01270|g__Haemophilus.s__Haemophilus_parainfluenzae	1.483
K01270|g__Prevotella.s__Prevotella_melaninogenica	1.479
K01358	6.115
K01358|g__Haemophilus.s__Haemophilus_parainfluenzae	2.075
K01358|g__Haemophilus.s__Haemophilus_sputorum	4.04
K01409	1.076
K01409|g__Haemophilus.s__Haemophilus_parainfluenzae	1.076
K01428	5.559
K01428|g__Haemophilus.s__Haemophilus_parainfluenzae	0.618
K01428|g__Haemophilus.s__Haemophilus_sputorum	4.941
K01429	3.953
K01429|g__Haemophilus.s__Haemophilus_sputorum	3.953
K01448	2.944
K01448|g__Haemophilus.s__Haemophilus_parainfluenzae	1.321
K01448|g__Prevotella.s__Prevotella_melaninogenica	1.623
K01462	16.897
