# Gene Family	C2_Abundance-RPKs
UNMAPPED	65065.0000000000
UniRef90_unknown	3023.7282738110
UniRef90_unknown|g__Sphingomonas.s__Sphingomonas_melonis	2352.2050083473
UniRef90_unknown|g__Haemophilus.s__Haemophilus_sputorum	339.3602322155
UniRef90_unknown|g__Haemophilus.s__Haemophilus_parainfluenzae	188.1035915333
UniRef90_unknown|g__Prevotella.s__Prevotella_melaninogenica	144.0594417150
UniRef90_W1V5A8	1045.7533374668
UniRef90_W1V5A8|unclassified	1045.7533374668
UniRef90_W1YVJ3	233.3280787587
UniRef90_W1YVJ3|unclassified	233.3280787587
UniRef90_W1V235	123.2371480316
UniRef90_W1V235|unclassified	123.2371480316
UniRef90_E1GSQ9	82.3758504127
UniRef90_E1GSQ9|unclassified	82.3758504127
UniRef90_UPI00047682DA	62.3932706877
UniRef90_UPI00047682DA|g__Sphingomonas.s__Sphingomonas_melonis	62.3932706877
UniRef90_T2BL02	56.5091210614
UniRef90_T2BL02|g__Haemophilus.s__Haemophilus_parainfluenzae	56.5091210614
UniRef90_J5HH13	50.0000000000
UniRef90_J5HH13|g__Haemophilus.s__Haemophilus_sputorum	50.0000000000
UniRef90_UPI00035E5248	44.2324926386
UniRef90_UPI00035E5248|g__Sphingomonas.s__Sphingomonas_melonis	44.2324926386
UniRef90_F3X1A3	42.6379269294
UniRef90_F3X1A3|unclassified	42.6379269294
UniRef90_W0Q974	42.4469390841
UniRef90_W0Q974|g__Haemophilus.s__Haemophilus_sputorum	38.9610389610
UniRef90_W0Q974|unclassified	3.4859001231
UniRef90_A0A015K3K6	41.3643634424
UniRef90_A0A015K3K6|unclassified	41.3643634424
UniRef90_T0I096	39.9972612138
UniRef90_T0I096|g__Sphingomonas.s__Sphingomonas_melonis	39.9972612138
UniRef90_A0A031HVQ5	38.9610389610
UniRef90_A0A031HVQ5|g__Sphingomonas.s__Sphingomonas_melonis	38.9610389610
UniRef90_UPI000361990D	38.9610389610
UniRef90_UPI000361990D|g__Sphingomonas.s__Sphingomonas_melonis	38.9610389610
UniRef90_F0EVK1	38.4615384615
UniRef90_F0EVK1|g__Haemophilus.s__Haemophilus_parainfluenzae	38.4615384615
UniRef90_UPI0003619C41	38.1679389313
UniRef90_UPI0003619C41|g__Sphingomonas.s__Sphingomonas_melonis	38.1679389313
UniRef90_W1YRB8	38.1152888125
UniRef90_W1YRB8|unclassified	38.1152888125
UniRef90_F3X198	37.1180189936
UniRef90_F3X198|unclassified	37.1180189936
UniRef90_UPI00037698F0	36.9446075553
UniRef90_UPI00037698F0|g__Sphingomonas.s__Sphingomonas_melonis	36.9446075553
UniRef90_UPI00036438AD	36.5003029998
UniRef90_UPI00036438AD|g__Sphingomonas.s__Sphingomonas_melonis	36.5003029998
UniRef90_Q1NA44	36.0138198238
UniRef90_Q1NA44|unclassified	36.0138198238
UniRef90_F3X1A0	35.8914798589
UniRef90_F3X1A0|unclassified	35.8914798589
UniRef90_F3X197	35.1669109122
UniRef90_F3X197|unclassified	35.1669109122
UniRef90_F3X2T2	32.2580645161
UniRef90_F3X2T2|g__Sphingomonas.s__Sphingomonas_melonis	32.2580645161
UniRef90_B4WES0	30.7505175888
UniRef90_B4WES0|g__Sphingomonas.s__Sphingomonas_melonis	30.7505175888
UniRef90_A0A031HUQ9	30.5343511450
UniRef90_A0A031HUQ9|g__Sphingomonas.s__Sphingomonas_melonis	30.5343511450
UniRef90_UPI0003B30A64	30.4291548721
UniRef90_UPI0003B30A64|g__Sphingomonas.s__Sphingomonas_melonis	30.4291548721
UniRef90_UPI0003669DE0	30.1580214863
UniRef90_UPI0003669DE0|g__Sphingomonas.s__Sphingomonas_melonis	30.1580214863
UniRef90_UPI00026CDBEB	30.0389331905
UniRef90_UPI00026CDBEB|unclassified	30.0389331905
UniRef90_UPI00026CDBE9	29.8008491004
UniRef90_UPI00026CDBE9|unclassified	29.8008491004
UniRef90_UPI00037D8DCF	29.3397494014
UniRef90_UPI00037D8DCF|g__Sphingomonas.s__Sphingomonas_melonis	29.3397494014
UniRef90_UPI00036A58F7	29.2887029289
UniRef90_UPI00036A58F7|g__Sphingomonas.s__Sphingomonas_melonis	29.2887029289
UniRef90_UPI00037A18DD	29.1079689267
UniRef90_UPI00037A18DD|g__Sphingomonas.s__Sphingomonas_melonis	29.1079689267
UniRef90_W0AC35	28.9947089059
UniRef90_W0AC35|g__Sphingomonas.s__Sphingomonas_melonis	28.9947089059
UniRef90_A3N3N0	28.5714285714
UniRef90_A3N3N0|g__Haemophilus.s__Haemophilus_parainfluenzae	28.5714285714
UniRef90_UPI00037B5DB6	28.4090909091
UniRef90_UPI00037B5DB6|g__Sphingomonas.s__Sphingomonas_melonis	28.4090909091
UniRef90_UPI00037103D4	28.1690140845
UniRef90_UPI00037103D4|g__Sphingomonas.s__Sphingomonas_melonis	28.1690140845
UniRef90_UPI00037870AB	27.3672687466
UniRef90_UPI00037870AB|g__Sphingomonas.s__Sphingomonas_melonis	27.3672687466
UniRef90_UPI000374B28C	27.0270270270
UniRef90_UPI000374B28C|g__Sphingomonas.s__Sphingomonas_melonis	27.0270270270
UniRef90_UPI0003671730	26.9103334192
UniRef90_UPI0003671730|g__Sphingomonas.s__Sphingomonas_melonis	26.9103334192
UniRef90_W1YTC9	26.7012140700
UniRef90_W1YTC9|unclassified	26.7012140700
UniRef90_F3X1A1	26.5335517590
UniRef90_F3X1A1|unclassified	26.5335517590
UniRef90_T0HMX9	26.2426498711
UniRef90_T0HMX9|g__Sphingomonas.s__Sphingomonas_melonis	26.2426498711
UniRef90_UPI00036D5F6B	25.9860801888
UniRef90_UPI00036D5F6B|g__Sphingomonas.s__Sphingomonas_melonis	25.9860801888
UniRef90_UPI00037A9E0E	25.9740259740
UniRef90_UPI00037A9E0E|g__Sphingomonas.s__Sphingomonas_melonis	25.9740259740
UniRef90_T0J0S4	25.8994737809
UniRef90_T0J0S4|g__Sphingomonas.s__Sphingomonas_melonis	25.8994737809
UniRef90_UPI00035C8752	25.7325055864
UniRef90_UPI00035C8752|g__Sphingomonas.s__Sphingomonas_melonis	25.7325055864
UniRef90_A0A031HWC7	25.6270918500
UniRef90_A0A031HWC7|g__Sphingomonas.s__Sphingomonas_melonis	25.6270918500
UniRef90_UPI00037E2414	25.2471062557
UniRef90_UPI00037E2414|g__Sphingomonas.s__Sphingomonas_melonis	25.2471062557
UniRef90_W0A948	25.2350700116
UniRef90_W0A948|unclassified	25.2350700116
UniRef90_UPI000373FCC2	25.0034440006
UniRef90_UPI000373FCC2|g__Sphingomonas.s__Sphingomonas_melonis	25.0034440006
UniRef90_E2NX00	24.7256469313
UniRef90_E2NX00|unclassified	24.7256469313
UniRef90_UPI00037A26D3	24.7039104380
UniRef90_UPI00037A26D3|g__Sphingomonas.s__Sphingomonas_melonis	24.7039104380
UniRef90_F3X199	24.5418747910
UniRef90_F3X199|unclassified	24.5418747910
UniRef90_T0J6Y7	24.3066534891
UniRef90_T0J6Y7|g__Sphingomonas.s__Sphingomonas_melonis	24.3066534891
UniRef90_UPI00036C03D0	24.2013779228
UniRef90_UPI00036C03D0|g__Sphingomonas.s__Sphingomonas_melonis	24.2013779228
UniRef90_J4KBK7	24.0963855422
UniRef90_J4KBK7|g__Haemophilus.s__Haemophilus_sputorum	24.0963855422
UniRef90_UPI00037B6761	23.9529546758
UniRef90_UPI00037B6761|g__Sphingomonas.s__Sphingomonas_melonis	23.9529546758
UniRef90_E1W1X6	23.9234449761
UniRef90_E1W1X6|g__Haemophilus.s__Haemophilus_sputorum	23.9234449761
UniRef90_UPI000382A80E	23.7646849989
UniRef90_UPI000382A80E|g__Sphingomonas.s__Sphingomonas_melonis	23.7646849989
UniRef90_UPI00036BE5A4	23.4913793103
