unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium doosanense	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium doosanense	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium efficiens	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium efficiens	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium endometrii	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium endometrii	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium genitalium	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium genitalium	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium jeikeium	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium kroppenstedtii	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium kroppenstedtii	0	0	2	0	0	0	1	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium lactis	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium lactis	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium matruchotii	0	125	0	0	0	24	1	1589	0	2	7	1271
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium simulans	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium simulans	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 2183	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium sp. 2183	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium striatum	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium striatum	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulcerans	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium ulcerans	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	Dietzia sp. oral taxon 368	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Dietziaceae|g_Dietzia|s_Dietzia sp. oral taxon 368	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia sp. HY186	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Gordoniaceae|g_Gordonia|s_Gordonia sp. HY186	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium seoulense	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium seoulense	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. PYR15	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium sp. PYR15	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium aichiense	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium aichiense	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium celeriflavum	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium celeriflavum	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium goodii	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium goodii	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium phlei	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium phlei	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium phocaicum	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium phocaicum	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium sarraceniae	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium sarraceniae	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. B7740	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus sp. B7740	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. EAN1pec	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Frankiales|f_Frankiaceae|g_Frankia|s_Frankia sp. EAN1pec	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	Jatrophihabitans sp. GAS493	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Frankiales|f_Frankiaceae|g_Jatrophihabitans|s_Jatrophihabitans sp. GAS493	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	Georgenia sp. Z294	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Bogoriellaceae|g_Georgenia|s_Georgenia sp. Z294	0	0	1	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium siliguriense	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Brevibacteriaceae|g_Brevibacterium|s_Brevibacterium siliguriense	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas fimi	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Cellulomonas|s_Cellulomonas fimi	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas flavigena	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Cellulomonas|s_Cellulomonas flavigena	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas sp. H30R-01	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Cellulomonas|s_Cellulomonas sp. H30R-01	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium saurashtrense	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermabacteraceae|g_Brachybacterium|s_Brachybacterium saurashtrense	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium vulturis	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermabacteraceae|g_Brachybacterium|s_Brachybacterium vulturis	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Devriesea	Devriesea agamarum	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermabacteraceae|g_Devriesea|s_Devriesea agamarum	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Austwickia	Austwickia chelonae	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermatophilaceae|g_Austwickia|s_Austwickia chelonae	0	0	0	0	0	0	0	0	1	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Dermatophilus	Dermatophilus congolensis	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermatophilaceae|g_Dermatophilus|s_Dermatophilus congolensis	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Intrasporangium	Intrasporangium calvum	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Intrasporangiaceae|g_Intrasporangium|s_Intrasporangium calvum	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	Janibacter limosus	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Intrasporangiaceae|g_Janibacter|s_Janibacter limosus	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frondihabitans	Frondihabitans sp. PAMC 28766	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Frondihabitans|s_Frondihabitans sp. PAMC 28766	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia sp. 21MFCrub1.1	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia|s_Leifsonia sp. 21MFCrub1.1	0	1	0	0	0	0	0	1	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter sp. HDW9A	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter|s_Leucobacter sp. HDW9A	0	0	0	0	0	0	0	0	1	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter sp. HDW9B	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter|s_Leucobacter sp. HDW9B	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sediminis	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium sediminis	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. 4R-513	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium sp. 4R-513	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. CBA3102	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium sp. CBA3102	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. NY27	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium sp. NY27	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microterricola	Microterricola viridarii	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microterricola|s_Microterricola viridarii	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola sp. 449	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola|s_Mycetocola sp. 449	0	0	0	0	0	0	1	0	0	0	0	0
