Genus	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
g__Bacteroides	27.32893	28.79723	34.2319	29.94302	34.56687	44.82835	5.90153	14.48775	9.77555	0.03437	0.0101	39.93952	4.93783	1.75865	3.44132	4.30088	0.37871	1.27272
unclassified	2.48087	11.55115	3.59211	2.04415	22.38545	3.32867	0.13111	0.43647	4.2587	0.14865	0.84356	0.92477	32.19308	11.66076	30.44017	17.40119	62.15346	25.88864
g__Phocaeicola	16.65059	5.68688	10.19462	18.55287	10.94475	16.28273	1.81366	0.5176	10.32154	0.00489	9.2207	31.42366	7.53303	2.25804	1.26245	1.04838	0.12701	2.59979
g__Escherichia	0.02419	0.35217	0.00876	1.86606	2.67719	0.80857	16.39209	4.87433	63.0297	10.91398	6.99559	9.78132	0.07163	0.06485	0.21011	0.02298	0.32666	0.97387
g__Alistipes	12.13949	26.93743	19.69008	8.65162	13.57168	12.36096	0	0.01216	2.26277	0.0117	0.02266	0.06532	0.64604	1.74318	1.73785	2.06665	0.60362	0.1423
g__Bifidobacterium	0.00678	0.72907	0	0.05094	0.1715	0.40044	0	0	0.09214	3.53629	79.13993	0	1.93857	0	0	2.64845	13.50717	0
g__Klebsiella	1.70422	0	0.1362	0.02193	0.03364	0	0.43105	69.35083	0.06204	2.81335	0.77929	0.01041	0.73878	0.48767	0.02098	0	3.19498	0.26402
g__Prevotella	0	0.02976	4.45487	7.40832	0	0	0	0.00667	0.0452	0.02164	0.00744	0.00379	10.72257	9.62203	14.64453	1.94109	6.73153	12.56275
g__Faecalibacterium	0.78694	1.90887	0.44641	1.65865	1.4683	5.12894	0	0.07367	0.00163	0.17798	0.07432	0	6.79159	5.39729	2.40836	13.98935	2.87237	4.27809
g__Roseburia	2.73012	0.47312	0.23113	2.73256	0.37517	0	0.66441	0	0.13975	0	0	0.03255	2.10337	2.24918	5.60234	9.27444	5.21886	12.7471
g__Mediterraneibacter	0.73523	0.63516	2.12695	0.81237	1.17869	0.31129	16.52979	0.00403	0.24703	8.71335	0.04878	0.36065	1.52053	1.38747	0.70582	0.51989	0.23393	5.07616
g__Clostridium	1.6065	0.77091	0.84981	3.10981	0.52558	0.10482	9.023	0.03004	1.69719	4.44771	0.001	0.78367	3.19659	1.53803	3.22932	5.52803	0.75442	2.2123
g__GGB51647	0	0	0	0	0	0	0	0	0	0	0.00018	0	0	0.12671	24.69979	0.00954	6.8384	6.81987
g__Parabacteroides	0.95868	2.31042	4.17217	1.44894	1.91221	7.98548	5.34866	4.33921	0.38012	4.12451	0	0.70627	0.43467	0.48855	0.60729	0.66314	0.03902	0.30833
g__Lachnospira	2.03153	0.67093	0.02704	0	0.01773	1.18432	0	0	0.02996	22.8147	0	0	3.30013	0.51799	0.12076	4.56627	0.50375	0.44208
g__Gemmiger	2.16438	0.64869	1.37268	0	3.32103	0	0	0.02301	0	0.09843	0.00624	1.49584	9.37632	2.60523	0	8.89536	1.09038	4.73094
g__Dialister	0	0.98916	0	0.06938	0.14654	0	0.92446	0	0	15.08175	0	0.00063	0.90787	10.43329	0	1.04299	0.32349	0
g__Oscillibacter	6.03733	0	0.50732	0	1.94918	0	0	0.00401	0	0	9e-05	0	2.49297	7.67965	1.28987	1.68801	0.48982	1.64262
g__Ruminococcus	0.69888	0.99607	0.31851	1.1646	0.5055	0.02967	0	0	0.03627	0	0.16298	0.22955	1.15338	2.1946	4.31341	9.24956	1.44703	0.2562
g__Fusobacterium	3.28025	0	0.22304	0.11865	0.1347	0	10.57502	0	0.26386	0	0	7.6915	0.00724	0	0.05526	0	0	0.24465
g__Megasphaera	0.17486	14.85281	0	0.62689	1.11296	0.08709	0	0	0	2.8929	0.01828	0	0.00099	0	0	0.69579	0.08819	0
g__Pseudoflavonifractor	0	0	0	0.0677	0.10726	0	0	0	0.01366	19.23004	0	0.00727	3e-04	0.00385	0.00073	0.01837	0	0
g__Enterocloster	0.0512	0.14225	0.02675	0.08463	0.32839	0.69044	16.263	0	0.15765	1.07754	0.15674	0.1562	0.25389	0.00621	0.00258	0.02571	0.02175	0.00016
g__Megamonas	0.00378	0	0	0	0.19417	1.54301	0	0	0	0	0	0.2054	3.6782	0	0	10.85701	0.8349	0.19656
g__GGB3277	0	1.22287	0	0	1.07018	0	0	0	0	0	0	0	0	0	0	6.62231	6.6556	1.58599
g__Blautia	0.08883	0.39427	0.20957	0.03661	0.07045	0.08954	0.65823	0.00215	0.3779	0.3323	0	0	2.90777	2.08445	1.71862	2.02816	4.25284	1.69772
g__Veillonella	0.72763	0	0.00191	4.44073	0.03746	0	9.72994	0.38891	0	0.20276	0.36327	0.07827	0.14774	0.00261	0.00343	0.01752	0.10807	0.02929
g__Phascolarctobacterium	1.47866	0.58816	0.11686	1.79955	1.87178	0.23807	0	0.00251	2.56466	0	0.06635	2.82603	0.84746	0.06462	0	0.26607	0	2.27106
g__Coprococcus	0	0	0.19314	0.0123	0.10918	0	0	0	0	0	0	0	0	1.99859	1.60816	0.47462	3.27539	1.82635
g__Ruthenibacterium	0.29637	0.16546	0.26448	0.63878	0.55593	0.1111	0	3.91708	0.86466	0	0.54697	0.20794	0.92647	0.2231	0.1541	0.07549	0.02599	0.10164
g__Eubacterium	0.07495	0.33221	1.8773	0.01307	0.17326	0.00498	0	0	0	0	0	0.00052	0.08733	0.86319	0.5273	4.13718	0.35595	0.27107
g__Waltera	0.00984	0	3.2445	0.01989	0.08741	0	0	0	0	0	0	0	0.6948	4.01395	0.30017	0.00441	0.20124	0.02534
g__Anaerotignum	2.07355	0.1449	0.62603	0.73513	0.00012	0.03404	0.46069	0.002	1.1864	0	0	0	1.02344	1.03481	0.24174	0.14976	0	0.6664
g__Candidatus_Cibionibacter	0	0	0	0	0.31405	0	0	0.00318	0.07212	0	0.00086	0	3.83656	1.27531	0	0.85443	1.44458	0.23874
g__GGB1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70519
g__Dorea	0.42872	0.34842	0.15333	0.16583	0.01697	0	0	0	0.07317	0	0.01004	0	0.66721	1.05215	1.1362	0.36014	1.28445	1.70098
g__Collinsella	0.4178	0.42346	0.11152	0.01492	0.2579	0.02634	0.8214	0	0.215	0	0.54425	0	1.09081	0.39197	0.42083	0.39875	1.72974	0.52971
g__Streptococcus	3.97292	0.17804	0.02297	0.89365	0.01705	0.00181	0.12855	0	0	0.002	0.00973	0	0.64306	0.34787	0.16826	0.11593	0.10543	0.47178
g__GGB1148	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73482	4.22112	0	0	0
g__Fusicatenibacter	0.0937	0.3312	0.02783	0.08259	0.0221	0	0	0	0.01957	0	0	0.00128	0.34905	0.26107	0.22391	1.08604	0.50083	3.80698
g__Marseilla	0	0	0	0	6.14774	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Butyricimonas	0.40855	0.13917	0.69526	1.08107	0.11836	0.2602	0	0	0.10807	0	0	0	0.73422	1.11338	0.20775	0.09098	0.00169	1.10166
g__Haemophilus	3.205	0.01162	1.05872	0.69775	0	0	0	0	0	0	0	0.00179	0.02347	0.02234	0.05439	0.00376	0.30696	0.51432
g__Dysosmobacter	0.09147	0.09394	0.38707	1.09624	1.0501	0.40285	0	0	0.04747	0	0	0.00473	0.89021	0.53257	0.22594	0.53205	0.02692	0.09442
g__GGB47687	0	0	0	0	0	0	0	0	0	0	0	0.02335	5.12894	0	0	0	0	0
g__GGB3746	3.82063	0	0	0.64454	0.09555	0	0	0	0	0.00746	0	0	0	0.22484	0.09345	0	0	0.15145
g__GGB1405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97604	0	0	0
g__GGB3167	0	0	0	0	0.25471	0	0	0	0	0	0	0	4.72127	0	0	0	0	0
g__Flavonifractor	0.34955	0.34026	0.06341	0.41638	0.61849	0.42094	0.57663	0.01065	1.11229	0.03772	0.1834	0.06428	0.13382	0.04446	0.03678	0.40961	0.01332	0.06679
g__Catenibacterium	0	0	0	0	0	1.27373	0	0	0	0	0	0	0	0.15175	0.14644	0	2.44603	0.74342
g__Bilophila	0.28014	0.23049	0.02443	0.24445	0.72241	0.25323	0	0.25614	0.17796	0	0.08887	0.08458	0.80465	0.09894	0.51825	0.19507	0.01669	0.68405
g__Negativibacillus	0.04011	0	0.10416	0	2.85411	0	0	0	0	0	0	0	0	0	1.3899	0	0	0.01197
g__Paraprevotella	0	0	0	3.33147	0	0	0	0	0	0	0	0	0	0	0.57683	0	0	0.11805
g__Holdemanella	0	0	0	0	0	0	0	0	0	0	0	0	1.46916	0.43375	0.43894	0	0.5298	1.0215
g__GGB9813	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63235	0	0	0	0
g__GGB9747	0	0	0.216	0	0	0	0	0	0	0	0	0	0	2.45209	0.63838	0	0.27438	0.03014
