ID	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Bacteria	100.0	100.0	100.0	100.0	99.92672	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.89916	100.0	99.99786	100.0	99.47841	99.97134
k__Bacteria|p__Bacteroidetes	57.95899	65.43258	75.43038	70.93138	69.5818	82.74037	13.06386	19.36338	24.51936	4.19712	9.26089	72.16205	31.39629	21.58717	28.91519	17.53975	15.99804	27.48907
k__Bacteria|p__Firmicutes	32.64435	31.99426	20.26559	24.59123	25.67873	14.39984	58.47437	5.16903	10.69935	75.85636	2.24796	7.41652	62.54692	68.82746	68.79716	78.94511	61.6712	65.47739
k__Bacteria|p__Proteobacteria	5.41888	1.37281	2.44466	4.24127	3.97721	2.415	16.82313	75.41104	64.14901	15.37704	8.23372	9.92792	2.3705	7.35334	1.76233	0.3832	4.19777	5.79293
k__Bacteria|p__Fusobacteria	3.28025	0.0	0.22304	0.12512	0.1347	0.0	10.57502	0.0	0.26386	0.0	0.0	10.45271	0.00724	0.0	0.05526	0.0	0.0	0.24465
k__Bacteria|p__Actinobacteria	0.68728	1.19105	0.93195	0.111	0.48696	0.44462	1.02149	0.05655	0.36626	4.52351	80.10798	0.0408	3.41567	2.22224	0.46609	3.12576	17.01946	0.947
k__Bacteria|p__Candidatus_Saccharibacteria	0.01025	0.00929	0.0	0.0	0.01204	0.0	0.04213	0.0	0.0	0.04173	0.14945	0.0	0.04341	0.00318	0.0	0.00618	0.01709	0.00869
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	57.95899	65.43258	74.84135	70.93138	68.53184	82.74037	13.06386	19.36338	24.51731	4.19712	9.26089	72.1387	26.25162	21.58717	27.38799	17.53975	14.59818	19.78317
k__Bacteria|p__Firmicutes|c__Clostridia	25.29815	13.01919	17.64365	16.17718	19.21941	10.82344	46.61716	4.72315	8.00739	57.5619	1.56503	3.91796	53.87193	48.84128	38.60552	65.14999	47.73802	52.0181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4.99357	0.39203	1.46101	2.64856	2.82252	0.82196	16.82313	75.13849	63.80645	14.36153	7.94433	9.79352	0.84128	3.07416	0.98104	0.09963	4.11623	4.56155
k__Bacteria|p__Firmicutes|c__Bacilli	4.3074	0.17804	1.74191	0.92105	0.06694	0.00181	0.13268	0.03241	0.0156	0.03128	0.0315	0.0	0.67762	1.55966	1.08953	0.11594	0.41505	0.64984
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3.28025	0.0	0.22304	0.12512	0.1347	0.0	10.57502	0.0	0.26386	0.0	0.0	7.6915	0.00724	0.0	0.05526	0.0	0.0	0.24465
k__Bacteria|p__Firmicutes|c__Negativicutes	2.40881	17.33192	0.15108	7.0288	3.45176	1.86817	10.6544	0.39143	2.57197	18.17741	0.44789	3.11034	5.58225	10.79644	0.85058	12.87937	1.50811	3.25406
