OTUID	All	Cancer	Early	Healthy
k__Bacteria	99.959638	 99.98779	100.00000	 99.89113
k__Bacteria|p__Firmicutes	39.761268	24.92900	26.64393	67.71087
k__Bacteria|p__Bacteroidetes	39.309315	70.34592	23.76111	23.82092
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38.340314	70.07275	23.75688	21.19131
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	38.340314	70.07275	23.75688	21.19131
k__Bacteria|p__Firmicutes|c__Clostridia	29.488803	17.03017	20.39877	51.03747
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	28.950253	16.82365	20.35228	49.67483
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	24.02503	46.346803	20.575148	 5.153138
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	15.885294	33.282722	11.691473	 2.681687
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	14.954061	 6.885723	12.545402	25.431057
k__Bacteria|p__Proteobacteria	12.869542	 3.311638	31.653643	 3.643345
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11.926722	 2.189942	31.311242	 2.278982
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	11.313681	 1.272322	31.146520	 1.522202
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	11.298813	 1.272322	31.101917	 1.522202
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	9.40029	 7.103685	 4.671765	16.425420
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	8.135734	13.052073	 8.883677	 2.471452
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	6.866412	16.015302	 0.395765	 4.188168
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	6.633003	 0.9561567	18.6645017	 0.2783500
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	6.633003	 0.9561567	18.6645017	 0.2783500
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	6.633003	 0.9561567	18.6645017	 0.2783500
k__Bacteria|p__Actinobacteria	6.509204	 0.6421433	14.3527650	 4.5327033
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	6.179251	16.3604950	 1.2107200	 0.9665383
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836	6.179251	16.3604950	 1.2107200	 0.9665383
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5.884971	 0.3822017	14.0446833	 3.2280267
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	5.703642	15.558550	 0.395765	 1.156610
k__Bacteria|p__Firmicutes|c__Negativicutes	5.692488	5.373423	5.892240	5.811802
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	5.681944	 0.2264533	13.8036800	 3.0156983
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	5.681944	 0.2264533	13.8036800	 3.0156983
