Family	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
f__Bacteroidaceae	43.97952	34.48411	44.49859	48.49589	45.51162	61.11108	7.71519	15.00535	20.09709	0.03926	9.2308	71.36318	12.47086	4.01669	4.70377	5.34926	0.50572	3.87251
f__Lachnospiraceae	13.14391	11.99918	11.54127	6.13781	3.28829	2.56856	36.15215	0.55551	3.89833	33.21477	0.59334	1.80118	26.93053	23.17399	34.14273	26.39351	74.93865	52.09674
f__Enterobacteriaceae	1.72841	0.35217	0.14496	1.88879	2.71103	0.80857	16.82314	74.91786	63.57563	13.72828	7.77488	9.79173	0.81781	0.59009	0.23109	0.02298	3.52164	3.94959
f__Oscillospiraceae	9.5679	4.07594	3.29014	6.82319	20.40254	9.05293	0.82575	4.02206	2.14471	19.44574	0.96776	0.7741	20.94365	23.90352	16.90063	28.06257	6.33289	8.79764
f__Rikenellaceae	12.13949	28.1603	20.13609	8.65162	14.64331	12.36096	0	0.01216	2.26277	0.0117	0.02266	0.06532	1.70295	3.53627	2.1895	8.68896	7.25922	1.75211
f__Bifidobacteriaceae	0.00678	0.72907	0	0.05094	0.1715	0.40044	0	0	0.14587	3.53629	79.13993	0	1.93857	0	0	2.64845	13.50717	0
unclassified	4.26391	2.43443	3.12116	1.37723	12.31732	0.91375	0.17524	0.6102	2.20199	0.24708	0.45116	2.07966	15.86245	4.66679	10.172	14.86957	4.45974	8.07346
f__Prevotellaceae	0	0.02976	4.45487	10.73979	6.14774	0.00438	0	0.00667	0.0452	0.02164	0.00744	0.00379	10.72257	12.35685	19.44248	1.94109	6.73153	12.6808
f__Veillonellaceae	0.92637	15.84197	0.0333	5.21811	1.33233	0.08709	10.6544	0.38891	0.00731	18.17741	0.38155	0.0789	1.0566	10.49484	0.00343	1.7563	0.52922	0.61803
f__Clostridiaceae	2.40586	3.17455	1.52275	3.67309	3.52329	0.86725	9.023	0.03004	3.03279	4.86858	0.001	1.04953	7.27101	4.78506	4.74886	9.60972	0.93231	3.55276
f__FGB4806	0	0	0	0	0	0	0	0	0	0	0.00018	0	0	0.12671	24.69979	0.00954	6.8384	6.81987
f__Tannerellaceae	0.95868	2.31042	4.17217	1.44894	1.91221	7.98548	5.34866	4.33921	0.38012	4.12451	0	0.70627	0.43467	0.48855	0.60729	0.66314	0.03902	0.30833
f__Fusobacteriaceae	3.28025	0	0.22304	0.12511	0.1347	0	10.57502	0	0.26386	0	0	7.6915	0.00724	0	0.05526	0	0	0.24465
f__Eubacteriaceae	0.07495	0.33225	2.1539	0.19808	1.29213	0.00498	0	0	0	0	0	0.00052	7.34979	1.08738	0.55241	4.54292	0.38076	0.29378
f__Selenomonadaceae	0.00378	0	0.00093	0.01112	0.19417	1.54301	0	0	0	0	0	0.2054	3.6782	0.23698	0.13581	10.85701	0.9789	0.36496
f__Acidaminococcaceae	1.47866	1.48994	0.11686	1.79955	1.92524	0.23807	0	0.00251	2.56466	0	0.06635	2.82603	0.84746	0.06462	0.71134	0.26607	0	2.27106
f__Erysipelotrichaceae	0.46506	0.08836	0.1955	0.09863	0.51455	1.66157	1.07012	0.02204	0.03514	0.0583	0.39949	0.20327	1.83736	0.43993	0.67308	0.15979	1.78146	2.02661
f__Desulfovibrionaceae	0.28014	0.23049	0.29528	0.63976	0.83043	0.25323	0	0.25614	0.17796	0	0.08887	0.08458	1.09813	3.76273	0.6224	0.21372	0.05727	0.68557
f__Odoribacteraceae	0.54015	0.44799	1.5792	1.50223	0.31571	0.2602	0	0	0.37507	0	0	0.00015	0.82798	1.16991	0.44494	0.09098	0.01055	1.10655
f__Ruminococcaceae	0	0	0	0	0.31405	0	0	0.00318	0.07212	0	0.00086	0	3.83656	1.27531	0	0.85443	1.44458	0.23874
f__Coriobacteriaceae	0.4178	0.42346	0.11152	0.01492	0.2579	0.02634	0.8214	0	0.215	0	0.54425	0	1.10465	0.40914	0.42774	0.39875	2.29949	0.52971
f__FGB4405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70519
f__Streptococcaceae	3.97292	0.17804	0.02297	0.89365	0.01705	0.00181	0.12855	0	0	0.002	0.00973	0	0.64306	0.40103	0.16826	0.11593	0.10543	0.47178
f__Pasteurellaceae	3.2477	0.01162	1.05872	0.69775	0	0	0	0	0	0	0	0.00179	0.02347	0.02234	0.05439	0.00376	0.30696	0.51432
f__FGB1670	0	0	0	0	0	0	0	0	0	0	0	0.02335	5.12894	0	0	0	0	0
f__Sutterellaceae	0.03262	0.36452	0.53428	0.86668	0.32425	1.24232	0	0	0.16315	0.29105	0.05625	0.04982	0.23322	0.13453	0.04011	0.04596	0.00419	0.54581
f__Pseudomonadaceae	0	0	0.216	0	0	0	0	0.0377	0	0.63325	0.16945	0	0	2.45209	0.63838	0	0.27438	0.03014
f__Peptostreptococcaceae	0	0.03672	0	0	0.06131	0.02045	0.61626	0	0	0	0	0	0.39351	0.14901	0.27558	0.07178	1.95777	0.43982
f__Barnesiellaceae	0.34113	0	0	0.0929	0	1.01826	0	0	1.35706	0	0	0	0.09199	0.01889	0	0.80592	0.01611	0.06287
f__FGB629	0	0	0.46233	0	1.03289	0	0	0	0	0	0	0	0	0	1.5272	0	0.61193	0
f__FGB76783	0	1.10525	0	0.01329	0.83873	0	0	0	0.05354	0	0	0	0	0.64849	0	0	0.10491	0
