Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
megahit	152762	31561	3734	1403	277	60	159264049	98429348	46001025	30035642	13070919	5647870	81626	521987	132645073	50.22	2430	641	12529.0	9769	58131	0.00
metapasdes	361671	33256	3759	1283	212	53	211721186	97820424	42068095	25052847	9556454	4439945	85694	316741	133490985	50.29	2229	631	8822.0	11489	61821	0.00
