bray_curtis_binary	A17	B22	EA48	EB17	EB01	YB31	EB13	EB02	Z16	P22	YB54	P01	M01	G01	YA23	YB56	YA04	YB43
A17	0	0.269	0.287	0.298	0.298	0.308	0.301	0.315	0.301	0.275	0.314	0.289	0.289	0.299	0.327	0.338	0.408	0.494
B22	0.269	0	0.141	0.170	0.182	0.184	0.183	0.194	0.188	0.179	0.223	0.192	0.197	0.229	0.234	0.267	0.361	0.487
EA48	0.287	0.141	0	0.126	0.140	0.143	0.143	0.153	0.168	0.181	0.187	0.192	0.201	0.242	0.214	0.242	0.355	0.484
EB17	0.298	0.170	0.126	0	0.161	0.159	0.157	0.156	0.187	0.208	0.204	0.214	0.230	0.264	0.216	0.246	0.348	0.468
EB01	0.298	0.182	0.140	0.161	0	0.179	0.167	0.182	0.196	0.216	0.202	0.231	0.230	0.269	0.230	0.253	0.344	0.472
YB31	0.308	0.184	0.143	0.159	0.179	0	0.171	0.176	0.195	0.222	0.200	0.235	0.240	0.273	0.212	0.232	0.330	0.452
EB13	0.301	0.183	0.143	0.157	0.167	0.171	0	0.170	0.201	0.221	0.201	0.231	0.239	0.272	0.219	0.248	0.350	0.457
EB02	0.315	0.194	0.153	0.156	0.182	0.176	0.170	0	0.198	0.231	0.212	0.233	0.244	0.282	0.225	0.257	0.344	0.455
Z16	0.301	0.188	0.168	0.187	0.196	0.195	0.201	0.198	0	0.216	0.231	0.221	0.231	0.264	0.246	0.267	0.356	0.477
P22	0.275	0.179	0.181	0.208	0.216	0.222	0.221	0.231	0.216	0	0.256	0.188	0.198	0.208	0.269	0.293	0.389	0.517
YB54	0.314	0.223	0.187	0.204	0.202	0.200	0.201	0.212	0.231	0.256	0	0.269	0.261	0.306	0.240	0.246	0.322	0.445
P01	0.289	0.192	0.192	0.214	0.231	0.235	0.231	0.233	0.221	0.188	0.269	0	0.207	0.228	0.280	0.300	0.404	0.523
M01	0.289	0.197	0.201	0.230	0.230	0.240	0.239	0.244	0.231	0.198	0.261	0.207	0	0.227	0.275	0.298	0.391	0.509
G01	0.299	0.229	0.242	0.264	0.269	0.273	0.272	0.282	0.264	0.208	0.306	0.228	0.227	0	0.299	0.319	0.412	0.526
YA23	0.327	0.234	0.214	0.216	0.230	0.212	0.219	0.225	0.246	0.269	0.240	0.280	0.275	0.299	0	0.258	0.328	0.431
YB56	0.338	0.267	0.242	0.246	0.253	0.232	0.248	0.257	0.267	0.293	0.246	0.300	0.298	0.319	0.258	0	0.322	0.428
YA04	0.408	0.361	0.355	0.348	0.344	0.330	0.350	0.344	0.356	0.389	0.322	0.404	0.391	0.412	0.328	0.322	0	0.426
YB43	0.494	0.487	0.484	0.468	0.472	0.452	0.457	0.455	0.477	0.517	0.445	0.523	0.509	0.526	0.431	0.428	0.426	0
