jaccard	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
A17	0	0.557	0.898	0.941	0.945	0.917	0.935	0.656	0.584	0.591	0.604	0.958	0.973	0.967	0.956	0.963	0.956	0.968
B22	0.557	0	0.828	0.863	0.891	0.885	0.862	0.622	0.530	0.491	0.478	0.963	0.943	0.939	0.953	0.927	0.924	0.913
EA48	0.898	0.828	0	0.699	0.668	0.732	0.684	0.948	0.905	0.851	0.869	0.904	0.825	0.846	0.888	0.705	0.805	0.790
EB01	0.941	0.863	0.699	0	0.694	0.657	0.630	0.964	0.942	0.880	0.883	0.930	0.806	0.865	0.922	0.800	0.828	0.842
EB02	0.945	0.891	0.668	0.694	0	0.516	0.590	0.982	0.950	0.918	0.922	0.907	0.797	0.856	0.889	0.764	0.824	0.787
EB13	0.917	0.885	0.732	0.657	0.516	0	0.565	0.980	0.951	0.916	0.895	0.867	0.800	0.848	0.888	0.778	0.795	0.795
EB17	0.935	0.862	0.684	0.630	0.590	0.565	0	0.981	0.947	0.881	0.849	0.892	0.779	0.839	0.883	0.778	0.814	0.835
G01	0.656	0.622	0.948	0.964	0.982	0.980	0.981	0	0.346	0.541	0.624	0.991	0.985	0.981	0.991	0.977	0.968	0.984
M01	0.584	0.530	0.905	0.942	0.950	0.951	0.947	0.346	0	0.465	0.574	0.988	0.977	0.971	0.980	0.964	0.959	0.963
P01	0.591	0.491	0.851	0.880	0.918	0.916	0.881	0.541	0.465	0	0.508	0.990	0.963	0.964	0.984	0.950	0.945	0.949
P22	0.604	0.478	0.869	0.883	0.922	0.895	0.849	0.624	0.574	0.508	0	0.981	0.966	0.952	0.978	0.953	0.942	0.959
YA04	0.958	0.963	0.904	0.930	0.907	0.867	0.892	0.991	0.988	0.990	0.981	0	0.556	0.477	0.519	0.703	0.489	0.957
YA23	0.973	0.943	0.825	0.806	0.797	0.800	0.779	0.985	0.977	0.963	0.966	0.556	0	0.494	0.579	0.553	0.495	0.877
YB31	0.967	0.939	0.846	0.865	0.856	0.848	0.839	0.981	0.971	0.964	0.952	0.477	0.494	0	0.615	0.593	0.423	0.923
YB43	0.956	0.953	0.888	0.922	0.889	0.888	0.883	0.991	0.980	0.984	0.978	0.519	0.579	0.615	0	0.666	0.606	0.935
YB54	0.963	0.927	0.705	0.800	0.764	0.778	0.778	0.977	0.964	0.950	0.953	0.703	0.553	0.593	0.666	0	0.540	0.787
YB56	0.956	0.924	0.805	0.828	0.824	0.795	0.814	0.968	0.959	0.945	0.942	0.489	0.495	0.423	0.606	0.540	0	0.877
Z16	0.968	0.913	0.790	0.842	0.787	0.795	0.835	0.984	0.963	0.949	0.959	0.957	0.877	0.923	0.935	0.787	0.877	0
