manhatten	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
A17	0	3153.0	3643.0	3507.0	3628.0	3530.0	3571.0	3068.0	3116.0	3166.0	3069.0	3687.0	3487.0	3624.0	3856.0	3447.0	3446.0	3386.0
B22	3153.0	0	2084.0	2512.0	2639.0	2521.0	2384.0	2821.0	2525.0	2497.0	2362.0	4000.0	2978.0	2543.0	4799.0	2910.0	3277.0	2503.0
EA48	3643.0	2084.0	0	2064.0	2221.0	2109.0	1892.0	3209.0	2779.0	2681.0	2564.0	4286.0	2934.0	2113.0	5237.0	2622.0	3207.0	2401.0
EB01	3507.0	2512.0	2064.0	0	2479.0	2311.0	2258.0	3317.0	2955.0	3011.0	2868.0	3826.0	2932.0	2473.0	4665.0	2632.0	3105.0	2607.0
EB02	3628.0	2639.0	2221.0	2479.0	0	2302.0	2151.0	3408.0	3080.0	2986.0	3005.0	3745.0	2817.0	2400.0	4390.0	2713.0	3098.0	2588.0
EB13	3530.0	2521.0	2109.0	2311.0	2302.0	0	2201.0	3342.0	3056.0	3006.0	2925.0	3879.0	2789.0	2354.0	4502.0	2619.0	3032.0	2666.0
EB17	3571.0	2384.0	1892.0	2258.0	2151.0	2201.0	0	3307.0	3007.0	2835.0	2804.0	3938.0	2794.0	2235.0	4729.0	2710.0	3075.0	2533.0
G01	3068.0	2821.0	3209.0	3317.0	3408.0	3342.0	3307.0	0	2572.0	2628.0	2437.0	3949.0	3353.0	3368.0	4402.0	3527.0	3440.0	3114.0
M01	3116.0	2525.0	2779.0	2955.0	3080.0	3056.0	3007.0	2572.0	0	2500.0	2427.0	3959.0	3237.0	3088.0	4528.0	3149.0	3368.0	2856.0
P01	3166.0	2497.0	2681.0	3011.0	2986.0	3006.0	2835.0	2628.0	2500.0	0	2347.0	4169.0	3343.0	3060.0	4746.0	3301.0	3450.0	2772.0
P22	3069.0	2362.0	2564.0	2868.0	3005.0	2925.0	2804.0	2437.0	2427.0	2347.0	0	4098.0	3268.0	2939.0	4811.0	3190.0	3423.0	2757.0
YA04	3687.0	4000.0	4286.0	3826.0	3745.0	3879.0	3938.0	3949.0	3959.0	4169.0	4098.0	0	3284.0	3667.0	3049.0	3328.0	3081.0	3777.0
YA23	3487.0	2978.0	2934.0	2932.0	2817.0	2789.0	2794.0	3353.0	3237.0	3343.0	3268.0	3284.0	0	2695.0	3787.0	2866.0	2889.0	3005.0
YB31	3624.0	2543.0	2113.0	2473.0	2400.0	2354.0	2235.0	3368.0	3088.0	3060.0	2939.0	3667.0	2695.0	0	4464.0	2605.0	2854.0	2592.0
YB43	3856.0	4799.0	5237.0	4665.0	4390.0	4502.0	4729.0	4402.0	4528.0	4746.0	4811.0	3049.0	3787.0	4464.0	0	4047.0	3564.0	4470.0
YB54	3447.0	2910.0	2622.0	2632.0	2713.0	2619.0	2710.0	3527.0	3149.0	3301.0	3190.0	3328.0	2866.0	2605.0	4047.0	0	2829.0	2903.0
YB56	3446.0	3277.0	3207.0	3105.0	3098.0	3032.0	3075.0	3440.0	3368.0	3450.0	3423.0	3081.0	2889.0	2854.0	3564.0	2829.0	0	3142.0
Z16	3386.0	2503.0	2401.0	2607.0	2588.0	2666.0	2533.0	3114.0	2856.0	2772.0	2757.0	3777.0	3005.0	2592.0	4470.0	2903.0	3142.0	0
