euclidean	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
C1	0	37.1	35.6	36.2	34.9	46.4	54.0	59.4	47.6	42.3	58.1	55.3	34.9	35.1	34.2	34.3	34.9	34.4
C2	37.1	0	37.3	37.4	36.5	45.3	53.4	57.8	47.5	42.2	56.7	54.7	36.9	38.2	37.2	35.9	37.1	37.6
C3	35.6	37.3	0	36.0	34.5	46.1	53.5	59.8	48.2	42.9	58.8	54.8	33.8	34.0	33.6	34.5	34.4	34.7
C4	36.2	37.4	36.0	0	35.6	45.6	52.6	58.5	46.6	41.5	57.3	54.4	35.7	36.4	35.6	35.7	36.3	35.8
C5	34.9	36.5	34.5	35.6	0	46.8	54.8	59.6	48.4	40.6	58.6	56.2	29.7	30.0	29.2	32.2	31.7	30.5
C6	46.4	45.3	46.1	45.6	46.8	0	54.3	55.7	48.6	47.3	55.4	53.5	48.5	49.5	48.5	46.5	48.0	49.1
E1	54.0	53.4	53.5	52.6	54.8	54.3	0	60.6	52.3	53.7	59.3	54.6	55.4	56.7	56.3	53.9	55.0	55.5
E2	59.4	57.8	59.8	58.5	59.6	55.7	60.6	0	55.4	55.4	52.0	59.0	61.3	62.2	61.8	60.3	61.0	61.2
E3	47.6	47.5	48.2	46.6	48.4	48.6	52.3	55.4	0	48.8	55.5	53.2	49.8	50.6	50.4	47.9	48.9	49.5
E4	42.3	42.2	42.9	41.5	40.6	47.3	53.7	55.4	48.8	0	53.8	55.0	41.3	42.0	41.3	41.4	41.7	41.6
E5	58.1	56.7	58.8	57.3	58.6	55.4	59.3	52.0	55.5	53.8	0	58.9	60.0	61.3	60.7	59.1	59.8	60.2
E6	55.3	54.7	54.8	54.4	56.2	53.5	54.6	59.0	53.2	55.0	58.9	0	56.8	57.9	57.6	56.0	56.3	57.0
H1	34.9	36.9	33.8	35.7	29.7	48.5	55.4	61.3	49.8	41.3	60.0	56.8	0	26.5	27.0	30.3	29.5	27.3
H2	35.1	38.2	34.0	36.4	30.0	49.5	56.7	62.2	50.6	42.0	61.3	57.9	26.5	0	24.6	31.0	28.3	25.7
H3	34.2	37.2	33.6	35.6	29.2	48.5	56.3	61.8	50.4	41.3	60.7	57.6	27.0	24.6	0	30.6	28.8	27.3
H4	34.3	35.9	34.5	35.7	32.2	46.5	53.9	60.3	47.9	41.4	59.1	56.0	30.3	31.0	30.6	0	31.1	31.0
H5	34.9	37.1	34.4	36.3	31.7	48.0	55.0	61.0	48.9	41.7	59.8	56.3	29.5	28.3	28.8	31.1	0	28.8
H6	34.4	37.6	34.7	35.8	30.5	49.1	55.5	61.2	49.5	41.6	60.2	57.0	27.3	25.7	27.3	31.0	28.8	0
