bray_curtis_binary	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
C1	0	0.0863	0.0779	0.0813	0.0733	0.146	0.207	0.262	0.153	0.114	0.248	0.219	0.0721	0.0717	0.0689	0.0712	0.0726	0.0696
C2	0.0863	0	0.0873	0.0888	0.0816	0.142	0.207	0.254	0.156	0.116	0.242	0.220	0.0823	0.0868	0.0831	0.0796	0.0838	0.0848
C3	0.0779	0.0873	0	0.0805	0.0715	0.144	0.202	0.264	0.157	0.117	0.254	0.215	0.0674	0.0675	0.0664	0.0721	0.0707	0.0708
C4	0.0813	0.0888	0.0805	0	0.0767	0.141	0.198	0.256	0.148	0.110	0.244	0.214	0.0758	0.0779	0.075	0.0778	0.0794	0.0764
C5	0.0733	0.0816	0.0715	0.0767	0	0.144	0.206	0.255	0.154	0.102	0.245	0.220	0.0508	0.0513	0.049	0.0612	0.0584	0.0534
C6	0.146	0.142	0.144	0.141	0.144	0	0.232	0.257	0.177	0.157	0.252	0.229	0.152	0.156	0.151	0.144	0.150	0.155
E1	0.207	0.207	0.202	0.198	0.206	0.232	0	0.322	0.215	0.212	0.305	0.252	0.207	0.214	0.213	0.202	0.207	0.208
E2	0.262	0.254	0.264	0.256	0.255	0.257	0.322	0	0.254	0.236	0.248	0.310	0.265	0.268	0.268	0.264	0.265	0.264
E3	0.153	0.156	0.157	0.148	0.154	0.177	0.215	0.254	0	0.167	0.253	0.226	0.160	0.163	0.163	0.152	0.156	0.158
E4	0.114	0.116	0.117	0.110	0.102	0.157	0.212	0.236	0.167	0	0.222	0.225	0.104	0.106	0.104	0.107	0.107	0.105
E5	0.248	0.242	0.254	0.244	0.245	0.252	0.305	0.248	0.253	0.222	0	0.307	0.253	0.259	0.257	0.252	0.253	0.253
E6	0.219	0.220	0.215	0.214	0.220	0.229	0.252	0.310	0.226	0.225	0.307	0	0.221	0.226	0.225	0.220	0.219	0.222
H1	0.0721	0.0823	0.0674	0.0758	0.0508	0.152	0.207	0.265	0.160	0.104	0.253	0.221	0	0.0395	0.0412	0.0535	0.0501	0.0423
H2	0.0717	0.0868	0.0675	0.0779	0.0513	0.156	0.214	0.268	0.163	0.106	0.259	0.226	0.0395	0	0.0339	0.0551	0.0452	0.0371
H3	0.0689	0.0831	0.0664	0.075	0.049	0.151	0.213	0.268	0.163	0.104	0.257	0.225	0.0412	0.0339	0	0.0542	0.0475	0.042
H4	0.0712	0.0796	0.0721	0.0778	0.0612	0.144	0.202	0.264	0.152	0.107	0.252	0.220	0.0535	0.0551	0.0542	0	0.0567	0.0556
H5	0.0726	0.0838	0.0707	0.0794	0.0584	0.150	0.207	0.265	0.156	0.107	0.253	0.219	0.0501	0.0452	0.0475	0.0567	0	0.0475
H6	0.0696	0.0848	0.0708	0.0764	0.0534	0.155	0.208	0.264	0.158	0.105	0.253	0.222	0.0423	0.0371	0.042	0.0556	0.0475	0
