bray_curtis_binary	C1	C3	C5	H1	H2	H3	H6	H5	H4	C4	C2	E4	C6	E3	E1	E6	E5	E2
C1	0	0.0779	0.0733	0.0721	0.0717	0.0689	0.0696	0.0726	0.0712	0.0813	0.0863	0.114	0.146	0.153	0.207	0.219	0.248	0.262
C3	0.0779	0	0.0715	0.0674	0.0675	0.0664	0.0708	0.0707	0.0721	0.0805	0.0873	0.117	0.144	0.157	0.202	0.215	0.254	0.264
C5	0.0733	0.0715	0	0.0508	0.0513	0.049	0.0534	0.0584	0.0612	0.0767	0.0816	0.102	0.144	0.154	0.206	0.220	0.245	0.255
H1	0.0721	0.0674	0.0508	0	0.0395	0.0412	0.0423	0.0501	0.0535	0.0758	0.0823	0.104	0.152	0.160	0.207	0.221	0.253	0.265
H2	0.0717	0.0675	0.0513	0.0395	0	0.0339	0.0371	0.0452	0.0551	0.0779	0.0868	0.106	0.156	0.163	0.214	0.226	0.259	0.268
H3	0.0689	0.0664	0.049	0.0412	0.0339	0	0.042	0.0475	0.0542	0.075	0.0831	0.104	0.151	0.163	0.213	0.225	0.257	0.268
H6	0.0696	0.0708	0.0534	0.0423	0.0371	0.042	0	0.0475	0.0556	0.0764	0.0848	0.105	0.155	0.158	0.208	0.222	0.253	0.264
H5	0.0726	0.0707	0.0584	0.0501	0.0452	0.0475	0.0475	0	0.0567	0.0794	0.0838	0.107	0.150	0.156	0.207	0.219	0.253	0.265
H4	0.0712	0.0721	0.0612	0.0535	0.0551	0.0542	0.0556	0.0567	0	0.0778	0.0796	0.107	0.144	0.152	0.202	0.220	0.252	0.264
C4	0.0813	0.0805	0.0767	0.0758	0.0779	0.075	0.0764	0.0794	0.0778	0	0.0888	0.110	0.141	0.148	0.198	0.214	0.244	0.256
C2	0.0863	0.0873	0.0816	0.0823	0.0868	0.0831	0.0848	0.0838	0.0796	0.0888	0	0.116	0.142	0.156	0.207	0.220	0.242	0.254
E4	0.114	0.117	0.102	0.104	0.106	0.104	0.105	0.107	0.107	0.110	0.116	0	0.157	0.167	0.212	0.225	0.222	0.236
C6	0.146	0.144	0.144	0.152	0.156	0.151	0.155	0.150	0.144	0.141	0.142	0.157	0	0.177	0.232	0.229	0.252	0.257
E3	0.153	0.157	0.154	0.160	0.163	0.163	0.158	0.156	0.152	0.148	0.156	0.167	0.177	0	0.215	0.226	0.253	0.254
E1	0.207	0.202	0.206	0.207	0.214	0.213	0.208	0.207	0.202	0.198	0.207	0.212	0.232	0.215	0	0.252	0.305	0.322
E6	0.219	0.215	0.220	0.221	0.226	0.225	0.222	0.219	0.220	0.214	0.220	0.225	0.229	0.226	0.252	0	0.307	0.310
E5	0.248	0.254	0.245	0.253	0.259	0.257	0.253	0.253	0.252	0.244	0.242	0.222	0.252	0.253	0.305	0.307	0	0.248
E2	0.262	0.264	0.255	0.265	0.268	0.268	0.264	0.265	0.264	0.256	0.254	0.236	0.257	0.254	0.322	0.310	0.248	0
