UniqueCount	AmbigCount
3	0
2	0
0	0
0	0
2	0
1	0
6	0
0	0
0	0
5	0
4	0
4	0
4	0
1	0
4	0
1	0
5	0
0	0
0	0
0	0
6	1
6	0
8	0
5	0
0	0
4	0
3	0
3	0
2	0
5	0
12	0
2	0
0	0
0	0
0	0
4	0
3	0
4	0
3	0
6	0
0	0
0	0
3	0
0	1
0	1
0	0
4	0
0	0
0	0
6	0
1	0
2	0
2	0
2	0
3	0
0	0
0	0
5	0
0	0
0	0
0	0
11	0
0	0
4	0
3	0
0	0
6	0
0	0
8	0
6	0
6	0
4	0
3	0
0	0
1	0
2	0
6	0
0	0
5	0
0	0
0	0
0	0
6	0
5	0
3	0
0	0
0	0
0	0
0	0
4	0
3	0
0	0
4	0
3	0
0	0
3	0
7	0
5	0
0	0
0	0
0	0
5	0
3	0
1	0
3	0
4	0
1	0
3	0
0	0
0	0
0	0
7	0
4	0
4	0
0	0
0	0
0	0
5	0
6	0
0	0
16	0
0	0
0	0
0	0
0	0
8	0
4	0
1	0
0	0
0	0
0	0
0	0
4	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
2	0
4	0
2	0
1	0
15	0
0	0
7	0
3	0
5	0
6	0
4	0
6	0
2	0
0	0
0	0
0	0
3	0
5	0
0	0
0	0
6	0
4	0
11	0
3	0
4	0
0	0
0	1
4	1
0	0
0	0
8	0
7	0
5	0
0	0
3	0
7	0
4	0
9	0
5	0
0	0
5	0
3	0
2	0
4	0
1	0
28	0
1	0
4	0
0	0
0	0
5	0
5	0
1	0
3	0
3	0
2	0
3	0
3	0
0	0
5	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
8	0
4	0
0	0
0	0
8	0
4	0
2	0
4	0
1	1
10	1
0	0
0	0
0	0
5	0
2	0
3	0
2	0
1	0
9	0
3	0
5	0
5	0
2	0
1	0
2	0
7	0
5	1
3	0
6	0
1	0
3	0
4	0
3	0
7	0
1	0
11	0
6	0
5	0
0	0
0	1
3	1
1	0
0	0
0	0
6	0
0	0
0	0
7	0
2	0
1	0
3	0
5	0
2	0
0	0
0	0
3	0
3	0
3	0
0	1
1	1
0	0
2	0
4	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
6	0
5	0
1	0
1	0
7	0
8	0
0	0
23	0
2	0
0	0
3	1
7	1
10	0
6	0
16	0
0	0
0	0
0	0
0	0
6	0
8	0
3	0
4	0
12	0
5	0
10	0
8	0
3	0
4	0
0	0
0	0
3	0
7	0
3	0
0	0
1	0
3	0
0	0
1	0
3	0
0	0
3	0
1	0
4	0
0	0
8	0
4	0
2	0
6	0
5	0
2	0
5	0
2	0
1	0
9	0
0	0
0	0
0	0
0	0
4	0
6	0
3	0
0	0
6	0
1	0
1	0
0	0
9	0
15	0
0	0
3	0
5	0
0	0
0	0
3	0
0	0
5	0
2	0
4	0
0	0
5	0
7	0
3	0
1	0
1	0
0	0
0	0
3	0
0	0
0	0
4	1
6	0
8	0
0	0
0	0
3	0
6	0
6	0
2	0
8	0
0	1
0	1
0	0
0	0
5	0
0	0
4	0
2	0
0	0
4	0
0	0
2	0
0	0
2	0
5	0
5	0
0	0
4	0
6	0
3	1
1	1
6	0
4	0
0	0
0	0
3	0
5	0
0	0
0	0
19	1
2	3
6	2
1	0
5	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
4	0
6	1
3	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
3	0
1	0
3	0
6	0
3	0
0	0
0	0
6	0
6	0
5	0
3	0
1	0
5	0
0	0
5	0
4	0
0	0
0	0
1	0
5	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
5	0
0	0
2	1
2	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
5	0
4	0
0	0
2	0
5	0
1	0
6	0
10	0
5	0
5	0
3	0
0	0
5	0
6	0
1	0
2	0
1	1
0	1
0	0
0	0
0	0
4	0
14	0
5	0
6	0
0	0
0	0
6	0
5	0
8	0
1	0
3	0
3	0
6	0
5	0
0	0
5	0
0	0
3	0
0	0
0	0
5	0
4	0
0	0
2	0
0	0
10	0
4	0
6	0
0	0
8	0
0	0
0	0
0	0
24	0
4	0
8	0
1	0
1	0
7	0
5	0
0	0
2	0
6	0
8	0
0	0
0	0
9	0
0	0
3	0
1	0
7	0
15	0
7	0
7	0
0	0
0	0
4	0
5	0
6	0
0	0
4	0
1	0
2	0
0	0
5	0
3	0
0	0
0	0
0	0
5	0
9	0
5	0
0	0
2	0
2	0
0	0
0	0
0	0
1	0
3	0
0	0
5	0
4	0
6	0
1	0
6	0
0	0
5	0
0	0
0	0
0	0
2	0
0	0
2	0
0	0
8	0
10	1
3	1
13	1
0	0
0	0
3	0
7	0
5	0
7	0
7	0
0	0
2	0
4	0
8	0
1	0
4	0
15	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
5	0
3	0
6	0
5	0
3	0
5	0
3	0
0	0
0	0
2	0
7	0
0	0
0	0
5	0
6	0
0	0
0	0
0	0
3	0
20	0
0	0
2	0
0	0
0	0
3	0
0	0
3	0
0	0
0	0
10	0
0	0
0	0
2	0
5	0
6	0
3	0
0	0
3	0
0	0
5	0
5	0
6	0
0	0
7	0
3	1
1	1
0	0
20	0
4	0
3	0
0	0
5	0
4	0
4	0
4	0
2	0
0	0
15	0
5	0
8	0
3	0
7	0
5	0
5	0
4	0
5	0
0	0
3	0
5	0
0	0
0	0
0	0
0	0
4	0
1	0
3	0
0	0
7	0
6	0
3	0
15	0
5	0
0	0
0	0
4	0
0	0
5	0
1	0
5	0
0	0
3	0
5	0
0	0
5	0
1	0
0	0
4	0
0	0
6	0
4	0
0	0
7	0
0	0
0	0
2	0
2	0
4	0
4	0
1	0
3	0
8	0
6	0
0	0
0	0
0	0
5	0
0	0
4	0
2	1
0	1
5	0
6	0
2	0
2	0
0	0
2	0
2	0
0	0
0	0
5	0
4	0
4	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
3	0
3	0
4	0
0	0
8	0
11	0
5	0
5	0
0	0
0	0
0	0
0	0
1	0
1	0
6	0
5	0
3	0
9	0
4	0
3	0
4	0
0	0
0	0
3	0
3	0
4	0
0	0
3	0
0	0
0	0
3	0
4	0
3	0
0	0
3	0
11	0
5	0
1	0
1	0
0	0
0	0
5	0
5	0
5	0
11	0
3	0
7	0
3	0
10	0
2	1
0	1
4	0
3	0
0	0
0	0
6	0
6	0
5	0
0	0
0	0
1	0
0	0
2	0
1	0
0	0
0	0
4	0
3	0
3	0
7	0
0	0
0	0
0	0
4	0
0	0
0	0
3	0
0	0
4	0
7	0
6	0
1	0
2	0
0	0
0	0
0	0
0	0
5	0
5	0
4	0
12	0
5	0
4	0
6	0
3	0
3	0
0	0
5	0
0	1
2	1
0	0
0	0
0	0
3	0
0	0
6	0
0	0
5	0
1	0
0	0
0	0
6	0
0	0
0	0
10	0
8	0
0	0
5	0
0	0
2	0
2	0
4	0
0	0
0	0
8	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
6	0
6	0
1	0
5	0
2	0
3	0
0	0
5	0
6	0
0	0
2	0
6	0
6	0
3	0
0	0
3	0
7	0
0	0
0	0
0	0
0	0
0	0
1	0
7	0
0	0
7	0
0	0
3	0
0	0
3	0
4	0
6	0
0	0
4	0
12	0
0	0
0	0
8	0
1	1
4	0
0	0
2	0
1	0
3	0
4	0
7	0
0	0
4	0
5	0
2	0
0	0
2	0
4	0
0	0
0	0
0	0
0	0
3	0
6	0
10	1
0	1
7	0
0	0
0	0
0	0
0	0
6	0
0	0
3	0
1	0
1	0
3	0
4	0
8	0
5	0
5	0
0	0
0	0
0	0
5	0
0	0
8	0
0	0
0	0
4	0
1	0
2	0
6	0
1	0
1	0
0	0
0	0
3	0
0	0
0	0
10	0
11	0
0	0
0	0
0	0
0	0
5	0
0	0
7	0
8	0
0	0
2	0
4	0
4	0
1	0
7	0
5	0
0	0
0	0
0	0
3	0
1	0
6	0
7	0
4	0
0	0
2	0
11	0
2	0
2	0
9	0
0	0
0	0
0	0
5	0
5	0
5	0
3	0
0	0
0	0
19	0
1	0
1	0
0	0
0	0
1	0
2	0
0	0
0	0
1	0
1	0
0	0
0	0
4	0
11	1
1	0
5	0
3	0
0	0
0	0
1	0
4	0
0	0
1	0
0	0
7	1
0	0
14	0
8	0
5	1
0	0
0	0
0	0
0	0
1	0
6	0
5	0
6	0
0	0
4	0
0	0
