# Genome	FC1	FC2	FC3	MY1	MY2	MY3
Mx_All_1	0	4.5872355	0.2994382	0	0.35487708	0.5463608
Mx_All_10	11.471353	0.6526021	0	0	0.08666823	0.2662525
Mx_All_11	4.737857	1.2964903	0.17944181	11.446088	0.3035788	0.4093373
Mx_All_12	0	0.19093789	0	0	4.579277	0.93587065
Mx_All_13	1.101642	1.5875123	0.36400756	4.0267086	1.0024478	3.5742726
Mx_All_14	0.79576474	0	0	2.043544	0	0.17868888
Mx_All_15	0.6945075	8.72176	0.253652	1.6477317	0.90071166	2.1591332
Mx_All_16	0.24823183	0.4023781	1.277998	1.2203017	0.12720546	0
Mx_All_17	0	1.8317201	1.2822213	0	2.51747	1.2518173
Mx_All_18	0	0	0	0	2.770388	0.7818702
Mx_All_19	0.7212807	3.4991474	0	2.6952302	0.55108964	0.52547157
Mx_All_2	0	0.44625443	0.17035545	2.6722736	0.79870313	1.6422133
Mx_All_20	0	0	1.9596432	0	4.521854	0
Mx_All_21	0	0	0	0	5.3437405	2.1638815
Mx_All_22	0	1.5535265	0	0	0.4252934	2.4747543
Mx_All_23	0	0.99103373	0	0	1.1645085	0.7994064
Mx_All_24	1.4770497	0.09773876	0.49797225	0.087471485	0.10425899	0
Mx_All_25	2.057923	0.23512967	0.4687401	0.55278176	0.14133494	0.43769637
Mx_All_26	6.0457215	0.88457483	0	0	0.18639062	0
Mx_All_27	0	0	28.835014	14.627791	3.292301	0
Mx_All_28	0	1.4226404	0.044882804	0	2.7145243	6.5890436
Mx_All_29	0	0	0	3.064871	0.5244335	1.6602055
Mx_All_3	3.578121	3.2403135	1.504257	0	0.081501506	0.3134712
Mx_All_30	0	0	0	2.9129977	0	0
Mx_All_31	2.8622355	0	0	0	0	0
Mx_All_32	0	0	7.447835	0	1.8761756	0
Mx_All_33	0	0	0	0	1.6409144	0
Mx_All_34	0	0.9937201	2.0726767	0.63849175	0	0.31054997
Mx_All_35	0	0	2.1670885	0	0	0
Mx_All_36	0.657938	4.0522933	0.5363915	6.2645664	2.2971394	4.431816
Mx_All_37	4.6142473	0	0	0	0	0
Mx_All_38	2.1055815	0	0	0	0	0
Mx_All_39	0.31402028	0	0.23448831	0	3.3143356	0
Mx_All_4	0	0	0	0	1.9047538	0
Mx_All_40	0	0	0	0	0	8.102833
Mx_All_41	0	0	0.2547648	6.05965	4.8308883	4.5791078
Mx_All_42	0.8391014	0.96355176	0.5496069	0	0	0
Mx_All_43	0.3387646	0.19989389	1.4014816	0.2853621	0.072658405	0
Mx_All_44	0	0	1.8513198	0	0	0
Mx_All_5	0	0	1.688598	2.9313092	1.3673294	0.82895267
Mx_All_6	2.1521595	0	0	0.11322867	0	0
Mx_All_7	1.8801385	0.72774345	2.8806918	0	0.28372052	0.2553707
Mx_All_8	1.3776569	0	0.06678375	0.5688312	0	0
Mx_All_9	2.363381	0	0.30396047	0	0	0
