Genome	Kingdom	Phylum	Class	Order	Family	Genus	Species
Mx_All_59	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_onderdonkii
Mx_All_6	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A_longicatena_B
Mx_All_60	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira_sp000437735
Mx_All_61	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella_sp900539625
Mx_All_62	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q_fessum
Mx_All_63	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_sp000431375
Mx_All_64	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C_sp000433635
Mx_All_65	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp003539495
Mx_All_66	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum
Mx_All_67	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger_formicilis
Mx_All_68	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_longum
Mx_All_69	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_shahii
Mx_All_7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_stercoris
Mx_All_70	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis
Mx_All_71	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea_formicigenerans
Mx_All_72	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E_siraeum
Mx_All_73	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium_lactatiformans
