Phylum	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Bacillota	2239131	4879112	4662407	3720149	5081585	4286856	313552	804788	885183	936665	12020173	10204253	7882222	10913031	8354932	9505165	10316637
Bacteroidota	1046862	1866779	1736895	2856691	3384943	2645337	225957	1880716	1736749	2162880	18977	99585	107801	114071	213418	76361	148486
Pseudomonadota	701949	745694	1401122	55342	316890	574563	1429099	769701	2080299	1112699	13851	164120	36538	12083	192171	133026	40222
Actinomycetota	49892	202023	428136	130809	224457	212214	126021	36020	26857	501026	735570	604989	1193453	1463048	1510875	1050433	67351
Thermodesulfobacteriota	59343	91852	22003	6298	13695	4340	22609	34970	284800	202057	874	1483	105621	1000	5010	2038	45709
Synergistota	9542	2732	616	244	705	447	66183	73052	89007	534262	196	239	446	70	224	383	14306
Fusobacteriota	19564	3332	30640	195498	161879	107930	306	140	62	231765	2701	666	2111	889	765	559	629
Verrucomicrobiota	265800	1072	412	477	589	630	7346	235638	67801	4304	1056	493	492	489	409	1038	1022
Euryarchaeota	496892	1029	7440	906	941	2057	678	2850	5742	4498	665	586	1027	418	810	554	692
Chordata	1767	25394	23466	29762	27363	23302	1466	912	1141	1563	22729	21881	48354	24098	57736	24407	2557
Uroviricota	29011	17058	2218	11056	39273	65967	181	480	296	4014	782	9095	2044	236	20185	5167	8644
Campylobacterota	1078	2924	2314	2476	1692	3076	615	608	828	1315	13045	1580	2470	5209	10871	6121	1467
Candidatus_Saccharibacteria	6365	1909	887	518	1087	2691	330	251	199	439	14123	1357	1410	2025	2144	7805	5899
Spirochaetota	2034	1707	1342	1293	1156	1519	605	827	1086	1677	574	2803	1693	729	1117	2210	1950
Ascomycota	381	661	616	1066	577	781	216	226	354	413	594	1658	809	13876	672	982	266
Cyanobacteriota	1202	1323	827	1272	843	1097	558	896	1194	1603	440	766	1106	506	833	728	1351
Planctomycetota	1369	1140	627	642	524	717	608	909	1317	1585	426	399	734	228	2738	700	765
Mycoplasmatota	351	1074	979	509	1119	876	850	950	299	266	406	769	2489	303	599	444	841
Myxococcota	1060	584	281	283	319	331	561	860	1111	1463	423	309	535	33	272	555	390
Deinococcota	1306	716	222	335	440	405	526	759	962	1087	190	270	375	65	181	424	448
Acidobacteriota	622	514	284	464	250	345	336	538	779	924	234	260	338	13	188	483	430
Chloroflexota	608	485	230	330	208	307	339	544	726	1059	104	150	301	43	116	423	362
Candidatus_Thermoplasmatota	162	468	108	186	94	467	183	111	147	516	528	246	441	993	120	330	636
Chlorobiota	195	270	138	203	231	283	94	153	208	239	75	113	175	151	137	163	130
Candidatus_Cloacimonadota	612	42	54	18	24	90	48	1050	126	318	42	18	150	102	24	84	42
Apicomplexa	78	350	221	213	225	231	37	47	79	45	167	137	311	109	196	240	121
unclassified	116	146	113	134	88	114	68	68	127	257	267	162	173	322	149	72	127
Thermotogota	279	158	183	130	197	193	104	87	34	63	102	176	336	41	109	125	61
Basidiomycota	217	96	85	279	89	134	69	31	73	131	133	104	176	201	159	51	121
Bdellovibrionota	69	150	61	164	181	131	34	105	19	28	89	112	153	100	141	124	70
Nitrospirota	262	131	77	27	61	66	70	168	117	266	18	32	36	26	31	24	58
Armatimonadota	126	67	56	22	53	56	34	180	60	594	5	21	36	2	44	27	39
Rhodothermota	170	101	37	48	28	59	71	153	168	160	10	24	19	5	19	17	42
Chlamydiota	52	85	126	107	73	78	11	19	35	16	120	30	86	42	53	26	98
Candidatus_Omnitrophota	90	111	18	12	6	69	54	90	177	222	9	0	12	0	30	39	48
Thermoproteota	24	91	53	41	24	89	26	33	20	76	68	62	55	40	50	46	29
Aquificota	59	82	90	41	66	116	13	15	26	39	15	23	14	17	41	18	76
Parabasalia	8	91	36	51	44	43	5	3	3	15	63	68	125	77	38	65	14
Kiritimatiellota	106	42	5	7	21	36	46	38	135	88	0	14	26	0	11	30	80
Gemmatimonadota	57	76	22	21	30	26	47	52	169	36	13	13	48	3	14	13	32
Deferribacterota	22	83	76	31	56	77	21	21	16	33	20	45	41	14	37	31	25
Candidatus_Lokiarchaeota	6	48	60	18	6	12	6	6	0	0	156	12	36	0	120	126	12
Nitrososphaerota	5	53	17	66	31	73	24	23	6	13	31	45	93	2	65	41	10
Nucleocytoviricota	17	54	62	22	27	53	1	0	5	2	18	44	58	128	45	39	7
Fibrobacterota	24	76	34	25	32	65	5	16	29	14	15	26	33	5	46	65	52
Thermomicrobiota	115	27	10	14	7	13	56	30	99	97	3	3	28	0	11	10	24
Candidatus_Bipolaricaulota	63	63	12	24	3	45	27	9	15	51	0	0	9	0	108	0	15
Euglenozoa	19	35	17	27	35	24	7	5	57	39	19	30	28	20	39	19	16
Elusimicrobiota	47	43	16	19	32	32	17	41	37	66	5	10	12	9	28	4	13
