SampleID	Berger Parker	Simpson	inverse Simpson	Shannon
M01	 0.7000715757369284	 0.5043586903610979	 2.0175880834641227	 1.7785804102000051	
G01	 0.8578473680114858	 0.2619962051115867	 1.3550065825219784	 0.9324982776845939	
A17	 0.46643861712820445	 0.7485844172716989	 3.9774782022189776	 2.3611839057583808	
B22	 0.4674039238844392	 0.7726309088903018	 4.3981351867986875	 2.951814737799108	
P22	 0.4636735284973184	 0.7619425202818799	 4.2006661634160105	 2.6631615498712313	
P01	 0.5583477732694178	 0.6754356182899243	 3.081052809094967	 2.269765531427155	
EB13	 0.1338821375005552	 0.9547938411224594	 22.12087965068896	 4.013604595150378	
EB01	 0.1659122581354605	 0.9464684435475506	 18.680570233153446	 3.8894465658070603	
EB02	 0.2002992339605918	 0.9286121624634853	 14.00798839842294	 3.766123859727539	
EB17	 0.18967081140040673	 0.933483193697072	 15.033794548791825	 3.741227925014966	
EA48	 0.1330828642180827	 0.9607058487986117	 25.449080064736684	 4.199996645252265	
Z16	 0.3686803282494322	 0.8227978418628278	 5.643272127791467	 2.823539983731397	
YA04	 0.3129950788914406	 0.8631045068519452	 7.304842380154052	 2.7898122479647753	
YB43	 0.47316581603784297	 0.7538185766945655	 4.06204492025912	 2.3687974114630124	
YB31	 0.2844608168298873	 0.8901343899088634	 9.102029280777415	 3.296372474261912	
YA23	 0.320499865905563	 0.8736251711463932	 7.91296818418171	 3.183719264864108	
YB54	 0.2196686412524151	 0.9158662902176624	 11.885842221709954	 3.370972830224774	
YB56	 0.294102074529264	 0.8890829316560478	 9.015744960901916	 3.2304004071002623	
