Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Blautia	109070	634113	424803	395331	348276	780988	6074	8966	3789	10016	5959013	5228062	4155604	7052371	3178186	4822615	120033
Faecalibacterium	230911	1519890	1122963	1361927	1323801	1084781	55452	172187	445292	65422	53786	1124713	186863	103554	1256964	930909	1926515
Agathobacter	116096	704880	273163	261357	83509	201263	501	10042	1372	1329	26808	134273	32252	497569	1401541	31655	4190568
Mediterraneibacter	160408	93047	590286	215367	874467	463987	2388	4637	1910	20432	993365	715270	235317	847465	597087	212635	257698
Segatella	4099	355555	1129636	1661778	1552610	837560	1410	405	246771	592	3	58132	62597	16	89853	53478	29603
Anaerobutyricum	4921	115739	93798	134952	127203	64897	1195	914	1941	694	938864	588390	738583	999964	491894	1002765	19340
Phocaeicola	290455	242977	238399	427015	972373	1019700	3953	166632	358381	1386825	4086	9281	4335	60253	41847	5809	24364
Escherichia	505809	107722	47494	1021	13396	2493	1307890	688902	1474041	585238	359	6746	8952	3901	36897	35260	3120
Bacteroides	430449	246038	110135	390517	588113	541037	28111	1245006	621750	253385	8827	11386	13118	47101	47952	4423	24512
Dorea	20920	214395	107059	158659	224492	178776	2067	2014	634	2707	625342	397376	659357	302670	391831	522685	52694
Collinsella	17166	142369	355016	73593	175683	182553	75565	7584	1615	282028	76682	193759	893646	102	821475	327708	10302
Bifidobacterium	4092	4739	2209	1556	12610	2422	10473	4672	1659	76579	421000	241610	3895	1418774	591882	483376	33351
Anaerostipes	7213	38355	36825	78332	61673	35839	751	580	285	354	1735004	35035	262050	200349	68989	467485	68746
Streptococcus	9687	16195	31593	22029	60238	10058	1159	578	695	2047	450279	1163932	523962	57900	161996	173583	17916
Megamonas	35	222	95377	125840	198355	5778	11	59	26122	19	198	174	17892	2986	27772	175319	1938979
Klebsiella	114660	182493	934999	623	13611	495135	13218	11177	147688	156144	144	10956	1133	154	3522	19145	9464
Alistipes	68069	230032	81804	54816	53225	71583	179112	307334	415052	405091	189	8142	3696	372	13083	4210	13446
Roseburia	35039	233081	361519	64714	290691	209837	4101	12774	20520	14876	62938	63611	59383	66673	76698	75838	208814
Faecalibacillus	5473	48913	36489	8571	404067	5216	252	54	18	97	598325	146658	62122	2349	28790	335178	51278
Parabacteroides	186998	547518	131662	65439	149444	111038	9068	80386	52088	101042	2645	5847	6165	1514	2490	2181	44386
Coprococcus	28553	85846	121986	83005	152606	180401	1176	2281	2439	4759	83332	127545	144993	81121	67542	230262	98922
Phascolarctobacterium	108956	10367	435406	96863	175976	31063	1602	39400	3301	8310	1977	2717	4096	3876	1172	842	168111
Vescimonas	264726	51800	27196	19817	8299	31227	65165	62662	80792	165957	3776	12907	11767	2501	6544	10964	61884
Desulfovibrio	55660	88069	20483	3543	12336	2288	20820	32267	279962	196828	165	58	103821	136	3725	694	42417
