ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	FC1	FC2	FC3	FE1	FE2	FE3	FY1	FY2	FY3	MC1	MC2	MC3	ME1	ME2	ME3	MY1	MY2	MY3
Mx_All_71	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea formicigenerans	55.80819841336265	64.32	2.05	0.0	1346039	2995	1	0	0.21479113	0	0.33411932	0	0	0	0.27143088	0	0	0.377461	0.25106812	0.16348013	0.4526421	0.07538409	0	0.3320356	0.3489506
Mx_All_72	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__Ruminiclostridium_E siraeum	78.2491488251541	80.65	0.94	50.0	1932079	4553	1	1.2024729	0	0	0	0	0.2032467	0	0	0.29287735	0.74082965	0	0.28557926	1.5854269	0	0	0	0	0
Mx_All_73	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium lactatiformans	89.77844018584139	87.93	0.0	0.0	2627429	4976	1	1.3743386	0.08820252	0.46019834	0	0	0.14444697	0	0.1032863	1.90067	0	0.10445103	0.123935804	0	0.08764579	0.080747366	0.07945776	0.102495484	0
Mx_All_74	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter welbionis	49.07526015468167	64.58	3.45	0.0	1537419	3094	1	0.33019623	0.7709061	0.25756088	0	0	0.44415447	0.15573877	0.20842694	0	0	0	0.1396054	0	0.0570519	0.12131291	0.04286882	0.14897522	0.12118422
Mx_All_75	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_B	s__Ruminococcus_B gnavus	84.81546579054661	90.96	1.99	87.5	2240777	13441	1	4.138992	1.0113777	0.1586342	0	0.0717381	0	0.91686153	0.11515585	0	1.8917309	0.17551394	0.14475347	0	2.883822	0	10.475638	0.21504183	0.24324286
Mx_All_76	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus	81.2459126245204	80.86	0.35	100.0	1698042	3731	1	0	0	0.049874313	0	0.4555807	0	0.122283034	0.21720456	0.30372137	0	0	0	0	0.13022895	0	0.83271986	0.30902854	0.72825
Mx_All_77	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter torques	91.84648055950994	93.57	0.88	50.0	2287914	29714	1	3.3680692	2.901653	1.4830302	0.5390386	0	0.41871792	0.34293777	0	1.2506509	0.33050966	0	0.12772344	0.26755136	0.35547295	0	0	0.05807611	0.26085576
Mx_All_78	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp001916855	74.53164559169139	80.48	1.85	62.5	1637144	19534	1	10.516478	0.5441915	0	0.9702599	0	1.0260842	0	0.074182965	0	0	0.20127663	0.28953868	0.7762972	0	1.4596869	0	0	0.17280747
Mx_All_79	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D	48.217035822651546	85.42	9.07	68.75	1882348	6650	1	0	0	0	1.3053961	1.460893	2.2646813	5.351897	2.3614721	1.3211873	0	0	0.20239903	0.5627031	0.28391314	1.0871936	0	5.001173	1.4250776
Mx_All_8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis	80.47167456920252	97.42	4.06	30.77	2842974	16026	1	0	0	0	0.31835	0.05723884	1.0670376	6.064606	0	0	0	0	0.16443074	0.39278746	0	0.38471538	0	0.82378936	0.28633088
Mx_All_80	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hominisplanchenecus	s__Hominisplanchenecus faecis	64.83938126171874	69.43	1.37	33.33	1859413	4032	1	0	0.19106783	0	0.34411943	1.1429526	0	0.060371708	0	0	0	0.18833868	0.2568744	0	0	0.16420485	0	0	0
Mx_All_81	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium animalis	47.94063443779919	50.98	0.96	0.0	1144833	3321	1	0.6243874	0	0	0	0	0.9743091	0	0.23504446	0	0	0	0	0	0	0	0	0	0
Mx_All_82	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp000435555	57.89527247400508	64.85	2.01	66.67	1250012	3239	1	0.16765104	0	0	0.4196355	0	0	0	0	0	1.2437114	0.7934776	2.947791	0.55267274	0	0.4268064	0	0	0
Mx_All_83	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	50.66217993727558	62.99	3.54	100.0	1557278	4617	1	0	0	0	2.6232488	0	0	0	1.4688278	0	0	0	0	0.120355494	0	0	0	0	0
Mx_All_84	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000436835	81.04054988599795	87.7	1.79	25.0	1552055	4854	1	0	0	0	1.0227816	0	1.5870109	0	0	1.5218128	0	0	0.1401684	0	0.029967772	0	0	0	0
Mx_All_85	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans	67.1348469348639	72.28	1.75	100.0	2737878	5125	1	0	0.31747577	0.11462263	0.77809054	0.064603366	0.1241857	0	0	0	0	0.36452553	0	0.9422492	1.4965385	0.15038556	0	0.09791823	0
Mx_All_86	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans	70.19041327864525	94.3	5.75	45.45	2496584	11326	1	0	1.2493944	0	0.33499393	0.9517834	3.154145	2.712928	1.8499751	2.006499	0	1.4370098	0.14624563	0.3873622	2.268095	0.68062496	0	2.5952826	6.1043086
Mx_All_87	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum butyriciproducens	64.56078152913503	73.71	2.48	60.0	1593594	3354	1	0	0	0.06836286	0.19379003	0.3217508	0.33671725	0.8408972	0.36886507	0	0	0.17325145	0	0.23064551	0.49448296	0.7229413	0.76430106	0.19986092	0.19734466
Mx_All_88	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A wexlerae	68.96580244656879	92.62	5.91	66.67	2659432	8151	1	0.96330535	1.3879408	0.3441435	0.20481598	1.670061	1.2197295	2.33242	0.9043064	1.3209481	0	0.70531046	0.46846116	0.5023629	0.81942296	0.17184183	3.4759488	0.9850339	3.106724
Mx_All_89	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor plautii	50.190865825740026	52.1	0.81	50.0	1666617	2963	1	0.11176216	0.50011677	0.12639748	0	0	0.18910617	0.30697772	0.14115702	0	0.33122602	0	0	0.16227065	0.42403683	0.10926843	0.21873167	0.24437764	0.18538855
Mx_All_9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	45.533094235601276	67.01	5.07	40.91	1953699	3962	1	0	0.28759718	0.14759953	0.31988516	0.039060082	0.94179386	0.2959369	0.021641547	0.37138158	0	0.25427344	0.22098866	0.5014849	0.37774697	0.48155412	0	0.11353104	0
Mx_All_90	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	69.9921494856698	90.58	5.48	88.89	4266480	7620	1	0	0.8330002	1.8791592	6.2338815	0	0	0	0.035445347	0	2.3569205	1.1869155	0	0	0	5.394722	0.5820066	0	0.2658667
Mx_All_91	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900313215	84.85931570913164	89.43	1.48	54.55	2321717	11065	1	0	0	0	0	0	0	0	0	0	0	0	0.6509221	4.2350225	0	3.3337193	0	0	0
Mx_All_92	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia ramosa	62.54581647372849	65.52	0.94	0.0	1740942	2829	1	1.1551533	0	0.055959113	0	0	0.04711065	0	0	0	0.34675688	0.114166036	0	0	0	0	0.5078847	0	0
Mx_All_93	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__CAG-41	s__CAG-41 sp900066215	92.90141082265156	93.51	0.56	50.0	2052439	6650	1	0	0.75010425	0	0.08905807	0.12017834	0.4971971	0.10765417	0.41733092	0	0	1.7774551	0	0.14912067	0.09736821	0.14551163	0	0.80638486	0.3593609
Mx_All_94	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola massiliensis	92.4342776048682	92.3	0.48	71.43	3131643	24145	1	0.09980623	0	0	0.3561931	0.58174497	0	0.8387633	0	0	0	0	0	0	2.5381005	0	0	1.7098681	0
Mx_All_95	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900066335	51.737418303105706	61.72	2.63	50.0	2930107	5068	1	0	0	0	0.10247323	0.35368082	0.16860422	0.34945962	0	0	0	0	0	0.15086475	0.38392887	0.10195572	0	2.6542299	0.31432563
Mx_All_96	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella stercorea	87.00564038398207	90.75	1.17	0.0	2337876	16266	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.395931	0	0	0
Mx_All_97	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster bolteae	34.72092281035957	65.7	7.02	35.29	4414787	1937	1	0.28368938	0.9749553	0.20240599	0	0	0.076280005	0.061740812	0	0	0.27520245	0.14566994	0	0	0.059432168	0	0.5567563	0	0
