ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	FC1	FC2	FC3	FE1	FE2	FE3	FY1	FY2	FY3	MC1	MC2	MC3	ME1	ME2	ME3	MY1	MY2	MY3
Mx_All_24	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium	87.28592320434765	95.61	2.15	25.0	2411129	5982	1	0.31918654	1.6231513	0.3385682	0	0	0	0.4273623	0	0.48712018	0.37079057	0.33910856	0	0	0.21931617	0.7061957	0	0	0.44717056
Mx_All_25	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium duncaniae	60.31057492862239	65.64	1.79	100.0	1617452	4583	1	0	0	0	0.42360482	0.7030234	0.23844218	0	0	1.0320506	0	0	0	0.33713937	2.1123056	3.0082238	0	0.27786687	2.7075088
Mx_All_26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas phoceensis	79.06550380924136	96.04	4.13	37.5	2402432	17927	1	0.69339305	0	0	0	0.06519659	0	0	0.039713286	0	1.7280376	0	0.08860785	0	2.031389	0	1.8004527	0	0.13676664
Mx_All_27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-177	s__CAG-177 sp003538135	89.38745112916115	95.58	1.92	75.0	2053189	8608	1	0.7790134	0	0	0.19564143	0	0	0	0	0	0	0.68004906	6.7500825	0	0	0	0	0	0
Mx_All_28	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus intestini	65.88261704749401	64.43	0.07	100.0	1197605	2919	1	0	0.63373506	0	0	0	0.18780236	1.4435278	0	0	0	0	0	0	0	0	0	0.28925508	0
Mx_All_29	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella wadsworthensis	68.24271874053815	71.95	1.09	0.0	1506857	3058	1	0	0	0	0	0	0	0.41930333	0.24748102	0	0	0.15036699	0	0.104981035	0.48891836	0	0	0.45438546	0
Mx_All_3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900540595	57.59216745590122	55.84	0.0	0.0	1561113	3194	1	0	0.47798115	0	0.19707912	0	0.104832366	0.08592507	0	1.3900093	0	1.1022255	1.2516165	0.26164785	1.3505318	0.5224905	0	0	0
Mx_All_30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__PeH17	s__PeH17 sp000435055	63.33776710915993	75.8	2.85	0.0	1394624	3763	1	0.08119023	0	0	1.0621275	0	0.09065486	0	0	0	0	1.2364308	1.3261818	0	0	0	0	0	0
Mx_All_31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cellulosilyticus	58.32150309353089	56.54	0.0	0.0	3293514	3656	1	0.07274387	2.0125203	0.67528474	0	0	0	0	0	0.32968315	0.37843925	2.6661754	0.1845128	0	0.06343336	0.09005492	0	0	0
Mx_All_32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp003525905	92.15445232528084	92.95	0.73	100.0	2241503	17738	1	5.506454	0.8015275	0	1.2983315	0	0	0	0.08363506	0.98695326	0.934448	0.42057735	0.210058	0.32727203	0	0.106553376	0	0.17191201	0
