KO	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
K12093	185.82	0.0	0.0	0.0	128.05700000000002	0.0	41.5283	0.0	0.0	0.0	0.0	0.0
K12132	393.44129999999996	0.0	57.0659	344.07689999999997	2520.7989	2364.4809999999998	457.002	0.0	750.0663000000001	455.7366999999999	654.2335	947.7531
K12136	0.0	0.0	81.035	250.2459	0.0	51.6832	0.0	0.0	201.46099999999998	67.1118	388.66700000000003	116.934
K12137	0.0	0.0	0.0	138.30040000000002	0.0	51.304	0.0	37.80537	42.76285	39.8061	110.16069999999999	989.54
K12138	0.0	0.0	0.0	73.2135	0.0	0.0	0.0	0.0	83.1348	0.0	75.0746	0.0
K12139	0.0	14.2055	0.0	91.0345	0.0	0.0	0.0	17.5795	83.1348	0.0	215.1926	0.0
K12140	0.0	0.0	0.0	41.5584	0.0	54.9976	0.0	0.0	22.6651	0.0	102.195	0.0
K12141	0.0	58.9411	0.0	165.09400000000002	0.0	101.87	0.0	0.0	50.2357	0.0	221.2984	0.0
K12143	0.0	0.0	0.0	105.666	0.0	66.1217	0.0	0.0	0.0	0.0	53.0014	152.991
K12144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.3866	25.936	62.1475	0.0
K12145	0.0	0.0	0.0	87.9978	0.0	108.006	0.0	0.0	100.556	151.39	181.737	257.154
K12204	0.0	41.5683	0.0	489.4923	0.0	60.3373	0.0	92.8657	399.324	529.757	282.5897	0.0
K12216	0.0	0.0	0.0	62.298	0.0	0.0	0.0	0.0	0.0	158.151	0.0	0.0
K12240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.386	415.006	0.0
K12248	0.0	19.6834	0.0	0.0	43.7548	0.0	0.0	0.0	0.0	166.15	0.0	0.0
K12257	476.52320000000003	107.4356	102.9429	427.4343999999999	506.49460000000005	862.9107999999999	155.9389	137.50662	299.22270000000003	180.92049999999998	555.5417	153.7812
K12262	0.0	0.0	0.0	211.333	0.0	0.0	0.0	0.0	0.0	88.3143	212.005	0.0
K12263	287.901	0.0	0.0	0.0	0.0	0.0	47.7907	0.0	0.0	0.0	0.0	0.0
K12264	0.0	0.0	0.0	0.0	0.0	149.65200000000002	0.0	0.0	85.7792	0.0	116.10700000000001	0.0
K12267	358.0195	56.6331	7.95566	158.3073	407.2398	536.3207	60.5098	18.3473	113.0136	354.764	1062.1059	1300.0913
K12269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.74	0.0	0.0	0.0
K12279	0.0	0.0	0.0	0.0	390.509	0.0	0.0	0.0	0.0	0.0	132.368	0.0
K12287	161.124	0.0	0.0	0.0	0.0	0.0	101.348	81.999	0.0	0.0	0.0	0.0
