Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
p__Actinobacteria	0.00000	0.00000	0.00000	3.63255	0.00000	0.00000	1.48502	40.87156	10.18715	2.66114	32.78184	2.40142
p__Candidatus_Absconditabacteria	0.80020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
p__Spirochaetes	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37518
p__Candidatus_Saccharibacteria	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.96959	0.00000	0.00000	0.00000	0.00000	14.26376
p__Fusobacteria	26.56114	0.00000	57.16661	17.37165	31.22691	2.05498	6.37121	12.45876	9.81203	9.18735	5.92715	15.22431
p__Proteobacteria	0.58721	93.60243	36.89294	53.96954	41.87156	12.92165	2.62164	17.72482	27.90490	70.73167	33.76707	28.33401
p__Bacteroidetes	59.27158	6.39757	5.94045	12.05683	24.00616	58.34497	45.60134	7.49911	0.50999	3.49577	1.78087	34.33811
p__Firmicutes	32.94365	0.00000	0.00000	20.54176	5.47956	27.85466	57.28543	21.44574	92.82531	28.77307	26.79230	16.19232
