#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.47414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified	0.20005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	31.5919	6.39757	5.94045	10.4287	9.58865	58.34497	27.01112	7.49911	0.50999	3.09935	1.40261	30.90184
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	27.67967	0.0	0.0	1.62813	14.41751	0.0	18.59022	0.0	0.0	0.39642	0.37826	2.78933
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	26.56114	0.0	57.1666	17.37165	31.22692	2.05498	6.37121	12.45876	9.81204	9.18736	5.92715	15.22431
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	6.23308	0.0	0.0	0.0	0.0	0.58813	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	5.5379	0.0	0.0	2.52411	0.8614	0.0	4.67373	0.0	13.74646	4.94967	0.34974	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.58721	41.29453	12.94185	18.02677	30.26556	10.05363	0.45174	0.0	2.17976	43.78667	18.80259	21.18582
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.47414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified	0.20005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	29.87799	6.39757	2.26029	0.0	2.36464	58.34497	13.76718	6.78864	0.0	0.0	0.0	18.83698
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	27.67967	0.0	0.0	0.0	13.54368	0.0	18.59022	0.0	0.0	0.0	0.37826	2.78933
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	25.28079	0.0	46.50222	14.72284	18.58507	1.36294	6.37121	0.0	5.23259	7.97133	5.92715	15.22431
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	5.5379	0.0	0.0	2.52411	0.8614	0.0	4.67373	0.0	13.74646	4.94967	0.34974	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.71391	0.0	3.68016	10.4287	7.22401	0.0	13.24394	0.0	0.50999	3.09935	1.40261	1.48937
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	1.47496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	1.28035	0.0	10.66439	2.64881	12.64184	0.69204	0.0	12.45876	4.57944	1.21602	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.58721	41.29453	12.94185	18.02677	30.26556	10.05363	0.45174	0.0	2.17976	43.78667	18.80259	21.18582
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.47414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified|f__Candidatus_Absconditabacteria_unclassified	0.20005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	26.41973	0.0	0.0	0.0	13.54368	0.0	14.54923	0.0	0.0	0.0	0.37826	2.78933
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	25.28079	0.0	46.50222	14.72284	18.58507	1.36294	6.37121	0.0	5.23259	7.97133	5.92715	15.22431
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	15.50071	6.39757	2.26029	0.0	2.36464	56.42213	5.28753	6.78864	0.0	0.0	0.0	18.83698
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	14.37729	0.0	0.0	0.0	0.0	0.0	5.40213	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	5.5379	0.0	0.0	2.52411	0.8614	0.0	4.67373	0.0	13.74646	4.94967	0.34974	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Filifactor	4.6172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	1.71391	0.0	3.68016	10.4287	7.22401	0.0	1.03747	0.0	0.50999	3.09935	1.40261	1.48937
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	1.47496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	1.28035	0.0	10.66439	2.64881	12.64184	0.69204	0.0	12.45876	4.57944	1.21602	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB1833	1.25994	0.0	0.0	0.0	0.0	0.0	4.04099	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762|f__FGB1762|g__GGB4533	1.13491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	0.58721	0.0	0.0	0.0	30.26556	0.0	0.45174	0.0	0.0	0.0	0.0	3.56165
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0.47414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified|f__Candidatus_Absconditabacteria_unclassified|g__GGB4937	0.20005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.14092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	25.28079	0.0	27.78557	0.0	18.58507	1.36294	4.31956	0.0	0.0	0.0	0.9041	15.22431
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena	23.84068	0.0	0.0	0.0	0.0	0.0	8.62973	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens	15.50071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47246
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_sp_oral_taxon_473	7.56567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB1410	6.81162	0.0	0.0	0.0	0.0	0.0	5.40213	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum	5.5379	0.0	0.0	0.0	0.8614	0.0	4.67373	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Filifactor|s__Filifactor_alocis	4.6172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri	2.57905	0.0	0.0	0.0	13.54368	0.0	0.88456	0.0	0.0	0.0	0.0	0.40575
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_pasteri	1.71391	0.0	3.68016	10.4287	7.22401	0.0	1.03747	0.0	0.50999	3.09935	1.40261	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500	1.47496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_SGB6069	1.28035	0.0	0.0	0.0	9.34018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB1833|s__GGB1833_SGB2477	1.25994	0.0	0.0	0.0	0.0	0.0	4.04099	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762|f__FGB1762|g__GGB4533|s__GGB4533_SGB94822	1.13491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis	0.58721	0.0	0.0	0.0	30.26556	0.0	0.45174	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei	0.47414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified|f__Candidatus_Absconditabacteria_unclassified|g__GGB4937|s__GGB4937_SGB6891	0.20005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_SGB749	0.14092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena|t__SGB2502	23.84068	0.0	0.0	0.0	0.0	0.0	8.62973	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens|t__SGB1561	15.50071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47246
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6001	9.12019	0.0	14.83072	0.0	14.48665	0.99697	2.21791	0.0	0.0	0.0	0.0	0.71703
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6014	8.89744	0.0	7.28469	0.0	1.38882	0.0	1.04073	0.0	0.0	0.0	0.9041	5.75783
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_sp_oral_taxon_473|t__SGB1464	7.56567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB1410|t__SGB1410	6.81162	0.0	0.0	0.0	0.0	0.0	5.40213	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum|t__SGB7295	5.5379	0.0	0.0	0.0	0.8614	0.0	4.67373	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6011	4.86139	0.0	4.57641	0.0	2.35753	0.0	1.06092	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Filifactor|s__Filifactor_alocis|t__SGB6629	4.6172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri|t__SGB2492	2.57905	0.0	0.0	0.0	13.54368	0.0	0.88456	0.0	0.0	0.0	0.0	0.40575
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6007	2.40177	0.0	1.09376	0.0	0.35207	0.0	0.0	0.0	0.0	0.0	0.0	5.32591
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_pasteri|t__SGB2043	1.71391	0.0	3.68016	10.4287	7.22401	0.0	1.03747	0.0	0.50999	3.09935	1.40261	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500|t__SGB24947	1.47496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_SGB6069|t__SGB6069	1.28035	0.0	0.0	0.0	9.34018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB1833|s__GGB1833_SGB2477|t__SGB2477	1.25994	0.0	0.0	0.0	0.0	0.0	4.04099	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762|f__FGB1762|g__GGB4533|s__GGB4533_SGB94822|t__SGB94822	1.13491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis|t__SGB9737_group	0.58721	0.0	0.0	0.0	30.26556	0.0	0.45174	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei|t__SGB6826	0.47414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified|f__Candidatus_Absconditabacteria_unclassified|g__GGB4937|s__GGB4937_SGB6891|t__SGB6891	0.20005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_SGB749|t__SGB749	0.14092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0	52.3079	6.68415	0.18328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.0	52.3079	6.68415	0.18328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0.0	52.3079	6.68415	0.18328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0.0	52.3079	6.68415	0.18328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.0	41.29453	12.94185	18.02677	0.0	10.05363	0.0	0.0	2.17976	43.78667	18.80259	17.62418
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_melonis	0.0	52.3079	6.68415	0.18328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	0.0	32.41837	0.0	2.57137	0.0	0.0	0.0	0.0	0.0	4.55856	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.0	8.87616	12.94185	4.0069	0.0	10.05363	0.0	0.0	2.17976	3.8937	18.80259	5.26167
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	0.0	6.39757	2.26029	0.0	0.0	54.00711	5.28753	6.78864	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_melonis|t__SGB11681	0.0	52.3079	6.68415	0.18328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum|t__SGB9631	0.0	32.41837	0.0	2.57137	0.0	0.0	0.0	0.0	0.0	4.55856	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__SGB9663_group	0.0	8.87616	0.0	4.0069	0.0	3.34694	0.0	0.0	2.17976	3.8937	18.80259	5.26167
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica|t__SGB1552	0.0	6.39757	2.26029	0.0	0.0	54.00711	5.28753	6.78864	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0	0.0	17.26694	35.75949	0.0	0.0	2.1699	9.59797	25.72514	26.945	14.96448	3.57586
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.0	0.0	17.26694	35.75949	0.0	0.0	2.1699	0.0	25.72514	26.945	14.96448	3.57586
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.0	0.0	17.26694	35.75949	0.0	0.0	2.1699	0.0	25.72514	26.945	14.96448	3.57586
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0.0	0.0	17.26694	35.75949	0.0	0.0	2.1699	0.0	25.72514	26.945	14.96448	3.57586
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_pseudoperiodonticum	0.0	0.0	18.71665	14.72284	0.0	0.0	2.05165	0.0	5.23259	7.97133	5.02305	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	0.0	0.0	17.26694	35.75949	0.0	0.0	2.1699	0.0	25.72514	26.945	14.96448	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_212	0.0	0.0	5.41157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_215	0.0	0.0	5.25281	2.64881	0.0	0.0	0.0	12.45876	4.57944	1.21602	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_pseudoperiodonticum|t__SGB5989_group	0.0	0.0	18.71665	14.72284	0.0	0.0	2.05165	0.0	5.23259	7.97133	5.02305	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava|t__SGB9450	0.0	0.0	17.26694	35.75949	0.0	0.0	2.1699	0.0	25.72514	26.945	14.96448	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__SGB9657	0.0	0.0	12.94185	0.0	0.0	6.70669	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_212|t__SGB6070	0.0	0.0	5.41157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_215|t__SGB6067	0.0	0.0	5.25281	2.64881	0.0	0.0	0.0	12.45876	4.57944	1.21602	0.0	0.0
k__Bacteria|p__Actinobacteria	0.0	0.0	0.0	3.63255	0.0	0.0	1.48502	40.87156	10.18715	2.66114	32.78184	2.40142
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	0.0	0.0	4.07783	0.0	24.62254	0.0	13.95826	6.30716	0.47485	19.76913	12.23792
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.0	0.0	0.0	3.63255	0.0	0.0	1.48502	40.87156	10.18715	2.66114	32.78184	2.40142
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0	0.0	0.0	6.36749	2.03396	1.46773	38.59051	7.48749	31.53231	8.49953	5.62421	3.9544
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0	0.0	0.0	4.07783	0.0	23.41454	0.0	13.95826	6.30716	0.47485	19.76913	12.23792
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.0	0.0	0.0	6.36749	1.51613	1.46773	38.59051	7.48749	28.12491	8.49953	5.62421	3.9544
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.0	0.0	0.0	4.07783	0.0	23.41454	0.0	13.95826	6.30716	0.47485	19.76913	12.23792
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	0.0	0.0	0.0	1.62813	0.87383	0.0	0.0	0.0	0.0	0.39642	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.0	0.0	0.0	6.36749	1.51613	1.46773	38.59051	7.48749	28.12491	8.49953	5.62421	3.9544
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0.0	0.0	0.0	4.07783	0.0	23.41454	0.0	13.95826	6.30716	0.47485	19.76913	11.00322
