OTUID	All	Cancer	Normal
k__Bacteria	100	100	100
k__Bacteria|p__Proteobacteria	35.077454	39.97422	30.18069
k__Bacteria|p__Bacteroidetes	21.567621	27.66959	15.46565
k__Bacteria|p__Firmicutes	19.006548	 9.320535	28.692562
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	17.308582	18.86159	15.75557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	16.631344	18.86159	14.40110
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	16.631344	18.86159	14.40110
k__Bacteria|p__Fusobacteria	16.11351	22.396882	 9.830138
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	16.11351	22.396882	 9.830138
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	16.11351	22.396882	 9.830138
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.059688	20.38204	11.73734
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.059688	20.38204	11.73734
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	13.725832	13.71946	13.73220
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	12.265038	17.742310	 6.787765
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	12.265038	17.742310	 6.787765
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	11.553188	16.540910	 6.565467
k__Bacteria|p__Firmicutes|c__Bacilli	11.516722	 3.132098	19.901347
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	11.333732	 8.837738	13.829725
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	10.533901	 8.837738	12.230063
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	10.533901	 8.837738	12.230063
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	10.533901	 8.837738	12.230063
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	10.235912	 8.837738	11.634087
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava|t__SGB9450	10.235912	 8.837738	11.634087
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	9.488208	13.824223	 5.152192
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	8.796469	 1.644863	15.948075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	8.469367	 1.558558	15.380175
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	8.469367	 1.558558	15.380175
k__Bacteria|p__Actinobacteria	7.835057	 0.605425	15.064688
k__Bacteria|p__Actinobacteria|c__Actinomycetia	7.835057	 0.605425	15.064688
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	7.788528	12.169062	 3.407995
k__Bacteria|p__Firmicutes|c__Negativicutes	6.787307	4.783395	8.791220
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	6.686641	4.582062	8.791220
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	6.686641	4.582062	8.791220
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	6.583749	4.582062	8.585437
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	6.228428	10.444162	 2.012695
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica|t__SGB1552	6.228428	10.444162	 2.012695
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	5.501355	5.979757	5.022953
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5.489962	7.287552	3.692372
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	5.489962	7.287552	3.692372
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	5.24843	6.870558	3.626302
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4.931277	9.862555	0.000000
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4.931277	9.862555	0.000000
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	4.931277	9.862555	0.000000
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	4.931277	9.862555	0.000000
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_melonis	4.931277	9.862555	0.000000
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_melonis|t__SGB11681	4.931277	9.862555	0.000000
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	4.806686	6.660568	2.952803
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	4.652226	0.855580	8.448872
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_pseudoperiodonticum	4.476509	5.573248	3.379770
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_pseudoperiodonticum|t__SGB5989_group	4.476509	5.573248	3.379770
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parahaemolyticus	3.898576	1.908083	5.889068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parahaemolyticus|t__SGB9632	3.898576	1.908083	5.889068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__SGB9663_group	3.863977	2.705000	5.022953
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	3.848471	4.654572	3.042370
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	3.848471	4.654572	3.042370
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.566003	3.841130	3.290877
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6001	3.530789	6.5724217	0.4891567
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia	3.448961	0.605425	6.292497
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	3.448961	0.605425	6.292497
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__SGB16971_group	3.448961	0.605425	6.292497
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	3.295692	5.831623	0.759760
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum|t__SGB9631	3.295692	5.831623	0.759760
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis|t__SGB8154	2.947692	0.2526883	5.6426950
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	2.905513	5.1421283	0.6688983
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.720251	1.487235	3.953267
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2.720251	1.487235	3.953267
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	2.720251	1.487235	3.953267
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena	2.705868	3.973447	1.438288
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena|t__SGB2502	2.705868	3.973447	1.438288
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis	2.608709	5.142128	0.075290
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis|t__SGB9737_group	2.608709	5.142128	0.075290
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	2.548798	3.841130	1.256465
