clade_name	N6	N5	N4	N3	N2	N1	C6	C5	C4	C3	C2	C1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12.15179	17.27908	35.71218	4.7508	18.662689999999998	3.51376	3.14189	38.679109999999994	22.73382	4.59127	55.27321	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	12.15179	17.27908	35.71218	4.7508	18.662689999999998	3.51376	3.14189	38.679109999999994	22.73382	4.59127	55.27321	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	12.15179	17.27908	35.71218	4.7508	18.662689999999998	3.51376	3.14189	38.679109999999994	22.73382	4.59127	55.27321	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	1.77803	0	0	0	0	3.51376	0	38.679109999999994	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis	0	0	0	0	0	3.51376	0	38.679109999999994	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_sp_oral_taxon_458	1.77803	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	10.37376	17.27908	35.71218	4.7508	18.662689999999998	0	3.14189	0	22.73382	4.59127	55.27321	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus	7.923439999999999	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parahaemolyticus	0	0	29.5637	0	0	0	0	0	7.448060000000001	0	4.65424	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	2.45032	17.27908	3.2785699999999998	4.7508	18.662689999999998	0	3.14189	0	3.44755	4.59127	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	0	0	0	0	0	0	0	0	11.270489999999999	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	0	0	2.86992	0	0	0	0	0	0.56771	0	50.618970000000004	0
k__Bacteria|p__Spirochaetes	0.79673	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.79673	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.79673	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.79673	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	0.79673	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola	0.79673	0	0	0	0	0	0	0	0	0	0	0
