Family	N5	N4	N3	N2	N1	C6	C5	C4	C3	C2	C1
unclassified	8.98893	61.48611	57.98295	0	12.51441	0	0	30.63666	51.77157	0	11.88273
f__Pasteurellaceae	17.27908	35.71219	4.7508	18.66269	3.51376	3.14189	38.67911	22.73381	4.59127	55.27321	0
f__Neisseriaceae	24.88616	24.15334	39.37378	0	6.10237	0	0	41.21348	20.97808	0	0
f__Prevotellaceae	0	0	0	9.74894	13.24722	62.95377	0	0	7.05435	3.00937	36.93956
f__Streptococcaceae	3.56586	9.93616	19.81015	14.80299	46.9668	0.66324	0	5.37183	0	0	0
f__Flavobacteriaceae	0	0	0	0	21.38271	0	33.31717	0	0	0	37.52745
f__Fusobacteriaceae	0.59392	4.59266	2.7909	0	4.61568	0.88026	18.67166	9.449	34.31245	0	11.14539
f__Micrococcaceae	39.90782	4.48379	12.95599	0.81421	0	0	0	4.9935	0	0	0
f__Sphingomonadaceae	0	0	0	0	0	0	0	0	11.89167	41.71742	0
f__Veillonellaceae	10.52683	0.39472	0.16658	8.89057	0	29.12317	0	2.00286	0	0	0
f__Corynebacteriaceae	0	0	0	22.22277	0	0	0	0	0	0	0
f__Leptotrichiaceae	0	0.08516	0.82415	3.00121	0	0	2.51125	1.64877	3.91499	0	0
f__Burkholderiaceae	0	0	0	11.20365	0	0	0	0	0	0	0
f__Propionibacteriaceae	0	0	0	6.42796	0	0	0	0	0	0	0
f__Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	6.4049
f__Campylobacteraceae	0	0	0	0	0	2.83366	2.11238	0	0	0	0.21237
f__Actinomycetaceae	0.24402	0	0	3.47975	0	0	0	0	0	0	0
f__Porphyromonadaceae	0	0.14661	0	0	0	0	1.12324	2.37454	0	0	0
f__Carnobacteriaceae	0	0	0	0	0	0	3.58519	0	0	0	0
f__Erysipelotrichaceae	0	0	0	0	0	0	0	0	0	0	2.40528
f__Peptoniphilaceae	0	0	0	0	0	0	0	0	0	0	1.40413
f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0.80802	0	0	0	0	0
f__Tannerellaceae	0	0	0	0.74527	0	0	0	0	0	0	0
f__Selenomonadaceae	0	0	0	0	0	0	0	0	0	0	0
f__Spirochaetaceae	0	0	0	0	0	0	0	0	0	0	0
