Genus	N5	N4	N3	N2	N1	C6	C5	C4	C3	C2	C1
g__Haemophilus	17.27908	35.71219	4.7508	18.66269	0	3.14189	0	22.73381	4.59127	55.27321	0
g__Gemella	5.99262	40.99074	38.6553	0	8.34294	0	0	20.42444	34.51438	0	7.92182
g__Neisseria	24.88616	24.15334	39.37378	0	6.10237	0	0	41.21348	20.97808	0	0
g__Prevotella	0	0	0	9.74894	11.37218	62.95377	0	0	7.05435	3.00937	22.7647
g__Streptococcus	3.56586	9.93616	19.81015	14.80299	46.9668	0.66324	0	5.37183	0	0	0
g__Capnocytophaga	0	0	0	0	21.38271	0	33.31717	0	0	0	37.52745
g__Fusobacterium	0.59392	4.59266	2.7909	0	4.61568	0.88026	18.67166	9.449	34.31245	0	11.14539
unclassified	2.99631	20.49537	19.32765	0	4.17147	0.80802	0	10.21222	17.25719	0	3.96091
g__Rothia	39.90782	4.48379	12.95599	0.81421	0	0	0	4.9935	0	0	0
g__Sphingomonas	0	0	0	0	0	0	0	0	11.89167	41.71742	0
g__Veillonella	10.52683	0.39472	0.16658	8.89057	0	29.12317	0	2.00286	0	0	0
g__Aggregatibacter	0	0	0	0	3.51376	0	38.67911	0	0	0	0
g__Corynebacterium	0	0	0	22.22277	0	0	0	0	0	0	0
g__Alloprevotella	0	0	0	0	1.87504	0	0	0	0	0	14.17486
g__Leptotrichia	0	0.08516	0.82415	3.00121	0	0	2.51125	1.64877	3.91499	0	0
g__Lautropia	0	0	0	11.20365	0	0	0	0	0	0	0
g__Pseudopropionibacterium	0	0	0	6.42796	0	0	0	0	0	0	0
g__Filifactor	0	0	0	0	0	0	0	0	0	0	6.4049
g__Campylobacter	0	0	0	0	0	2.83366	2.11238	0	0	0	0.21237
g__Actinomyces	0.24402	0	0	3.47975	0	0	0	0	0	0	0
g__Porphyromonas	0	0.14661	0	0	0	0	1.12324	2.37454	0	0	0
g__Granulicatella	0	0	0	0	0	0	3.58519	0	0	0	0
g__Solobacterium	0	0	0	0	0	0	0	0	0	0	2.40528
g__Parvimonas	0	0	0	0	0	0	0	0	0	0	1.40413
g__Tannerella	0	0	0	0.74527	0	0	0	0	0	0	0
g__Selenomonas	0	0	0	0	0	0	0	0	0	0	0
g__Treponema	0	0	0	0	0	0	0	0	0	0	0
