OTUID	All	C	E	Y
k__Bacteria	99.645779	98.95364	99.98599	99.99770
k__Bacteria|p__Firmicutes	63.991352	37.57083	66.46150	87.94173
k__Bacteria|p__Firmicutes|c__Clostridia	50.890038	21.48354	53.05048	78.13610
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	50.486544	21.25067	52.93833	77.27063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	29.898512	 2.773877	28.069440	58.852220
k__Bacteria|p__Proteobacteria	16.827441	41.099778	 8.224808	 1.157735
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	15.659027	39.6989117	 6.3363717	 0.9417983
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	14.627389	37.7030483	 5.2957317	 0.8833883
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	14.603761	37.6321617	 5.2957317	 0.8833883
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	13.811312	12.15365	17.12796	12.15233
k__Bacteria|p__Bacteroidetes	13.446402	16.6007950	22.7768733	 0.9615367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13.187437	16.1574233	22.4457650	 0.9591217
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	13.187437	16.1574233	22.4457650	 0.9591217
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	13.059516	 0.2584517	 3.0795900	35.8405050
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	12.383833	36.1962783	 0.5294000	 0.4258217
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	12.383694	36.1962783	 0.5294000	 0.4254033
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	12.383694	36.1962783	 0.5294000	 0.4254033
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	8.762226	 0.08436167	 0.95407167	25.24824500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae|t__SGB4837	8.647447	 0.007661667	 0.880166667	25.054511667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium	5.954703	 1.148652	11.625832	 5.089625
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	5.323179	 1.068190	10.356812	 4.544535
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	5.196532	 0.6941983	14.3562283	 0.5391683
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	4.396168	7.255080	5.762535	0.170890
k__Bacteria|p__Actinobacteria	4.217415	1.131998	1.687047	9.833200
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	3.843854	 0.6507817	10.3538517	 0.5269300
k__Bacteria|p__Firmicutes|c__Bacilli	3.247502	3.963617	1.918798	3.860092
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	3.186222	0.192715	6.505973	2.859977
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.159972	3.963200	1.698853	3.817862
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	2.915604	1.559418	3.425945	3.761448
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	2.907661	0.1520717	6.1991700	2.3717400
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale|t__SGB4933	2.907661	0.1520717	6.1991700	2.3717400
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	2.897406	0.060405	2.243793	6.388018
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2.867536	3.452568	4.260778	0.889260
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.647135	6.551340	1.144420	0.245645
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	2.611836	3.271840	4.426697	0.136970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2.572846	1.530973	2.037862	4.149702
k__Bacteria|p__Firmicutes|c__Negativicutes	2.492994	0.7217317	6.0115017	0.7457483
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2.324199	6.38048000	0.55011833	0.04199833
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28	2.263493	0.00492	1.14578	5.63978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28|t__SGB4834	2.263493	0.00492	1.14578	5.63978
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.167453	0.9103467	1.4660000	4.1260117
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A	2.093074	0.315615	5.771947	0.191660
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A|t__SGB1626	2.093074	0.315615	5.771947	0.191660
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2.041765	0.2528583	1.9144917	3.9579450
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2.041765	0.2528583	1.9144917	3.9579450
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum	2.034181	0.01340167	0.54056500	5.54857667
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	1.983526	0.2283067	1.8222117	3.9000583
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1.962778	0.20618667	0.08029167	5.60185667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia	1.922465	0.0969400	5.5388967	0.1315583
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger	1.870253	1.006813	1.311785	3.292162
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1.784333	3.98324000	1.33584000	0.03391833
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	1.767183	0.14042500	0.04827167	5.11285333
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	1.767183	0.14042500	0.04827167	5.11285333
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	1.766625	0.13947500	0.04827167	5.11212833
