ID	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	32.18059	25.50816	6.80056	14.03205	0.02063	2.31971	8.51633	64.85196	43.83537	36.41617	23.42604	0.01644	0.34725	0.25838	0.00664	2.61482	2.0568	0.08511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	20.18147	35.4402	50.98731	53.14883	42.20256	49.66285	61.33409	12.63804	16.1118	18.66138	24.47115	79.12796	77.02518	67.65916	82.60628	77.34635	79.85887	60.29432
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.07909	1.47116	3.32602	4.52329	0.29784	0.43913	0.7571	12.29808	5.04875	0.02576	2.85636	3.46697	9.92138	5.35885	1.52741	1.41682	1.21574	0.84974
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	1.07762	0.36449	0.12654	0.01035	0.0	0.0	0.00369	0.0	0.0	1.09986	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	1.05244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17419
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.51526	0.87747	1.50351	1.14525	0.76962	6.22003	1.48776	0.0	0.02467	0.03263	0.06712	5.05787	4.15765	10.58905	0.89018	0.46712	2.5858	0.36078
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000	0.4328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05109	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.34189	0.06913	0.48551	0.51871	0.24076	0.01821	0.15	0.45155	0.02453	0.0	0.89484	0.78032	0.19924	1.98892	0.09751	0.39391	1.60732	0.08572
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.23435	0.5561	1.18626	0.69666	1.37679	1.34215	0.2347	0.25485	0.2712	3.90962	2.21292	0.0	0.0	0.86955	0.0	0.11268	0.00082	0.82678
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.1073	5.89865	0.0	0.06676	0.0	0.0	0.0	0.0	0.01082	0.04634	0.01736	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	0.08326	0.14906	0.5337	0.0	0.0	0.01828	0.204	0.08571	0.05341	0.38157	0.8834	0.0	0.01322	0.29441	0.0	0.0	0.0	0.6107
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.08281	0.05045	0.00505	0.0	0.0	0.0	0.0	1.40386	0.68515	1.90533	4.32433	0.0	0.0	0.03601	0.0	0.0	0.0	0.07292
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.05691	0.41605	0.9022	2.14321	0.39947	1.36187	1.22362	0.84906	0.03162	0.00115	2.32534	5.91177	2.07768	5.38851	0.01913	4.56845	1.72331	1.26673
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	0.05623	0.00825	0.02534	0.02129	0.06758	0.02646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35639
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	0.04803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.03232	0.0846	0.14525	0.0	0.0	0.00193	0.07951	0.24504	1.12179	1.28481	0.08114	0.0	0.00769	0.32245	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	0.03182	0.0	0.00487	0.01262	0.0	0.07554	0.00686	0.01178	0.0	0.0	0.08796	0.34013	0.15845	0.13398	0.03213	0.21967	0.08324	0.0
