Taxonomy	C1	C2	C3	Y1	Y2	Y3
c__CFGB1354	5.15658	0.00000	1.48855	0.00000	0.05230	0.00000
c__CFGB3012	0.00000	0.02339	0.00000	0.00000	0.00000	0.00000
c__CFGB58251	0.07583	0.00000	0.00000	0.00000	0.00000	0.00000
c__Bacteroidia	2.47310	7.78486	28.97762	0.00000	0.51221	1.02509
c__Bacilli	0.00000	0.00000	0.00000	2.51950	3.83600	0.80183
c__Erysipelotrichia	0.00000	0.00000	0.00000	4.67664	1.73822	2.49648
c__Lentisphaeria	0.00000	0.04627	0.00000	0.00000	0.00000	0.00000
c__Synergistia	0.31853	3.35052	0.06043	0.00000	0.00000	0.00000
c__CFGB645	0.47557	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB3005	0.18043	0.00000	0.00000	0.00000	0.46983	0.00000
c__Actinomycetia	0.00000	0.00000	0.00000	4.34703	0.00000	29.62076
c__CFGB45555	0.28256	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB73062	0.00000	11.15793	0.00000	0.00000	0.00000	0.00000
c__Betaproteobacteria	13.52420	0.00000	3.91481	0.00000	0.00000	0.00000
c__Gammaproteobacteria	22.40654	20.19930	4.86127	0.00000	0.00000	0.52827
c__CFGB12107	0.00000	0.00000	0.00000	0.00000	0.11537	0.00000
c__CFGB15209	0.38558	0.00000	0.92083	0.00000	0.00000	0.00000
c__CFGB2875	0.00000	0.01898	0.00000	0.00000	0.00000	0.00000
c__CFGB3043	0.09868	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB38642	0.00000	0.00000	0.79359	0.00000	0.00000	0.00000
c__Clostridia	95.37927	42.48112	52.65945	87.38561	90.67894	68.78589
c__Fusobacteriia	0.00000	0.00000	0.00000	0.00600	0.00000	0.00000
c__Coriobacteriia	0.42420	0.00000	0.60492	6.50144	7.59396	3.82714
c__CFGB10477	0.64392	3.02363	0.00000	0.00000	0.00000	0.00000
c__CFGB3035	1.05950	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB3062	0.89064	2.07780	0.00000	0.00000	0.00000	0.00000
c__Verrucomicrobiae	0.09852	1.40154	6.82174	0.00000	0.00000	0.00000
c__CFGB667	0.00000	0.00000	0.07443	0.00000	0.00000	0.00000
c__CFGB3072	0.21784	0.05792	0.00000	0.00000	0.00000	0.00000
c__CFGB4806	0.00000	0.00000	1.58234	0.00000	0.00000	0.24884
c__CFGB1226	0.00000	0.00000	0.03827	0.00000	0.00000	0.00000
c__CFGB2982	1.22691	1.81288	7.40869	0.00000	0.00000	0.00000
c__CFGB9120	0.00000	0.00000	0.00000	0.00000	0.15565	0.00000
c__Negativicutes	0.00000	0.00000	0.23361	0.00000	0.00000	0.00000
c__CFGB1765	0.00000	12.43187	0.00000	0.00000	0.29854	0.00000
c__CFGB2984	1.14241	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB3048	0.00000	0.00000	0.00000	0.00000	0.23030	0.00000
c__Deltaproteobacteria	1.17264	0.16610	0.39888	0.00000	0.00000	0.00000
c__CFGB2985	0.04912	1.81223	0.00000	0.00000	0.00000	0.00000
c__CFGB9989	0.29625	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB14936	0.00000	0.00000	0.00000	0.00000	3.99778	1.64352
c__CFGB1776	0.00000	1.15745	0.00000	0.00000	0.00000	0.00000
c__Methanobacteria	0.00000	0.05786	0.00000	0.00000	0.00000	0.00000
c__CFGB529	0.00000	0.00000	0.33900	0.00000	0.00000	0.00000
c__CFGB1258	0.78476	0.00000	0.07132	0.00000	0.00000	0.00000
c__CFGB3069	0.27547	0.41261	0.00000	0.00000	0.00000	0.00000
