Genus	C1	C2	C3	Y1	Y2	Y3
unclassified	65.41196	8.563	3.74991	2.63962	9.03137	3.38752
g__Blautia	0	0	0	41.43025	20.24214	20.05646
g__Klebsiella	21.88947	20.1993	0	0	0	0
g__Bifidobacterium	0	0	0	4.34703	0	29.62076
g__Alistipes	2.42071	4.19686	24.22471	0	0	0.22403
g__GGB9708	5.57573	12.4679	7.68565	0	0	0
g__Ruminococcus	0	0	0.89228	8.03802	4.85054	10.56194
g__GGB9715	0.1144	0.30323	22.9513	0	0	0
g__Anaerobutyricum	0	0	0	6.60396	7.20039	8.46015
g__Gemmiger	0.61509	0	5.68437	4.70352	3.03807	7.71942
g__Dorea	0	0	0	4.59533	15.20731	1.858
g__Mediterraneibacter	0	0	0	6.30583	10.04711	2.27512
g__Comamonas	13.5242	0	2.80021	0	0	0
g__Collinsella	0.02058	0	0.27274	5.97363	6.66238	2.25077
g__Anaerostipes	0	0	0	11.39813	2.06549	0.85472
g__GGB9634	11.84493	1.34815	0	0	0	0
g__GGB4569	0	12.43187	0	0	0	0
g__GGB9059	0	11.15793	0	0	0	0
g__GGB9342	1.22691	1.81288	7.40869	0	0	0
g__Faecalibacillus	0	0	0	4.57732	1.73822	2.49648
g__Fusicatenibacter	0	0	0	0	0.94908	7.57741
g__Akkermansia	0.09852	1.40154	6.82174	0	0	0
g__Streptococcus	0	0	0	2.4542	3.69417	0.7296
g__GGB3304	5.15658	0	1.48855	0	0.0523	0
g__Faecalibacterium	0	2.96449	0	0	1.78623	1.22006
g__GGB9760	1.15251	0	4.81098	0	0	0
g__Escherichia	0.51707	0	4.72198	0	0	0.52827
g__GGB9694	3.49113	2.25507	0	0	0	0
g__GGB3256	0	0	0	0	3.99778	1.64352
g__Bacteroides	0.05239	0.82733	3.61214	0	0.37551	0.59806
g__Coprococcus	0	0	0	0	4.92435	0
g__GGB9635	0	4.36861	0	0	0	0
g__GGB9636	0	3.89013	0	0	0	0
g__Ruthenibacterium	3.26375	0.35962	0.20729	0	0	0
g__GGB9345	0.64392	3.02363	0	0	0	0
g__Faecalicatena	0	0	0	0	3.57301	0
g__Oscillibacter	0	2.13593	1.09591	0	0	0
g__Vescimonas	0.17831	0	2.99551	0	0	0
g__Intestinimonas	1.32183	1.6725	0	0	0	0
g__GGB9747	0.89064	2.0778	0	0	0	0
g__Pyramidobacter	0	2.52568	0	0	0	0
g__Roseburia	0	0.20586	0	0	0.23328	1.93752
g__GGB3653	0	0	0	0	2.25553	0
g__Evtepia	0	0	0.26235	0	1.66536	0
g__GGB9350	0.04912	1.81223	0	0	0	0
g__GGB51647	0	0	1.58234	0	0	0.24884
g__Desulfovibrio	1.17264	0.13077	0.38983	0	0	0
g__GGB1405	0	1.64307	0	0	0	0
g__Lacrimispora	0	0	0	0	1.47658	0.11238
g__Eggerthella	0	0	0	0.52781	0	0.94077
g__Eubacterium	0	0	0	0	0.51981	0.82851
g__GGB9293	0.38558	0	0.92083	0	0	0
g__Phocaeicola	0	0.90114	0.26364	0	0.00244	0.10813
g__GGB9713	0.68506	0.53055	0	0	0	0
g__Candidatus_Cibionibacter	0.21213	0	0.6456	0.35492	0	0
g__Cloacibacillus	0.31853	0.82484	0.06043	0	0	0
g__GGB4684	0	1.15745	0	0	0	0
g__GGB9347	1.14241	0	0	0	0	0
g__GGB6648	0	0	1.11194	0	0	0
g__GGB9602	1.0595	0	0	0	0	0
g__Romboutsia	0	0	0	0.33736	0	0.63197
g__GGB35551	0	0.91392	0	0	0	0
g__Clostridium	0	0	0	0	0.91206	0
g__GGB9425	0.00954	0	0.15593	0	0.70061	0
g__GGB3363	0	0	0	0	0	0.86346
g__GGB3052	0.78476	0	0.07132	0	0	0
g__GGB9699	0	0	0.83216	0	0	0
g__Adlercreutzia	0	0	0.17625	0	0	0.6356
g__GGB9758	0	0	0.79359	0	0	0
g__GGB9468	0.18043	0	0	0	0.46983	0
g__Dysosmobacter	0.34746	0.30049	0	0	0	0
g__Parabacteroides	0	0.08362	0.46161	0	0	0.09487
g__GGB9770	0.1254	0.41261	0	0	0	0
g__GGB9642	0.49363	0	0	0	0	0
g__GGB1590	0.47557	0	0	0	0	0
g__GGB9532	0	0	0.46404	0	0	0
g__Agathobaculum	0	0	0	0.33224	0.09442	0
g__Mogibacterium	0	0	0	0	0.38911	0.01974
g__GGB33512	0.40224	0	0	0	0	0
g__GGB3429	0	0	0	0.29752	0.09976	0
g__Faecalimonas	0	0	0	0.34891	0	0
g__GGB1096	0	0	0.339	0	0	0
g__GGB9730	0	0.03323	0.23938	0	0.05614	0
g__Senegalimassilia	0.08458	0	0	0	0.23097	0
g__GGB4578	0	0	0	0	0.29854	0
g__GGB9712	0.29625	0	0	0	0	0
g__GGB9701	0.28256	0	0	0	0	0
g__GGB9424	0.27569	0	0	0	0	0
g__GGB1689	0	0	0.27522	0	0	0
g__GGB9786	0.19673	0	0	0	0	0
g__Lachnospira	0	0	0	0	0	0.18243
g__GGB9559	0	0	0	0	0.18046	0
g__GGB9721	0	0.1603	0	0	0	0
g__GGB4642	0	0	0	0	0.15565	0
g__GGB9767	0.15007	0	0	0	0	0
g__GGB4248	0	0	0.14598	0	0	0
g__Limosilactobacillus	0	0	0	0	0.14183	0
g__Kluyvera	0	0	0.13929	0	0	0
g__Paraprevotella	0	0	0	0	0.13426	0
g__Prevotella	0	0.07516	0.05247	0	0	0
g__GGB36331	0	0	0	0	0	0.12409
g__Anaerofilum	0.12165	0	0	0	0	0
g__GGB34797	0	0	0	0	0.11537	0
g__GGB9551	0.09868	0	0	0	0	0
g__GGB3278	0	0	0.08845	0	0	0
g__Megasphaera	0	0	0.08763	0	0	0
g__GGB3345	0	0	0	0	0	0.08388
g__Barnesiella	0	0	0.08277	0	0	0
g__Coprobacillus	0	0	0	0.07886	0	0
g__Hungatella	0.07874	0	0	0	0	0
g__GGB9762	0.07583	0	0	0	0	0
g__GGB1662	0	0	0.07443	0	0	0
g__Weissella	0	0	0	0	0	0.07223
g__Ligilactobacillus	0	0	0	0.0653	0	0
g__GGB35068	0	0	0	0	0.0618	0
g__GGB45495	0	0.05792	0	0	0	0
g__Methanobrevibacter	0	0.05786	0	0	0	0
g__Odoribacter	0	0.05132	0	0	0	0
g__GGB9561	0	0	0	0	0.04984	0
g__GGB6512	0	0.04627	0	0	0	0
g__GGB33469	0.04546	0	0	0	0	0
g__Bilophila	0	0.03186	0.00905	0	0	0
g__GGB2998	0	0	0.03827	0	0	0
g__GGB51960	0.03381	0	0	0	0	0
g__Waltera	0	0	0	0	0	0.03111
g__GGB9480	0	0.02339	0	0	0	0
g__GGB34228	0.02326	0	0	0	0	0
g__GGB9787	0.02111	0	0	0	0	0
g__Amedibacillus	0	0	0	0.02046	0	0
g__GGB9176	0	0.01898	0	0	0	0
g__GGB9534	0	0	0.01716	0	0	0
g__Flavonifractor	0	0	0.01628	0	0	0
g__GGB9530	0	0	0.0108	0	0	0
g__Butyricicoccus	0	0	0.01003	0	0	0
g__GGB13493	0	0.00814	0	0	0	0
g__Prevotellamassilia	0	0.00636	0	0	0	0
g__GGB4386	0	0	0	0.006	0	0
g__Marseilla	0	0	0.00506	0	0	0
g__Mailhella	0	0.00347	0	0	0	0
g__GGB6547	0	0	0.00266	0	0	0
