Taxonomy	C1	C2	C3	Y1	Y2	Y3
g__Mogibacterium	0.00000	0.00000	0.00000	0.00000	0.38911	0.01974
g__Anaerobutyricum	0.00000	0.00000	0.00000	6.60396	7.20039	8.46015
g__Faecalimonas	0.00000	0.00000	0.00000	0.34891	0.00000	0.00000
g__GGB3429	0.00000	0.00000	0.00000	0.29752	0.09976	0.00000
g__GGB9715	0.11440	0.30323	22.95130	0.00000	0.00000	0.00000
g__GGB9760	1.15251	0.00000	4.81098	0.00000	0.00000	0.00000
g__GGB9530	0.00000	0.00000	0.01080	0.00000	0.00000	0.00000
g__Amedibacillus	0.00000	0.00000	0.00000	0.02046	0.00000	0.00000
g__Faecalibacillus	0.00000	0.00000	0.00000	4.57732	1.73822	2.49648
g__GGB4386	0.00000	0.00000	0.00000	0.00600	0.00000	0.00000
g__Senegalimassilia	0.08458	0.00000	0.00000	0.00000	0.23097	0.00000
g__Bacteroides	0.05239	0.82733	3.61214	0.00000	0.37551	0.59806
g__GGB3304	5.15658	0.00000	1.48855	0.00000	0.05230	0.00000
g__GGB9770	0.12540	0.41261	0.00000	0.00000	0.00000	0.00000
g__Eubacterium	0.00000	0.00000	0.00000	0.00000	0.51981	0.82851
g__GGB35551	0.00000	0.91392	0.00000	0.00000	0.00000	0.00000
g__Desulfovibrio	1.17264	0.13077	0.38983	0.00000	0.00000	0.00000
g__GGB34797	0.00000	0.00000	0.00000	0.00000	0.11537	0.00000
g__Marseilla	0.00000	0.00000	0.00506	0.00000	0.00000	0.00000
g__Parabacteroides	0.00000	0.08362	0.46161	0.00000	0.00000	0.09487
g__Limosilactobacillus	0.00000	0.00000	0.00000	0.00000	0.14183	0.00000
g__GGB3052	0.78476	0.00000	0.07132	0.00000	0.00000	0.00000
g__GGB9762	0.07583	0.00000	0.00000	0.00000	0.00000	0.00000
g__Dorea	0.00000	0.00000	0.00000	4.59533	15.20731	1.85800
g__GGB9708	5.57573	12.46790	7.68565	0.00000	0.00000	0.00000
g__Oscillibacter	0.00000	2.13593	1.09591	0.00000	0.00000	0.00000
g__GGB9532	0.00000	0.00000	0.46404	0.00000	0.00000	0.00000
g__GGB9694	3.49113	2.25507	0.00000	0.00000	0.00000	0.00000
g__GGB6547	0.00000	0.00000	0.00266	0.00000	0.00000	0.00000
g__Akkermansia	0.09852	1.40154	6.82174	0.00000	0.00000	0.00000
g__Paraprevotella	0.00000	0.00000	0.00000	0.00000	0.13426	0.00000
g__Alistipes	2.42071	4.19686	24.22471	0.00000	0.00000	0.22403
g__GGB1405	0.00000	1.64307	0.00000	0.00000	0.00000	0.00000
g__GGB1662	0.00000	0.00000	0.07443	0.00000	0.00000	0.00000
g__GGB2998	0.00000	0.00000	0.03827	0.00000	0.00000	0.00000
g__GGB3256	0.00000	0.00000	0.00000	0.00000	3.99778	1.64352
g__GGB9176	0.00000	0.01898	0.00000	0.00000	0.00000	0.00000
g__GGB9551	0.09868	0.00000	0.00000	0.00000	0.00000	0.00000
g__Vescimonas	0.17831	0.00000	2.99551	0.00000	0.00000	0.00000
g__GGB33512	0.40224	0.00000	0.00000	0.00000	0.00000	0.00000
g__Cloacibacillus	0.31853	0.82484	0.06043	0.00000	0.00000	0.00000
g__GGB9602	1.05950	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB9561	0.00000	0.00000	0.00000	0.00000	0.04984	0.00000
g__Blautia	0.00000	0.00000	0.00000	41.43025	20.24214	20.05646
g__Faecalibacterium	0.00000	2.96449	0.00000	0.00000	1.78623	1.22006
g__GGB36331	0.00000	0.00000	0.00000	0.00000	0.00000	0.12409
g__GGB9534	0.00000	0.00000	0.01716	0.00000	0.00000	0.00000
g__Pyramidobacter	0.00000	2.52568	0.00000	0.00000	0.00000	0.00000
g__Adlercreutzia	0.00000	0.00000	0.17625	0.00000	0.00000	0.63560
g__Eggerthella	0.00000	0.00000	0.00000	0.52781	0.00000	0.94077
g__Streptococcus	0.00000	0.00000	0.00000	2.45420	3.69417	0.72960
g__GGB9350	0.04912	1.81223	0.00000	0.00000	0.00000	0.00000
g__GGB9747	0.89064	2.07780	0.00000	0.00000	0.00000	0.00000
g__Fusicatenibacter	0.00000	0.00000	0.00000	0.00000	0.94908	7.57741
g__Anaerofilum	0.12165	0.00000	0.00000	0.00000	0.00000	0.00000
g__Intestinimonas	1.32183	1.67250	0.00000	0.00000	0.00000	0.00000
unclassified	65.41196	8.56300	3.74991	2.63962	9.03137	3.38752
g__Coprobacillus	0.00000	0.00000	0.00000	0.07886	0.00000	0.00000
g__Bilophila	0.00000	0.03186	0.00905	0.00000	0.00000	0.00000
g__Kluyvera	0.00000	0.00000	0.13929	0.00000	0.00000	0.00000
g__Odoribacter	0.00000	0.05132	0.00000	0.00000	0.00000	0.00000
g__GGB1096	0.00000	0.00000	0.33900	0.00000	0.00000	0.00000
g__Weissella	0.00000	0.00000	0.00000	0.00000	0.00000	0.07223
g__GGB9342	1.22691	1.81288	7.40869	0.00000	0.00000	0.00000
g__GGB9468	0.18043	0.00000	0.00000	0.00000	0.46983	0.00000
g__Butyricicoccus	0.00000	0.00000	0.01003	0.00000	0.00000	0.00000
g__Clostridium	0.00000	0.00000	0.00000	0.00000	0.91206	0.00000
g__Coprococcus	0.00000	0.00000	0.00000	0.00000	4.92435	0.00000
g__Lacrimispora	0.00000	0.00000	0.00000	0.00000	1.47658	0.11238
g__GGB3345	0.00000	0.00000	0.00000	0.00000	0.00000	0.08388
g__Ruminococcus	0.00000	0.00000	0.89228	8.03802	4.85054	10.56194
g__GGB3363	0.00000	0.00000	0.00000	0.00000	0.00000	0.86346
g__GGB4248	0.00000	0.00000	0.14598	0.00000	0.00000	0.00000
g__Collinsella	0.02058	0.00000	0.27274	5.97363	6.66238	2.25077
g__GGB9293	0.38558	0.00000	0.92083	0.00000	0.00000	0.00000
g__GGB9767	0.15007	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB9758	0.00000	0.00000	0.79359	0.00000	0.00000	0.00000
g__GGB4642	0.00000	0.00000	0.00000	0.00000	0.15565	0.00000
g__GGB3278	0.00000	0.00000	0.08845	0.00000	0.00000	0.00000
g__GGB3653	0.00000	0.00000	0.00000	0.00000	2.25553	0.00000
g__Flavonifractor	0.00000	0.00000	0.01628	0.00000	0.00000	0.00000
g__GGB9699	0.00000	0.00000	0.83216	0.00000	0.00000	0.00000
g__GGB6512	0.00000	0.04627	0.00000	0.00000	0.00000	0.00000
g__Bifidobacterium	0.00000	0.00000	0.00000	4.34703	0.00000	29.62076
g__GGB51960	0.03381	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB9786	0.19673	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB9701	0.28256	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB13493	0.00000	0.00814	0.00000	0.00000	0.00000	0.00000
g__GGB9642	0.49363	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB6648	0.00000	0.00000	1.11194	0.00000	0.00000	0.00000
g__Phocaeicola	0.00000	0.90114	0.26364	0.00000	0.00244	0.10813
g__Barnesiella	0.00000	0.00000	0.08277	0.00000	0.00000	0.00000
g__Prevotella	0.00000	0.07516	0.05247	0.00000	0.00000	0.00000
g__GGB9345	0.64392	3.02363	0.00000	0.00000	0.00000	0.00000
g__GGB9787	0.02111	0.00000	0.00000	0.00000	0.00000	0.00000
g__Faecalicatena	0.00000	0.00000	0.00000	0.00000	3.57301	0.00000
g__Agathobaculum	0.00000	0.00000	0.00000	0.33224	0.09442	0.00000
g__Dysosmobacter	0.34746	0.30049	0.00000	0.00000	0.00000	0.00000
g__GGB9634	11.84493	1.34815	0.00000	0.00000	0.00000	0.00000
g__Ruthenibacterium	3.26375	0.35962	0.20729	0.00000	0.00000	0.00000
g__Klebsiella	21.88947	20.19930	0.00000	0.00000	0.00000	0.00000
