Family	C1	C2	C3	Y1	Y2	Y3
f__Lachnospiraceae	0	0.20586	0	71.15039	74.72694	43.3453
f__Oscillospiraceae	34.71068	29.14851	36.91576	8.37026	6.78733	11.98997
f__Clostridiaceae	51.08369	6.67143	0.01003	0.68319	1.72197	0
unclassified	9.3104	6.45532	14.99961	6.48949	6.27125	11.9704
f__Enterobacteriaceae	22.40654	20.1993	4.86127	0	0	0.52827
f__Bifidobacteriaceae	0	0	0	4.34703	0	29.62076
f__Rikenellaceae	2.42071	4.19686	24.49993	0	0	0.22403
f__Comamonadaceae	13.5242	0	2.80021	0	0	0
f__Coriobacteriaceae	0.13897	0	0.27274	5.97363	6.89335	2.25077
f__FGB1765	0	12.43187	0	0	0.29854	0
f__FGB73062	0	11.15793	0	0	0	0
f__FGB2982	1.22691	1.81288	7.40869	0	0	0
f__Erysipelotrichaceae	0	0	0	4.59778	1.73822	2.49648
f__Akkermansiaceae	0.09852	1.40154	6.82174	0	0	0
f__Streptococcaceae	0	0	0	2.4542	3.69417	0.7296
f__Bacteroidaceae	0.05239	1.72847	3.87578	0	0.37795	0.70619
f__FGB1354	5.15658	0	1.48855	0	0.0523	0
f__FGB14936	0	0	0	0	3.99778	1.64352
f__Synergistaceae	0.31853	3.35052	0.06043	0	0	0
f__FGB10477	0.64392	3.02363	0	0	0	0
f__Eggerthellaceae	0.28523	0	0.33218	0.52781	0.70061	1.57637
f__FGB3062	0.89064	2.0778	0	0	0	0
f__Tannerellaceae	0	1.72669	0.46161	0	0	0.09487
f__FGB2985	0.04912	1.81223	0	0	0	0
f__FGB4806	0	0	1.58234	0	0	0.24884
f__Eubacteriaceae	0.06237	0	0.08845	0	0.78234	0.82851
f__Desulfovibrionaceae	1.17264	0.1661	0.39888	0	0	0
f__FGB15209	0.38558	0	0.92083	0	0	0
f__Ruminococcaceae	0.21213	0	0.6456	0.35492	0	0
f__FGB1776	0	1.15745	0	0	0	0
f__FGB2984	1.14241	0	0	0	0	0
f__Oxalobacteraceae	0	0	1.11194	0	0	0
f__FGB3035	1.0595	0	0	0	0	0
f__Peptostreptococcaceae	0	0	0	0.33736	0	0.63197
f__FGB1258	0.78476	0	0.07132	0	0	0
f__FGB38642	0	0	0.79359	0	0	0
f__FGB3069	0.27547	0.41261	0	0	0	0
f__FGB3005	0.18043	0	0	0	0.46983	0
f__FGB645	0.47557	0	0	0	0	0
f__Eubacteriales_Family_XIII_Incertae_Sedis	0	0	0	0	0.38911	0.01974
f__FGB529	0	0	0.339	0	0	0
f__FGB9989	0.29625	0	0	0	0	0
f__FGB45555	0.28256	0	0	0	0	0
f__Lactobacillaceae	0	0	0	0.0653	0.14183	0.07223
f__FGB3072	0.21784	0.05792	0	0	0	0
f__Prevotellaceae	0	0.08152	0.05753	0	0.13426	0
f__FGB3048	0	0	0	0	0.2303	0
f__FGB9120	0	0	0	0	0.15565	0
f__Acidaminococcaceae	0	0	0.14598	0	0	0
f__FGB12107	0	0	0	0	0.11537	0
f__FGB3043	0.09868	0	0	0	0	0
f__Veillonellaceae	0	0	0.08763	0	0	0
f__Barnesiellaceae	0	0	0.08277	0	0	0
f__Coprobacillaceae	0	0	0	0.07886	0	0
f__FGB58251	0.07583	0	0	0	0	0
f__FGB667	0	0	0.07443	0	0	0
f__Methanobacteriaceae	0	0.05786	0	0	0	0
f__Odoribacteraceae	0	0.05132	0	0	0	0
f__Victivallaceae	0	0.04627	0	0	0	0
f__FGB1226	0	0	0.03827	0	0	0
f__FGB3012	0	0.02339	0	0	0	0
f__FGB2875	0	0.01898	0	0	0	0
f__Fusobacteriaceae	0	0	0	0.006	0	0
f__Sutterellaceae	0	0	0.00266	0	0	0
