Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__Ligilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0.18922	0	0	0	0	0	0
g__GGB45596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18796	0	0
g__Peptacetobacter	0	0	0.16118	0	0	0.02455	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Pararuminococcus	0.01167	0.1584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01506
g__GGB4596	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18242	0	0	0	0
g__Acidaminococcus	0	0.00122	0	0	0	0	0	0.01935	0	0.14456	0.00687	0	0	0	0	0.00658	0	0
g__Intestinibacter	0	0	0.0029	0.08346	0	0	0	0	0	0	0	0.00368	0	0	0	0	0.05398	0.03112
g__GGB1380	0	0	0	0.17035	0	0	0	0	0	0	0	0	0	0.00049	0	0	0	0
g__GGB9537	0	0	0	0.04521	0	0	0	0	0.12135	0	0	0	0	0	0	0	0	0
g__GGB9293	0	0.08746	0	0	0	0	0	0	0	0	0.07872	0	0	0	0	0	0	0
g__Methanosphaera	0.1073	0.00679	0	0.05208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Massilimicrobiota	0	0.00905	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15664	0	0
g__GGB9737	0	0	0.1445	0	0.01973	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Granulicatella	0	0	0	0	0	0.00276	0	0	0	0	0	0.08746	0.02623	0.01299	0.00426	0.02312	0	0
g__GGB4684	0	0	0	0	0	0.00395	0.00486	0	0	0	0.14778	0	0	0	0	0	0	0
g__Candidatus_Allochristensenella	0.01149	0.03534	0	0	0	0	0	0	0	0.03033	0.0543	0	0	0	0	0	0	0.01755
g__GGB41458	0	0	0.09556	0	0	0	0	0	0	0	0	0	0.05094	0	0	0	0	0
g__GGB4605	0	0	0.01833	0.12589	0	0	0	0	0	0	0	0	0.00106	0	0	0	0	0
g__GGB9767	0	0.06068	0.03788	0	0	0	0	0	0.04476	0	0	0	0	0	0	0	0	0
g__GGB51269	0	0	0.09725	0	0	0	0	0	0.04279	0	0	0	0	0	0	0	0	0
g__Dielma	0.13305	0	0.00656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4672	0	0	0	0.13582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3632	0	0.13327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9775	0	0.13326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9425	0	0	0	0.11532	0	0	0.01667	0	0	0	0	0	0	0	0	0	0	0
g__GGB9790	0	0.09211	0	0	0	0	0	0	0	0	0.03962	0	0	0	0	0	0	0
g__GGB2652	0	0.12925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1102	0	0	0	0	0	0	0	0	0	0.12655	0	0	0	0	0	0	0	0
g__GGB9348	0	0	0	0	0	0	0	0	0.12617	0	0	0	0	0	0	0	0	0
g__GGB9059	0	0	0	0	0	0	0	0	0	0	0.12575	0	0	0	0	0	0	0
g__GGB9524	0	0	0	0	0	0	0	0	0.11336	0	0.01072	0	0	0	0	0	0	0
g__GGB4487	0	0	0.12354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB33085	0	0	0.12168	0	0	0	0.00063	0	0	0	0	0	0	0	0	0	0	0
g__GGB1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12069
g__GGB3815	0	0	0.02534	0.02129	0.06758	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Amedibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11026	0	0
g__Lactiplantibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10846	0	0	0	0
g__GGB52106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10609
g__Pseudoflavonifractor	0	0	0.00321	0.02874	0.01216	0.04268	0	0	0.00203	0	0.01322	0	0	0	0	0	0	0.00316
g__Propionibacterium	0	0	0	0	0	0	0	0.00062	0	0	0.00312	0.00667	0	0.01939	0.00933	0.06588	0	0
g__Anaerococcus	0	0	0.0014	0	0	0.09584	0.00594	0.00076	0	0	0	0	0	0	0	0	0	0
g__GGB3306	0	0	0.10259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB2653	0	0	0	0.02175	0	0	0	0	0	0.03679	0.0011	0	0	0	0	0	0	0.04238
g__Christensenella	0.02081	0.00289	0	0	0	0	0	0.00033	0.0154	0.00692	0.04584	0	0	0.00063	0	0	0.00232	0.00447
g__GGB9618	0	0	0.08509	0.01322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parasutterella	0	0	0.04162	0	0	0.0453	0	0	0	0.01041	0	0	0	0	0	0	0	0
g__GGB9593	0	0	0.09487	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0
g__GGB6574	0.03166	0	0.04663	0	0	0	0	0	0.01748	0	0	0	0	0	0	0	0	0
g__GGB9781	0.00319	0.00974	0	0	0	0	0	0.01489	0.00756	0.01546	0.04432	0	0	0	0	0	0	0
g__GGB4676	0	0	0.09498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9619	0	0	0.00321	0.00752	0.00899	0.01273	0	0	0	0.0034	0	0	0	0	0	0	0	0.05881
g__GGB3340	0	0	0	0	0	0	0	0	0	0	0.09078	0	0	0	0	0	0	0
g__GGB9091	0	0	0	0	0	0	0	0	0.09071	0	0	0	0	0	0	0	0	0
g__GGB52002	0	0.00157	0.02584	0	0	0	0	0.06196	0	0	0	0	0	0	0	0	0	0
g__Arachnia	0	0	0.00766	0.00068	0	0	0	0	0	0	0	0.07511	0.00169	0.00039	0	0	0.00209	0
g__GGB9249	0	0	0.08485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9350	0	0.08175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paraprevotella	0.00113	0.053	0	0.00034	0	0.00129	0.02493	0	0	0	0	0	0	0	0	0	0	0
g__GGB35068	0	0	0	0	0	0.03068	0.00171	0	0	0	0	0	0.01381	0.03313	0	0	0	0
g__GGB9788	0	0.02205	0	0	0	0	0	0	0.00752	0.01503	0.03426	0	0	0	0	0	0	0
g__GGB42994	0	0	0	0	0	0.00942	0.06643	0	0	0	0	0	0	0	0	0.00274	0	0
g__GGB1109	0	0.03049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04614
g__Corynebacterium	0	0	0.01739	0	0	0	0	0	0	0	0.00161	0.00324	0.03419	0.00249	0	0.01459	0.00065	0
g__GGB74463	0	0	0	0	0	0	0	0	0.00385	0	0.06869	0	0	0	0	0	0	0
g__Mailhella	0	0	0.00101	0	0	0	0	0	0.00067	0.0362	0.03199	0	0	0	0	0	0	0
g__GGB9289	0	0.06905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ellagibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06904
g__GGB9261	0	0	0	0	0	0	0	0	0.06818	0	0	0	0	0	0	0	0	0
g__GGB9469	0	0	0	0	0	0	0	0	0.03198	0	0	0	0	0.03601	0	0	0	0
g__Phocea	0	0	0.00486	0.00488	0.023	0	0	0	0.0345	0	0	0	0	0	0	0	0	0
g__GGB9088	0	0	0	0	0	0	0	0	0.06558	0	0	0	0	0	0	0	0	0
g__GGB9237	0	0.01948	0	0	0	0	0	0	0	0	0.02331	0	0	0	0	0	0	0.0225
g__GGB9434	0	0	0	0.0086	0	0	0	0.0379	0.00966	0	0.00831	0	0	0	0	0	0	0
g__Olsenella	0	0	0	0	0	0	0	0.03786	0	0	0.00576	0.00856	0.0078	0	0.0038	0	0	0
g__Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06264	0	0	0	0
g__GGB9707	0	0.00553	0.02597	0.02945	0	0	0	0	0	0	0	0	0	0.00161	0	0	0	0
g__Phytobacter	0	0	0	0.06221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9343	0	0	0	0	0	0	0	0.06093	0	0	0	0	0	0	0	0	0	0
g__GGB9551	0	0	0	0	0	0	0	0.01174	0.04803	0	0	0	0	0	0	0	0	0
g__Culturomica	0	0.05975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4567	0	0	0.05718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3817	0.05623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sellimonas	0	0	0	0	0	0	0	0	0	0	0	0.00201	0	0	0	0.05371	0	0
g__GGB9186	0	0	0	0	0	0	0	0	0	0.05569	0	0	0	0	0	0	0	0
g__GGB2731	0	0	0	0.05537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9606	0	0	0.05492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bittarella	0	0	6e-04	0	0	0	0	0	0	0	0.03715	0	0	0.00276	0	0	0	0.01228
g__GGB9608	0	0.03628	0	0	0	0	0.01413	0.00159	0	0	0	0	0	0	0	0	0	0
g__GGB9603	0	0	0.029	0	0	0	0.00348	0	0	0	0	0	0	0.01922	0	0	0	0
g__Sanguibacteroides	0	0	0.00842	0	0	0	0	0	0.02517	0.00972	0.00834	0	0	0	0	0	0	0
g__Dialister	0	0	0	0	0	0	0.04886	0	0	0	0	0	0	0	0	0	0	0
g__Enorma	0	0	0	0	0	0	0	0.04803	0	0	0	0	0	0	0	0	0	0
g__GGB3034	0.04803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9060	0	0	0.04264	0	0	0	0	0	0	0	0	0	0	0.00511	0	0	0	0
g__GGB9176	0	0	0.03957	0	0	0	0	0	0	0	0.00817	0	0	0	0	0	0	0
g__GGB79770	0	0	0	0	0.04212	0	0	0	0	0	0	0	0	0.00559	0	0	0	0
g__GGB2732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04586
g__GGB3189	0	0	0.04564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9661	0	0	0	0	0	0	0	0	0	0	0.0453	0	0	0	0	0	0	0
g__GGB13493	0	0	0	0	0	0	0	0	0	0	0.00717	0	0	0.03799	0	0	0	0
g__GGB4671	0	0	0.04503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9061	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9611	0	0	0.00818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03533
g__GGB6648	0	0	0	0	0	0	0	0	0.00992	0.02818	0.00518	0	0	0	0	0	0	0
g__GGB9457	0	0	0	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	0	0.04275
g__Anaeromassilibacillus	0	0.00518	0	0	0	0	0	0.02349	0	0	0	0	0	0	0	0	0	0.01396
g__GGB9355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416	0	0	0	0
g__GGB6547	0	0	0	0	0	0	0	0	0.04098	0	0	0	0	0	0	0	0	0
g__Emergencia	0	0	0	0	0	0	0	0	0	0	0.00528	0	0	0	0	0	0	0.03517
g__GGB12785	0	0	0	0	0	0	0	0	0	0	0	0.00988	0	0.03031	0	0	0	0
g__GGB1247	0	0	0	0	0.03941	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Massilistercora	0	0	0	0	0	0	0	0.00963	0	0	0.02964	0	0	0	0	0	0	0
g__Schaalia	0	0	0	0	0	0	0	0	0	0	0	0	0.00642	0.00503	0	0.02555	0.00205	0
g__GGB9677	0	0	0.01841	0	0	0	0	0.0197	0	0	0	0	0	0	0	0	0	0
g__GGB1568	0	0	0	0	0	0	0	0.03787	0	0	0	0	0	0	0	0	0	0
g__GGB2848	0	0.01097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254
g__GGB9444	0	0.03576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9240	0	0	0	0	0	0	0	0	0.02975	0.00525	0	0	0	0	0	0	0	0
g__GGB4456	0	0	0	0.01365	0.00127	0	0	0	0	0	0	0	0	0	0	0	0	0.01996
g__GGB3819	0	0.00825	0	0	0	0.02646	0	0	0	0	0	0	0	0	0	0	0	0
g__Baileyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03408	0	0
g__Allisonella	0	0	0.00148	0	0	0.03247	0	0	0	0	0	0	0	0	0	0	0	0
g__Solobacterium	0	0.00188	0	0	0	0	0	0	0	0	0	0.02145	0	0	0	0.01033	0	0
g__GGB1405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03342	0
g__Aggregatibacter	0	0	0	0	0.00283	0	0.00217	0	0	0	0	0	0.02829	0	0	0	0	0
g__GGB51960	0	0	0	0.00054	0	0	0	0.00551	0	0	0	0	0	0	0	0	0.02546	0
g__GGB4611	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0
g__GGB9288	0	0	0.02927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB58485	0	0.00016	0.01495	0	0	0	0.01378	0	0	0	0	0	0	0	0	0	0	0
g__GGB3175	0	0	0	0	0	0	0	0	0.02853	0	0	0	0	0	0	0	0	0
g__Bilifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02846	0	0
g__Merdimonas	0.02806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02769	0	0	0	0
g__GGB9453	0.01675	0.00309	0	0	0	0	0	0	0	0.00743	0	0	0	0	0	0	0	0
g__GGB9623	0	0	0	0	0	0	0	0	0.02711	0	0	0	0	0	0	0	0	0
g__GGB9818	0	0	0.01907	0	0	0	0	0	0	0	0.00594	0	0	0	0	0	0	0
g__GGB77437	0	0	0.02448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1266	0	0	0	0	0	0	0	0	0	0	0.02417	0	0	0	0	0	0	0
g__GGB51959	0	0	0	0.02408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Synergistes	0	0	0	0	0	0	0	0.02373	0	0	0	0	0	0	0	0	0	0
g__GGB3626	0	0	0	0	0.02371	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Metalachnospira	0	0.02328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Massiliimalia	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02167
g__Harryflintia	0	0.00286	0	0	0	0	0	0.01079	0.0049	0	0.00353	0	0	0	0	0	0	0
g__Hydrogeniiclostidium	0	0	0	0	0	0	0	0.00823	0	0	0	0	0	0	0	0	0	0.01356
g__GGB9561	0	0	0	0	0	0.00686	0	0	0	0	0	0	0	0.0148	0	0	0	0
g__Atopobium	0	0	0	0	0	0	0	0.0028	0	0	0	0.00271	0	0.00073	0.01517	0	0	0
g__GGB3002	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02108
g__GGB58714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02096
g__GGB9197	0	0	0.01993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3570	0	0	0.00245	0	0	0	0	0	0	0	0	0	0.01613	0	0	0	0	0
g__GGB36267	0	0.01545	0	0	0	0	0	0	0	0	0.00283	0	0	0	0	0	0	0
g__GGB9641	0	0	0	0	0	0	0	0	0	0	0.01807	0	0	0	0	0	0	0
g__GGB45495	0	0	0	0	0	0	0	0.01803	0	0	0	0	0	0	0	0	0	0
g__GGB74403	0	0	0	0	0	0	0	0.01786	0	0	0	0	0	0	0	0	0	0
g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0.00433	0	0
g__Leclercia	0	0	0	0	0	0.01701	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4651	0	0	0	0	0	0.00405	0.01239	0	0	0	0	0	0	0	0	0	0	0
g__Plesiomonas	0	0	0	0	0	0	0	0	0	0.0036	0.01276	0	0	0	0	0	0	0
g__GGB3226	0	0	0	0.01625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB2980	0	0	0.01616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mobilibacterium	0	0	0	0	0	0	0	0	0	0.01595	0	0	0	0	0	0	0	0
g__GGB74511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01511	0	0
g__GGB3444	0	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0.01366
g__GGB4698	0	0	0	0	0	0.00662	0.00837	0	0	0	0	0	0	0	0	0	0	0
g__GGB9522	0	0	0.00467	0	0	0	0.00567	0	0	0	0.00412	0	0	0	0	0	0	0
g__GGB10485	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0	0.01201	0	0
g__GGB9762	0	0	0.01408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Saccharomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01377	0	0	0
g__Candidatus_Schneewindia	0	0	0	0	0	0	0	0.01305	0	0	0	0	0	0	0	0	0	0
g__Fenollaria	0	0	0	0.01296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pauljensenia	0	0	0	0	0	0	0	0	0	0	0.00092	0.00919	0.00128	0	0	0	0.00151	0
g__GGB9095	0	0	0.01266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4682	0	0	0	0	0	0.00294	0.00965	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Parachristensenella	0	0.01206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4658	0	0	0.01198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lactonifactor	0.01174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB2659	0	0	0.01113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lancefieldella	0	0	0	0	0	0	0	0	0	0	0.00081	0.00562	0	0	0.00016	0.00443	0	0
g__GGB49418	0	0	0.00303	0.00122	0	0	0	0	0	0	0	0	0	0.00676	0	0	0	0
g__GGB9501	0	0	0	0	0	0	0	0	0.00624	0.00467	0	0	0	0	0	0	0	0
g__Candidatus_Flemingibacterium	0	0	0	0	0	0	0	0	0	0.01077	0	0	0	0	0	0	0	0
g__Oxalobacter	0	0	0	0	0	0	0	0.01075	0	0	0	0	0	0	0	0	0	0
g__GGB25437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00981	0	0
g__GGB74510	0	0	0	0.00949	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0.0094	0	0	0	0	0	0
g__Anaerosacchariphilus	0	0	0.00875	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paeniclostridium	0	0	0.00886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.00774	0	0	0	0
g__GGB80000	0	0	0	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1496	0	0	0	0	0	0.00801	0	0	0	0	0	0	0	0	0	0	0	0
g__Neobittarella	0	0	0	0	5e-05	0	0	0	0	0	0.00351	0	0	0	0	0	0	0.00443
g__GGB1492	0	0	0	0	0	0.0016	0.00634	0	0	0	0	0	0	0	0	0	0	0
g__GGB58233	0.00059	0	0	0	0	0	0	0	0	0	0.00094	0	0	0	0	0	0	0.00629
g__Frisingicoccus	0	0	0	0	0	0	0	0	0.00771	0	0	0	0	0	0	0	0	0
g__GGB3351	0	0	0	0	0	0	0.00732	0	0	0	0	0	0	0	0	0	0	0
g__GGB2977	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00699	0
g__GGB1662	0	0	0	0	0	0	0	0	0	0.00671	0	0	0	0	0	0	0	0
g__GGB1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667
g__Parascardovia	0	0	0	0	0	0	0	0.00213	0	0	0	9e-04	0	0	0.00295	0	0	0
g__GGB6513	0	0	0.00582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacilliculturomica	0	0	0	0	0	0	0	0	0.0056	0	0	0	0	0	0	0	0	0
g__GGB9724	0	0	0	0	0	0	0	0	0	0.00352	0.00182	0	0	0	0	0	0	0
g__Peptidiphaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00503	0	0	0	0
g__GGB9383	0	0	0	0	0	0	0	0	0	0	0.00482	0	0	0	0	0	0	0
g__Mesosutterella	0	0	0	0	0.0038	0	0	0	0.001	0	0	0	0	0	0	0	0	0
g__GGB4750	0	0	0	0	0	0	0	0	0.00474	0	0	0	0	0	0	0	0	0
g__Pluralibacter	0	0	0	0.00169	0	0.00267	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9620	0	0	0	0	0	0	0	0	0	0.00434	0	0	0	0	0	0	0	0
g__GGB9545	0	0.00126	0	0	0	0	0	0	0.00288	0	0	0	0	0	0	0	0	0
g__Scardovia	0	0	0	0	0	0	0	0	0	0	0.00357	0.00051	0	0	0	0	0	0
g__GGB9400	0	0	0	0	0	0	0	0.00407	0	0	0	0	0	0	0	0	0	0
g__GGB4642	0	0	0	0	0	0.00225	0.00181	0	0	0	0	0	0	0	0	0	0	0
g__GGB3345	0	0	0	0	0	0.00384	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB38744	0	0.00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334
g__Methylobacterium	0	0	0	0	0	0	0	0	0	0.00365	0	0	0	0	0	0	0	0
g__GGB9532	0	0	0.00354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Abiotrophia	0	0	0	0.00349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB58158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00328
g__GGB3140	0	0	0	0	0	0	0	0.00313	0	0	0	0	0	0	0	0	0	0
g__GGB9189	0	0	0.00285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB42378	0	0.00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264	0	0
g__Lacticaseibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263	0	0	0	0
g__Prevotellamassilia	0	0	0	0	0	0	0	0	0	0	0.00263	0	0	0	0	0	0	0
g__GGB31234	0	0.00252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerofilum	0	0.00043	0	0	0	0	0	0.00018	0	0	0.00032	0	0	0	0	0	0	0.00143
g__Candidatus_Paralachnospira	0	0.00087	0	0	0	0	0	0	0	0.00144	0	0	0	0	0	0	0	0
g__Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0	0.00097	0	0
g__Paratractidigestivibacter	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0	0	0	0	0
g__Ezakiella	0	0	0	0	0	0	0.00216	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Borkfalkia	0	0	0	0	0	0	0	0	0	0	0.00212	0	0	0	0	0	0	0
g__GGB9559	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0
g__Campylobacter	0	0	0	0.00161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158
g__Lachnotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157
g__GGB79751	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155	0	0	0	0
g__GGB3109	0	0	0	0	0	0	0	0	0	0	0	0.00154	0	0	0	0	0	0
g__Candidatus_Alloruminococcus	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0
g__GGB6470	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0
g__Microbacterium	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Alloscillospira	0	0	0	0	0	0	0	0	0.00132	0	0	0	0	0	0	0	0	0
g__GGB74708	0	0	0	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0
g__Candidatus_Soleaferrea	0	0	0	0	0	0	0	0	0	0	0.00108	0	0	0	0	0	0	0
g__Massilioclostridium	0	0	0	0	0	0.00088	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB2970	0	0	0	0	0	0	0	0	0	0.00085	0	0	0	0	0	0	0	0
g__GGB33544	0	0	0	0	0	0	0	0	0.00084	0	0	0	0	0	0	0	0	0
g__GGB6565	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0
g__Coprobacter	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9291	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0
g__Faecalitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061	0
g__GGB52130	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0
g__GGB75036	0	0.00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	0	0	0
g__Intestinibacillus	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0
g__Oligella	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0
g__GGB80012	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0	0	0	0	0
g__Bulleidia	0	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parvimonas	0	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
