Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__GGB9345	0	0.74064	0.03344	0	0	0	0	0	2.74725	0.42609	4.0806	0	0	0	0	0	0	0
g__Enterobacter	0	0	2.51427	0.97717	0	2.06464	0.13242	0	0	0	0	0	0	0	0	1.89083	0.3146	0
g__Romboutsia	0	0.00919	1.06067	0.30634	0.57454	1.61509	0.66601	0	0	0	0	0.38366	0.07651	1.47743	0	1.12473	0.34534	0.00874
g__Butyricimonas	1.11195	0.55674	1.02737	0.36868	0	0.00642	0.42754	0.00094	0.0394	0.02272	3.95766	0	0	0	0	0	0	0.00128
g__GGB3746	0	0	0.39274	1.05632	1.88245	0.11722	3.57856	0	0	0	0	0	0	0	0.32407	0.00169	0	0
g__Parabacteroides	1.50126	0.79409	2.28289	0.58505	0.26967	0.61564	0.43134	0.01866	0.36043	0.11317	0.27571	0.00111	0.00548	0.00034	0.00028	0	0	0.01414
g__GGB51647	0	0	0.82168	0.003	2.29032	0.32718	0	0	3.48216	0	0.24339	0	0	0	0	0	0	0
g__Cloacibacillus	0.08281	0.05045	0.00505	0	0	0	0	0.70922	0.39088	1.11146	4.3096	0	0	0	0	0	0	0.07292
g__Fusobacterium	0	0.19666	0.01248	0.33621	1.90292	1.50373	1.03249	0	0	0	1.42463	0	0	0	0	0	0	0
g__Agathobaculum	0.00393	0	0.36571	0.37382	0.15708	0.82694	0.66424	0	0.00037	0.01752	0.09076	0.48364	0.04505	0.38376	0.173	0.97892	0.79312	0.88834
g__GGB9480	1.05244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17419
g__Lacrimispora	0	0.00152	0.12586	0.4845	0.20057	0.53009	0.71827	0	0	0.05904	0	0	0	1.77386	0.00118	1.70165	0	0.57363
g__Methanobrevibacter	0	5.89186	0	0.01468	0	0	0	0	0.01082	0.04634	0.01736	0	0	0	0	0	0	0
g__Tyzzerella	0.43141	0.08035	0	0	0	3.06689	2.222	0	0	0	0	0.03389	0	0	0	0	0	0
g__GGB4248	0	0	3.0118	0	0	0	1.73855	0	0	0.83603	0	0	0	0	0	0	0	0
g__Dysosmobacter	0.07765	0.17202	0.58354	0.42859	0.1496	0.04371	0.17183	0.05691	0.29939	2.03858	0.22554	0	0	0.00372	0	0	0	1.31541
g__Oscillibacter	0.00057	0.10126	1.82416	0.56569	0.1039	0.02882	0.31532	0.04398	0.88739	1.02942	0.06402	0	0.01746	0.00247	0	0	0.00484	0.21291
g__Akkermansia	0	2.06996	0	0	0	0	0	0.04977	2.02305	0.634	0.01085	0	0	0	0	0	0	0
g__Candidatus_Cibionibacter	0	0.05866	0.07755	0.12581	0.00569	0.02431	0.03421	0.03088	0.17634	0.00529	0	0.51845	0	0.87974	0	1.62106	0.88515	0
