COG_category	C1	C2
B	665.165	0.0
C	43720.25100000001	12563.397
D	20660.588	15582.18
E	34425.744999999995	28934.795
F	38434.570999999996	3025.44
G	28921.451999999997	12182.056999999999
H	47915.208999999995	2262.5487000000003
I	8531.931	4229.57
J	83454.42599999999	14495.610000000002
K	46019.11299999999	14098.393
L	77542.338	69427.78200000002
M	51178.162	30047.278999999995
N	2691.744	4056.738
O	15385.249999999998	2334.306
P	31669.991000000005	19425.321
Q	6507.476	920.488
S	239851.655	39555.169999999984
T	15747.614199999998	11570.061
U	37530.23	11750.423999999999
V	3640.7889999999998	618.394
W	0.0	1320.9
