KEGG_ko	C1	C2
K00003	966.61	0.0
K00052	450.709	0.0
K00067	966.61	0.0
K00075	1191.32	0.0
K00088	1338.627	0.0
K00121	0.0	1296.29
K00134	1115.3	0.0
K00325	0.0	2450.78
K00349	960.7289999999999	0.0
K00383	0.0	3255.577
K00384	2142.24	0.0
K00385	662.674	0.0
K00425	0.0	1254.44
K00428	1351.38	0.0
K00526	579.138	1046.93
K00558	0.0	3427.83
K00566	1516.386	0.0
K00567	734.448	0.0
K00588	0.0	0.0
K00602	2872.844	0.0
K00609	1358.86	182.27599999999998
K00626	0.0	783.471
K00640	529.696	0.0
K00645	963.885	0.0
K00652	3486.85	0.0
K00688	656.676	0.0
K00691	656.676	0.0
K00720	1428.79	0.0
K00760	2113.66	0.0
K00762	4849.447999999999	0.0
K00789	1275.99	0.0
K00796	714.393	0.0
K00800	774.88	0.0
K00812	0.0	0.0
K00820	620.653	951.669
K00826	766.7239999999999	0.0
K00849	714.393	0.0
K00850	0.0	0.0
K00873	0.0	3008.94
K00936	1514.79	0.0
K00942	831.058	0.0
K00945	2704.18	0.0
K00948	714.393	0.0
K00951	5204.875	0.0
K00955	952.5239999999999	0.0
K00956	952.5239999999999	0.0
K00962	600.456	0.0
K00971	1190.66	0.0
K00975	2393.44	0.0
K00995	1784.4279999999999	0.0
K01006	570.1419999999999	0.0
K01028	0.0	411.475
K01139	949.373	0.0
K01153	730.915	0.0
K01184	0.0	2322.06
K01190	655.33	0.0
K01206	0.0	1470.47
K01270	1709.346	0.0
K01299	2050.26	0.0
K01338	1987.4660000000001	0.0
K01358	866.42	0.0
K01424	1461.688	0.0
K01425	1844.64	0.0
K01448	698.9939999999999	0.0
K01462	926.6210000000001	0.0
K01465	673.289	0.0
K01491	2024.57	0.0
K01495	730.915	0.0
K01537	788.0110000000001	0.0
K01585	529.894	0.0
K01610	1020.79	0.0
K01643	369.337	0.0
K01644	1382.28	0.0
K01646	0.0	0.0
K01647	604.186	0.0
K01657	0.0	0.0
K01662	2704.53	0.0
K01665	0.0	0.0
K01668	1556.42	0.0
K01711	0.0	2375.767
K01712	765.595	0.0
K01736	433.21	0.0
K01740	953.452	0.0
K01754	2517.9049999999997	0.0
K01756	2704.7799999999997	0.0
K01775	656.326	0.0
K01785	1804.55	0.0
K01790	0.0	941.803
K01803	0.0	0.0
K01808	0.0	0.0
K01817	0.0	1870.88
K01844	847.513	0.0
K01845	911.003	0.0
K01868	854.12	0.0
K01869	788.0110000000001	0.0
K01870	0.0	10283.5
K01872	0.0	687.515
K01876	607.915	0.0
K01879	1115.3	0.0
K01881	765.595	0.0
K01890	1062.3809999999999	0.0
K01893	879.355	0.0
K01897	468.85900000000004	0.0
K01902	561.717	0.0
K01910	574.491	0.0
K01923	0.0	783.934
K01924	1983.741	0.0
K01925	427.06	0.0
K01929	343.24300000000005	0.0
K01933	933.852	0.0
K01935	645.535	0.0
K01938	1968.3049999999998	0.0
K01951	1242.26	0.0
K01955	2408.5029999999997	0.0
K01963	734.448	0.0
K01991	0.0	563.94
K01992	486.332	0.0
K01997	607.915	0.0
K01999	315.72700000000003	0.0
K02004	902.3510000000001	0.0
K02006	734.448	0.0
K02012	949.373	0.0
K02014	5753.6449999999995	2531.458
K02016	616.161	0.0
K02057	892.602	0.0
K02071	510.781	0.0
K02107	0.0	0.0
K02111	0.0	0.0
K02113	402.791	0.0
K02117	653.865	0.0
K02119	436.88699999999994	0.0
K02121	2324.57	0.0
K02124	586.237	177.01
K02188	1372.78	0.0
K02191	1137.39	0.0
