COG_category	Cooling	Mature	Mesophilic	Thermophilic
A	7967.139	7301.7155	2527.319	1250.34475
AB	11	10	0	0.25
ABO	4.25	9.28125	3.5	0
AD	12.77975	18.75	6.5	0
ADK	31.3395	59.0515	12.09825	0.75
ADL	10.814	16.25	43.6885	5.8535
AEIJ	0	0	0.75	0
AF	0.25	0	2.75	0
AG	0.25	0	0	0
AJ	438.75125	449.601	104.1755	519.121
AK	2.5	3.5	0.75	0.5
AL	27.6055	17.6105	1.9205	2
AO	2.5	3.5	0.25	0
AT	56.899	61.14475	16	1.5
ATY	9	22.5	1.75	0.25
AV	2.75	0.5	107.96475	9.74975
B	1872.791	1681.48475	584.78	286.47825
BD	141.85525	197.12025	96.3285	7.75
BDK	1.5	0	0	0
BDL	34	39	24.25	1.5
BDLT	271.306	213.7665	381.26525	4.813
BDLTU	261.408	235.87525	57.33625	84.85125
BDT	1	0.25	0	0
BK	712.13825	1120.23525	387.9565	610.22525
BKL	16.75	12.75	0	0.25
BKQ	27.78825	18.60525	14.10275	4.75825
BL	24.25	33.40425	19.8555	0.25
BO	0.75	0.5	0	0
BOT	0	0.25	0	0
BQ	4655.3255	3913.3915	2849.60975	4342.9555
BT	33.26575	36.09425	5.5	0.75
C	1000493.577	942345.3578	747739.8105	1027659.287
CD	8.60475	39.33625	1	0
CDZ	1.5	39.10375	4.25	0
CE	13636.72575	12208.80675	9482.56075	14150.309
CEF	0	1.75	0	0
CEG	75.859	166.639	6.5	1
CEGO	3.18875	48.503	1.75	0.25
CEH	344.6405	488.35075	127.60525	104.37025
CEK	1.25	1.5	50.33	0
CET	7.4325	5.46225	0.5	1
CF	416.316	440.64625	786.001	250.96525
CFO	5.53075	2.2035	0.25	0
CG	12708.2895	20783.69425	1169.22575	1359.67525
CGM	2.29375	4.415	0.25	0
CH	20559.666	20412.96525	14032.32525	11686.42025
CHIKQ	0.5	0.75	1.5	0.25
CHJ	4	1.25	23.75	16.75
CHQ	23.78125	15.461	59.11	14.76075
CHT	24.7675	102.0505	21.3705	8.12425
CI	2713.40925	3215.56575	684.294	743.07925
CIQ	4.5	15.75	10.75	4.25
CJ	1102.12325	1172.8385	638.27925	847.32475
CJQ	3.5	12.91175	17.75	17.25
CK	1708.016	1283.21725	490.3225	512.6125
CKT	0	1.05175	15.0835	6.75
CL	75.47275	217.32825	13.839	1.25
CM	577.52425	226.4125	32.90475	42.70825
CMN	0.5	6.09975	0.25	0
CMO	90.12525	5.5	0	0
CMT	3.25	11.04925	3.87675	0.25
CNT	75.5	9.5	0.5	85.67825
CNU	483.9915	218.04	5.621	1.25
CO	38048.9555	41507.81025	15593.80925	21184.53675
COP	74.1445	42.13425	2.25	0.25
COT	0.25	22	15.8955	3
COTV	0	0.75	0	0
CP	43373.6505	34324.643	20454.54075	41777.19625
CQ	5551.8675	3231.26475	930.361	818.21125
CT	457.53675	507.53625	107.164	469.319
CU	3.75	7.5	37	0
D	230114.2038	188852.1558	255477.5905	354056.8428
DE	6.25	6	0	0
DEGMUZ	80.02375	92.16475	13.02675	1.25
DENZ	12.15125	6.25	7.75	93.744
DEOZ	251.94425	44.9375	8.25	2.25
DEZ	5.75	127.37125	2.25	0
DF	38.5705	19.87725	3.25	65.5
DFJ	90.2425	88.67775	9.5	2.25
DFL	157.16925	52.4055	5.01125	0
DG	52.5	25.5	97.29875	324.8545
DGMZ	1	0	0	0
DGZ	16	0.75	0	0
DHK	0	4.25	0.25	0
DHM	0	6.06075	0	0
DIOT	0	0	1	0.25
DJ	228.16075	473.88275	581.5385	163.348
DJL	0.25	0	0	1.25
DJO	0.25	0	0	0
DK	60.905	48.74075	17.56625	9.719
DKL	21.2035	16.5	5.75	0
DKLT	6.75	7	0	0
DKLTZ	23.47975	33.2165	3	0
DKMT	0	0	7.75	0.5
DKT	494.7885	308.97575	31.2665	85.1035
DL	924.44725	895.18525	210.58375	166.71675
DM	10665.00625	7314.14875	2948.96925	2158.833
DMNUW	243.3585	61.75	2.75	3.75
DMO	0.5	0.5	0	0
DMQZ	0.5	1.25	0	0
DMU	6.25	2.25	0	0.5
DMUZ	268.7335	79.7435	69.8385	334.61
DMZ	808.6635	196.61175	28.917	706.6525
DN	221.19725	63.7985	43.07475	429.29175
DNT	0	2	0.25	0
DNU	106	311	178.63975	133.5435
DNZ	73.3945	19.5	12.136	8.623
DO	407.9735	302.15175	102.78475	23.9715
DOTZ	0.75	18.8425	0.25	0.75
DOZ	187.02225	108.60725	9.926	1.51575
DP	7.75	13.008	10.5	0.75
DPT	0	3.5	0	0
DT	1331.84175	1448.068	301.9035	191.33325
DTZ	1210.03125	946.84925	126.893	201.19825
DU	33.805	35.19275	13.25	4.75
DUZ	60.599	20.03175	36.5	26.2645
DV	266.55825	53.15775	511.56225	4.53275
DY	1	1.25	0	0
DZ	22786.72325	22347.721	6676.84925	17532.6665
E	1050838.359	957337.2433	890681.4683	1180739.99
EF	8515.7945	9960.96775	2826.70275	6427.773
EFGP	36.3275	36.96	17.40425	9.749
EFQ	37.25	15.54875	2	0.75
EG	40802.55625	33971.64325	50568.54725	64326.522
EGH	1.5	1.25	0	0.25
EGHP	19.25	70.25	4	0
EGIP	12.5975	10.98025	2	0.25
EGIPQ	0.75	2.75	0	0
EGKLT	0	3.25	4.094	1
EGKP	13.009	8.3235	1	0.25
EGM	97.658	56.154	17.91475	7
EGMP	52.196	13.741	4.25	12.88975
EGN	16.88075	11.75	3.6015	120.70425
EGO	7.25	3	0	0
EGP	69306.19025	63904.7905	106179.955	84790.304
EGPT	6.5845	3	2.4345	0
EGT	1	0.25	0	0
EH	44440.8415	40840.465	35991.5545	38702.38025
EHJ	33.2345	58.91125	10.332	3.5
EHP	0	2	3.75	0
EI	7166.0695	8163.38975	8511.18	8625.64275
EIJ	0	0	14.5	0
EIOV	21.2605	22.5	5.75	0.5
EIP	2	0.5	0	0
EJ	2351.4775	1530.333	4077.9935	3721.1685
EJM	12.675	7.849	12.6865	43.545
EK	2926.3335	2683.21375	1854.51025	2741.157
EKLT	0.25	3.25	0	0
EKT	52.25	32.7885	2.5	0
EL	125.56375	57.02175	472.72375	216.6645
ELM	15.25	4.5	0	0
EM	5350.29025	4366.71575	3753.009	8040.95425
EMQ	1.75	1.75	0	0
EMT	95.41075	32.9395	1.75	37.6465
EN	5.5	5.75	18.5	155.37375
ENT	135.94875	62.50175	488.3495	757.806
EO	235.25	313.23775	77.23275	147.77575
EP	18907.82	17237.27725	16565.8115	25556.18775
EPT	63.75	46.691	8.25	11.25
EQ	15848.7145	14326.9515	14342.42575	24148.6915
ET	9207.3565	7572.45975	15526.6325	13838.90175
EU	19860.28125	16727.12675	2951.00625	6028.55225
EUW	10.0775	39.63575	5.2495	0
EV	25.02975	22.47475	13.41475	7.5
F	377798.1575	325018.5483	439928.9413	502321.0683
FG	3430.81925	2977.94775	3306.7605	3062.73
FGL	16.2735	12.91225	1.75	3.38025
FGMQ	14	18.75	10.25	2.75
FGP	0	0	0	2.5
FGQ	6.5	4	1.25	0
FGV	5.79575	0.5	1	0
FH	634.29775	420.11225	1736.3055	432.8705
FI	5	8	3.45825	0
FIM	17.49875	30.45525	0	0
FJ	4725.4195	4179.12	2905.4795	5553.2825
FJK	1	0	0	0
FK	110.55875	36.84125	135.68175	35.521
