Assemblies	final.contigs
Capnocytophaga_ochracea_str._Holt_25	-
Capnocytophaga_sputigena_ATCC_33612	-
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	-
Haemophilus_sputorum_CCUG_13788	-
Prevotella_nigrescens_CC14M	-
Sphingomonas_taxi	-
