Assemblies	final.contigs
Capnocytophaga_ochracea_str._Holt_25	253.52
Capnocytophaga_sputigena_ATCC_33612	39.96
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	126.77
Haemophilus_sputorum_CCUG_13788	0.00
Prevotella_nigrescens_CC14M	0.00
Sphingomonas_taxi	311.53
