Assemblies	final.contigs
Capnocytophaga_ochracea_str._Holt_25	1219
Capnocytophaga_sputigena_ATCC_33612	1219
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	5058
Haemophilus_sputorum_CCUG_13788	0
Prevotella_nigrescens_CC14M	0
Sphingomonas_taxi	0
